Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa)
184,-91.946563,0,0,0,0,0,-35.497375,-46.759437,0,0,0,0,0,0
185,-91.880108,0,0,0,0,0,-35.471719,-46.725641,0,0,0,0,0,0
186,-91.813653,0,0,0,0,0,-35.446063,-46.691845,0,0,0,0,0,0
187,-91.747198,0,0,0,0,0,-35.420407,-46.65805,0,0,0,0,0,0
188,-91.680743,0,0,0,0,0,-35.394751,-46.624254,0,0,0,0,0,0
189,-91.614288,0,0,0,0,0,-35.369095,-46.590458,0,0,0,0,0,0
190,-91.547833,0,0,0,0,0,-35.343439,-46.556663,0,0,0,0,0,0
191,-91.481378,0,0,0,0,0,-35.317783,-46.522867,0,0,0,0,0,0
192,-91.414923,0,0,0,0,0,-35.292127,-46.489071,0,0,0,0,0,0
193,-91.348468,0,0,0,0,0,-35.266471,-46.455276,0,0,0,0,0,0
194,-91.282013,0,0,0,0,0,-35.240815,-46.42148,0,0,0,0,0,0
195,-91.215558,0,0,0,0,0,-35.215159,-46.387684,0,0,0,0,0,0
196,-91.149103,0,0,0,0,0,-35.189503,-46.353888,0,0,0,0,0,0
197,-91.082648,0,0,0,0,0,-35.163847,-46.320093,0,0,0,0,0,0
198,-91.016193,0,0,0,0,0,-35.138192,-46.286297,0,0,0,0,0,0
199,-90.949738,0,0,0,0,0,-35.112536,-46.252501,0,0,0,0,0,0
200,-90.883284,0,0,0,0,0,-35.08688,-46.218706,0,0,0,0,0,0
201,-90.816829,0,0,0,0,0,-35.061224,-46.18491,0,0,0,0,0,0
202,-90.750374,0,0,0,0,0,-35.035568,-46.151114,0,0,0,0,0,0
203,-90.683919,0,0,0,0,0,-35.009912,-46.117319,0,0,0,0,0,0
204,-90.617464,0,0,0,0,0,-34.984256,-46.083523,0,0,0,0,0,0
205,-90.551009,0,0,0,0,0,-34.9586,-46.049727,0,0,0,0,0,0
206,-90.484554,0,0,0,0,0,-34.932944,-46.015932,0,0,0,0,0,0
207,-90.418099,0,0,0,0,0,-34.907288,-45.982136,0,0,0,0,0,0
208,-90.351644,0,0,0,0,0,-34.881632,-45.94834,0,0,0,0,0,0
209,-90.285189,0,0,0,0,0,-34.855976,-45.914545,0,0,0,0,0,0
210,-90.218734,0,0,0,0,0,-34.83032,-45.880749,0,0,0,0,0,0
