Time (ms),Stress at 0.00 mm (kPa),Stress at 0.24 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.66 mm (kPa),Stress at 0.86 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.25 mm (kPa),Stress at 1.46 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.45 mm (kPa),Stress at 2.65 mm (kPa)
111,-95.117007,-100.31966,-90.956246,-77.578857,-67.084925,-55.584081,-47.316837,-36.543699,-28.739817,-16.927086,0,0,0,0
112,-95.108509,-100.3107,-90.94812,-77.571926,-67.078932,-55.579115,-47.31261,-36.540434,-28.73725,-16.925574,0,0,0,0
113,-95.100012,-100.30174,-90.939994,-77.564995,-67.072939,-55.57415,-47.308383,-36.53717,-28.734682,-16.924062,0,0,0,0
114,-95.091514,-100.29278,-90.931868,-77.558064,-67.066945,-55.569184,-47.304156,-36.533905,-28.732115,-16.922549,0,0,0,0
115,-95.083016,-100.28381,-90.923742,-77.551134,-67.060952,-55.564218,-47.299928,-36.53064,-28.729547,-16.921037,0,0,0,0
116,-95.074519,-100.27485,-90.915616,-77.544203,-67.054959,-55.559252,-47.295701,-36.527375,-28.726979,-16.919525,0,0,0,0
117,-95.066021,-100.26589,-90.90749,-77.537272,-67.048966,-55.554286,-47.291474,-36.52411,-28.724412,-16.918013,0,0,0,0
118,-95.057523,-100.25693,-90.899364,-77.530341,-67.042972,-55.54932,-47.287247,-36.520846,-28.721844,-16.9165,0,0,0,0
119,-95.049026,-100.24796,-90.891238,-77.52341,-67.036979,-55.544355,-47.283019,-36.517581,-28.719277,-16.914988,0,0,0,0
120,-95.040528,-100.239,-90.883112,-77.516479,-67.030986,-55.539389,-47.278792,-36.514316,-28.716709,-16.913476,0,0,0,0
121,-95.03203,-100.23004,-90.874986,-77.509549,-67.024992,-55.534423,-47.274565,-36.511051,-28.714142,-16.911964,0,0,0,0
122,-95.023533,-100.22108,-90.86686,-77.502618,-67.018999,-55.529457,-47.270338,-36.507786,-28.711574,-16.910451,0,0,0,0
123,-95.015035,-100.21211,-90.858734,-77.495687,-67.013006,-55.524491,-47.26611,-36.504522,-28.709006,-16.908939,0,0,0,0
124,-95.006537,-100.20315,-90.850608,-77.488756,-67.007012,-55.519525,-47.261883,-36.501257,-28.706439,-16.907427,0,0,0,0
125,-94.99804,-100.19419,-90.842482,-77.481825,-67.001019,-55.51456,-47.257656,-36.497992,-28.703871,-16.905915,0,0,0,0
126,-94.989542,-100.18523,-90.834357,-77.474894,-66.995026,-55.509594,-47.253429,-36.494727,-28.701304,-16.904402,0,0,0,0
127,-94.981044,-100.17626,-90.826231,-77.467963,-66.989032,-55.504628,-47.249201,-36.491463,-28.698736,-16.90289,0,0,0,0
128,-94.972546,-100.1673,-90.818105,-77.461033,-66.983039,-55.499662,-47.244974,-36.488198,-28.696168,-16.901378,0,0,0,0
129,-94.964049,-100.15834,-90.809979,-77.454102,-66.977046,-55.494696,-47.240747,-36.484933,-28.693601,-16.899866,0,0,0,0
130,-94.955551,-100.14938,-90.801853,-77.447171,-66.971052,-55.48973,-47.23652,-36.481668,-28.691033,-16.898353,0,0,0,0
131,-94.947053,-100.14041,-90.793727,-77.44024,-66.965059,-55.484764,-47.232292,-36.478403,-28.688466,-16.896841,0,0,0,0
132,-94.938556,-100.13145,-90.785601,-77.433309,-66.959066,-55.479799,-47.228065,-36.475139,-28.685898,-16.895329,0,0,0,0
133,-94.930058,-100.12249,-90.777475,-77.426378,-66.953072,-55.474833,-47.223838,-36.471874,-28.68333,-16.893817,0,0,0,0
134,-94.92156,-100.11353,-90.769349,-77.419448,-66.947079,-55.469867,-47.219611,-36.468609,-28.680763,-16.892304,0,0,0,0
135,-94.913063,-100.10456,-90.761223,-77.412517,-66.941086,-55.464901,-47.215383,-36.465344,-28.678195,-16.890792,0,0,0,0
136,-94.904565,-100.0956,-90.753097,-77.405586,-66.935092,-55.459935,-47.211156,-36.462079,-28.675628,-16.88928,0,0,0,0
137,-94.896067,-100.08664,-90.744971,-77.398655,-66.929099,-55.454969,-47.206929,-36.458815,-28.67306,-16.887768,0,0,0,0
138,-94.88757,-100.07768,-90.736845,-77.391724,-66.923106,-55.450004,-47.202702,-36.45555,-28.670492,-16.886255,0,0,0,0
139,-94.879072,-100.06871,-90.728719,-77.384793,-66.917112,-55.445038,-47.198474,-36.452285,-28.667925,-16.884743,0,0,0,0
140,-94.870574,-100.05975,-90.720593,-77.377863,-66.911119,-55.440072,-47.194247,-36.44902,-28.665357,-16.883231,0,0,0,0
141,-94.804125,-99.989668,-90.657051,-77.323666,-66.864254,-55.401241,-47.161192,-36.423491,-28.64528,-16.871406,0,0,0,0
142,-94.73767,-99.919578,-90.593503,-77.269464,-66.817384,-55.362406,-47.128133,-36.397959,-28.6252,-16.859579,0,0,0,0
143,-94.671215,-99.849488,-90.529955,-77.215263,-66.770514,-55.323571,-47.095074,-36.372427,-28.605121,-16.847753,0,0,0,0
144,-94.60476,-99.779398,-90.466407,-77.161061,-66.723644,-55.284737,-47.062016,-36.346895,-28.585041,-16.835926,0,0,0,0
145,-94.538306,-99.709308,-90.402859,-77.106859,-66.676774,-55.245902,-47.028957,-36.321364,-28.564961,-16.8241,0,0,0,0
146,-94.471851,-99.639218,-90.339311,-77.052658,-66.629904,-55.207067,-46.995898,-36.295832,-28.544882,-16.812274,0,0,0,0
147,-94.405396,-99.569129,-90.275763,-76.998456,-66.583034,-55.168233,-46.96284,-36.2703,-28.524802,-16.800447,0,0,0,0
148,-94.338941,-99.499039,-90.212215,-76.944254,-66.536164,-55.129398,-46.929781,-36.244768,-28.504723,-16.788621,0,0,0,0
149,-94.272486,-99.428949,-90.148667,-76.890053,-66.489294,-55.090563,-46.896723,-36.219236,-28.484643,-16.776795,0,0,0,0
150,-94.206031,-99.358859,-90.085119,-76.835851,-66.442424,-55.051729,-46.863664,-36.193704,-28.464564,-16.764968,0,0,0,0
151,-94.139576,-99.288769,-90.021571,-76.781649,-66.395554,-55.012894,-46.830605,-36.168173,-28.444484,-16.753142,0,0,0,0
152,-94.073121,-99.218679,-89.958023,-76.727448,-66.348685,-54.974059,-46.797547,-36.142641,-28.424405,-16.741315,0,0,0,0
153,-94.006666,-99.148589,-89.894475,-76.673246,-66.301815,-54.935225,-46.764488,-36.117109,-28.404325,-16.729489,0,0,0,0
154,-93.940211,-99.0785,-89.830927,-76.619044,-66.254945,-54.89639,-46.731429,-36.091577,-28.384246,-16.717663,0,0,0,0
155,-93.873756,-99.00841,-89.767379,-76.564843,-66.208075,-54.857555,-46.698371,-36.066045,-28.364166,-16.705836,0,0,0,0
156,-93.807301,-98.93832,-89.703831,-76.510641,-66.161205,-54.818721,-46.665312,-36.040514,-28.344087,-16.69401,0,0,0,0
157,-93.740846,-98.86823,-89.640283,-76.456439,-66.114335,-54.779886,-46.632253,-36.014982,-28.324007,-16.682184,0,0,0,0
158,-93.674391,-98.79814,-89.576735,-76.402238,-66.067465,-54.741051,-46.599195,-35.98945,-28.303928,-16.670357,0,0,0,0
159,-93.607936,-98.72805,-89.513187,-76.348036,-66.020595,-54.702217,-46.566136,-35.963918,-28.283848,-16.658531,0,0,0,0
160,-93.541481,-98.65796,-89.449639,-76.293834,-65.973725,-54.663382,-46.533078,-35.938386,-28.263769,-16.646705,0,0,0,0
161,-93.475026,-98.587871,-89.386091,-76.239633,-65.926855,-54.624547,-46.500019,-35.912855,-28.243689,-16.634878,0,0,0,0
162,-93.408571,-98.517781,-89.322544,-76.185431,-65.879986,-54.585713,-46.46696,-35.887323,-28.22361,-16.623052,0,0,0,0
163,-93.342117,-98.447691,-89.258996,-76.13123,-65.833116,-54.546878,-46.433902,-35.861791,-28.20353,-16.611225,0,0,0,0
164,-93.275662,-98.377601,-89.195448,-76.077028,-65.786246,-54.508043,-46.400843,-35.836259,-28.183451,-16.599399,0,0,0,0
165,-93.209207,-98.307511,-89.1319,-76.022826,-65.739376,-54.469209,-46.367784,-35.810727,-28.163371,-16.587573,0,0,0,0
166,-93.142752,-98.237421,-89.068352,-75.968625,-65.692506,-54.430374,-46.334726,-35.785195,-28.143292,-16.575746,0,0,0,0
167,-93.076297,-98.167331,-89.004804,-75.914423,-65.645636,-54.391539,-46.301667,-35.759664,-28.123212,-16.56392,0,0,0,0
168,-93.009842,-98.097242,-88.941256,-75.860221,-65.598766,-54.352705,-46.268609,-35.734132,-28.103133,-16.552094,0,0,0,0
169,-92.943387,-98.027152,-88.877708,-75.80602,-65.551896,-54.31387,-46.23555,-35.7086,-28.083053,-16.540267,0,0,0,0
170,-92.876932,-97.957062,-88.81416,-75.751818,-65.505026,-54.275035,-46.202491,-35.683068,-28.062974,-16.528441,0,0,0,0
171,-92.810477,-97.886972,-88.750612,-75.697616,-65.458156,-54.236201,-46.169433,-35.657536,-28.042894,-16.516615,0,0,0,0
172,-92.744022,-97.816882,-88.687064,-75.643415,-65.411286,-54.197366,-46.136374,-35.632005,-28.022815,-16.504788,0,0,0,0
173,-92.677567,-97.746792,-88.623516,-75.589213,-65.364417,-54.158531,-46.103315,-35.606473,-28.002735,-16.492962,0,0,0,0
174,-92.611112,-97.676702,-88.559968,-75.535011,-65.317547,-54.119697,-46.070257,-35.580941,-27.982656,-16.481135,0,0,0,0
175,-92.544657,-97.606613,-88.49642,-75.48081,-65.270677,-54.080862,-46.037198,-35.555409,-27.962576,-16.469309,0,0,0,0
176,-92.478202,-97.536523,-88.432872,-75.426608,-65.223807,-54.042027,-46.00414,-35.529877,-27.942497,-16.457483,0,0,0,0
177,-92.411747,-97.466433,-88.369324,-75.372406,-65.176937,-54.003193,-45.971081,-35.504346,-27.922417,-16.445656,0,0,0,0
178,-92.345292,-97.396343,-88.305776,-75.318205,-65.130067,-53.964358,-45.938022,-35.478814,-27.902338,-16.43383,0,0,0,0
179,-92.278837,-97.326253,-88.242228,-75.264003,-65.083197,-53.925523,-45.904964,-35.453282,-27.882258,-16.422004,0,0,0,0
180,-92.212382,-97.256163,-88.17868,-75.209801,-65.036327,-53.886689,-45.871905,-35.42775,-27.862179,-16.410177,0,0,0,0
181,-92.145928,-97.186073,-88.115132,-75.1556,-64.989457,-53.847854,-45.838846,-35.402218,-27.842099,-16.398351,0,0,0,0
182,-92.079473,-97.115983,-88.051584,-75.101398,-64.942587,-53.809019,-45.805788,-35.376686,-27.82202,-16.386524,0,0,0,0
183,-92.013018,-97.045894,-87.988036,-75.047197,-64.895718,-53.770185,-45.772729,-35.351155,-27.80194,-16.374698,0,0,0,0
184,-91.946563,-96.975804,-87.924488,-74.992995,-64.848848,-53.73135,-45.73967,-35.325623,-27.781861,-16.362872,0,0,0,0
185,-91.880108,-96.905714,-87.86094,-74.938793,-64.801978,-53.692515,-45.706612,-35.300091,-27.761781,-16.351045,0,0,0,0
186,-91.813653,-96.835624,-87.797392,-74.884592,-64.755108,-53.653681,-45.673553,-35.274559,-27.741702,-16.339219,0,0,0,0
187,-91.747198,-96.765534,-87.733844,-74.83039,-64.708238,-53.614846,-45.640495,-35.249027,-27.721622,-16.327393,0,0,0,0
188,-91.680743,-96.695444,-87.670296,-74.776188,-64.661368,-53.576012,-45.607436,-35.223496,-27.701543,-16.315566,0,0,0,0
189,-91.614288,-96.625354,-87.606748,-74.721987,-64.614498,-53.537177,-45.574377,-35.197964,-27.681463,-16.30374,0,0,0,0
190,-91.547833,-96.555265,-87.5432,-74.667785,-64.567628,-53.498342,-45.541319,-35.172432,-27.661383,-16.291914,0,0,0,0
191,-91.481378,-96.485175,-87.479652,-74.613583,-64.520758,-53.459508,-45.50826,-35.1469,-27.641304,-16.280087,0,0,0,0
192,-91.414923,-96.415085,-87.416105,-74.559382,-64.473888,-53.420673,-45.475201,-35.121368,-27.621224,-16.268261,0,0,0,0
