Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
35,-95.762831,0,0,0,0,0,0,0,0,-3.8130792,-1.6425361,0,0,0,0,0,-4.6485827,-46.169684,-45.849982,0,0,0,0,0,-0.1017708,-2.3104836,0,0,0,0,0,0,0,0,0
36,-95.754334,0,0,0,0,0,0,0,0,-3.8127409,-1.6423904,0,0,0,0,0,-4.6481702,-46.165587,-45.845913,0,0,0,0,0,-0.10176177,-2.3102786,0,0,0,0,0,0,0,0,0
37,-95.745836,0,0,0,0,0,0,0,0,-3.8124025,-1.6422446,0,0,0,0,0,-4.6477577,-46.16149,-45.841845,0,0,0,0,0,-0.10175274,-2.3100736,0,0,0,0,0,0,0,0,0
38,-95.737338,0,0,0,0,0,0,0,0,-3.8120641,-1.6420988,0,0,0,0,0,-4.6473452,-46.157393,-45.837776,0,0,0,0,0,-0.10174371,-2.3098686,0,0,0,0,0,0,0,0,0
39,-95.728841,0,0,0,0,0,0,0,0,-3.8117258,-1.6419531,0,0,0,0,0,-4.6469327,-46.153296,-45.833708,0,0,0,0,0,-0.10173468,-2.3096635,0,0,0,0,0,0,0,0,0
40,-95.720343,0,0,0,0,0,0,0,0,-3.8113874,-1.6418073,0,0,0,0,0,-4.6465202,-46.149199,-45.829639,0,0,0,0,0,-0.10172565,-2.3094585,0,0,0,0,0,0,0,0,0
41,-95.711845,0,0,0,0,0,0,0,0,-3.8110491,-1.6416616,0,0,0,0,0,-4.6461077,-46.145102,-45.825571,0,0,0,0,0,-0.10171662,-2.3092535,0,0,0,0,0,0,0,0,0
42,-95.703348,0,0,0,0,0,0,0,0,-3.8107107,-1.6415158,0,0,0,0,0,-4.6456952,-46.141005,-45.821502,0,0,0,0,0,-0.10170758,-2.3090485,0,0,0,0,0,0,0,0,0
43,-95.69485,0,0,0,0,0,0,0,0,-3.8103723,-1.6413701,0,0,0,0,0,-4.6452827,-46.136908,-45.817433,0,0,0,0,0,-0.10169855,-2.3088434,0,0,0,0,0,0,0,0,0
44,-95.686352,0,0,0,0,0,0,0,0,-3.810034,-1.6412243,0,0,0,0,0,-4.6448702,-46.132811,-45.813365,0,0,0,0,0,-0.10168952,-2.3086384,0,0,0,0,0,0,0,0,0
