position,SA_spikes,RA_spikes,SA_activated,RA_activated,SA_mean_firing_frequency,RA_mean_firing_frequency,SA_peak_firing_frequency,RA_peak_firing_frequency,SA_first_spike_time,RA_first_spike_time
x6.364701271003737_y13.145223826918073_d4,0,0,0,0,0.0,0,0,0,0,0
x31.335323797955244_y18.188590239768747_d4,0,0,0,0,0.0,0,0,0,0,0
x9.976476673828284_y12.31581081696711_d4,0,0,0,0,0.0,0,0,0,0,0
x48.46029358588426_y6.6408136885361815_d4,0,0,0,0,0.0,0,0,0,0,0
x15.531460914565315_y19.780685775477806_d4,0,0,0,0,0,0.0,0,0,0,0
x20.687921440643738_y16.926113483257158_d4,0,0,0,0,0,0.0,0,0,0,0
x4.586404824610074_y5.7319023494863615_d4,0,0,0,0,0,0.0,0,0,0,0
x27.502725463815697_y20.805971526222486_d4,0,0,0,0,0.0,0,0,0,0,0
x45.50363083990953_y0.6995497789839822_d4,0,0,0,0,0.0,0,0,0,0,0
x48.27583195687367_y21.475065991451466_d4,0,0,0,0,0.0,0,0,0,0,0
x34.575405391576766_y2.722593471033155_d4,0,0,0,0,0.0,0,0,0,0,0
x28.147372096576827_y18.26195130509842_d4,0,0,0,0,0.0,0,0,0,0,0
x12.181176233044933_y24.94793811088856_d4,0,0,0,0,0,0.0,0,0,0,0
x2.145309520127908_y17.52139123619344_d4,0,0,0,0,0,0.0,0,0,0,0
x7.8941935130301175_y19.671500682882467_d4,0,0,0,0,0,0.0,0,0,0,0
x44.25109256059031_y2.5062936018962145_d4,0,0,0,0,0,0.0,0,0,0,0
x48.35274590386098_y15.376450515877405_d4,0,0,0,0,0,0.0,0,0,0,0
x13.31419942129093_y20.18546318000287_d4,0,0,0,0,0.0,0,0,0,0,0
x49.2554339668566_y19.584916137870145_d4,0,0,0,0,0,0.0,0,0,0,0
x28.67219689205802_y11.460310861143459_d4,0,0,0,0,0,0.0,0,0,0,0
x21.179381835715223_y8.943947102008467_d4,0,0,0,0,0.0,0,0,0,0,0
x35.8016324277222_y1.409304052975477_d4,0,0,0,0,0,0.0,0,0,0,0
x45.311570989364206_y20.409107637996403_d4,0,0,0,0,0,0.0,0,0,0,0
x48.11975369054002_y2.763057351316514_d4,0,0,0,0,0,0.0,0,0,0,0
x41.18765801315121_y6.885631592575622_d4,0,0,0,0,0.0,0,0,0,0,0
x34.79734294075941_y10.310838735871606_d4,0,0,0,0,0.0,0,0,0,0,0
x31.91950528884743_y7.021487365806067_d4,0,0,0,0,0,0.0,0,0,0,0
x19.61594700327297_y5.530453193289809_d4,0,0,0,0,0,0.0,0,0,0,0
x22.4192836618614_y10.078679545179273_d4,0,0,0,0,0.0,0,0,0,0,0
x17.494884025193947_y17.660264441675274_d4,0,0,0,0,0.0,0,0,0,0,0
x9.073816015208447_y4.15723925021472_d4,20,0,1,0,12.887226340274738,0,40.0,0,72.0,0
x7.969685357276829_y16.118358498198727_d4,0,0,0,0,0.0,0,0,0,0,0
x49.38791946575242_y22.184076552091323_d4,0,0,0,0,0.0,0,0,0,0,0
x37.55161497674594_y3.8994482008614133_d4,0,0,0,0,0.0,0,0,0,0,0
x5.178923172418609_y0.4524089550368787_d4,0,0,0,0,0,0.0,0,0,0,0
