Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa)
20,-4.4538948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.14339874,-0.20547333,-0.055008707,0,0,0,0,0,0,0,-0.26579292,-1.1177159,-4.4538948,-0.83876513,-0.076676445,0,0,0,0,0,0,-0.57664676,-1.4065926,-3.584522,-0.92658603,-0.042129906,0,0,0,0,0,0,0,0,-0.69885634,-0.66105226,-0.16590644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-4.3064945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.138653,-0.19867326,-0.053188211,0,0,0,0,0,0,0,-0.25699659,-1.0807254,-4.3064945,-0.81100646,-0.074138861,0,0,0,0,0,0,-0.55756281,-1.3600419,-3.4658934,-0.89592095,-0.04073563,0,0,0,0,0,0,0,0,-0.6757279,-0.63917494,-0.16041582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-4.1590942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13390727,-0.19187318,-0.051367715,0,0,0,0,0,0,0,-0.24820025,-1.0437349,-4.1590942,-0.78324778,-0.071601278,0,0,0,0,0,0,-0.53847887,-1.3134911,-3.3472647,-0.86525587,-0.039341354,0,0,0,0,0,0,0,0,-0.65259946,-0.61729762,-0.1549252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-4.0116939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12916153,-0.1850731,-0.049547218,0,0,0,0,0,0,0,-0.23940392,-1.0067445,-4.0116939,-0.75548911,-0.069063694,0,0,0,0,0,0,-0.51939492,-1.2669404,-3.228636,-0.83459079,-0.037947077,0,0,0,0,0,0,0,0,-0.62947103,-0.5954203,-0.14943458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-3.8642936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12441579,-0.17827302,-0.047726722,0,0,0,0,0,0,0,-0.23060758,-0.96975401,-3.8642936,-0.72773043,-0.066526111,0,0,0,0,0,0,-0.50031097,-1.2203896,-3.1100074,-0.80392571,-0.036552801,0,0,0,0,0,0,0,0,-0.60634259,-0.57354298,-0.14394395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-3.7168934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11967005,-0.17147295,-0.045906226,0,0,0,0,0,0,0,-0.22181125,-0.93276354,-3.7168934,-0.69997175,-0.063988528,0,0,0,0,0,0,-0.48122702,-1.1738389,-2.9913787,-0.77326062,-0.035158525,0,0,0,0,0,0,0,0,-0.58321415,-0.55166565,-0.13845333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-3.5694931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11492432,-0.16467287,-0.044085729,0,0,0,0,0,0,0,-0.21301491,-0.89577308,-3.5694931,-0.67221308,-0.061450944,0,0,0,0,0,0,-0.46214307,-1.1272881,-2.8727501,-0.74259554,-0.033764248,0,0,0,0,0,0,0,0,-0.56008572,-0.52978833,-0.13296271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-3.4220928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11017858,-0.15787279,-0.042265233,0,0,0,0,0,0,0,-0.20421858,-0.85878261,-3.4220928,-0.6444544,-0.058913361,0,0,0,0,0,0,-0.44305913,-1.0807374,-2.7541214,-0.71193046,-0.032369972,0,0,0,0,0,0,0,0,-0.53695728,-0.50791101,-0.12747208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-3.2746925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10543284,-0.15107272,-0.040444737,0,0,0,0,0,0,0,-0.19542224,-0.82179215,-3.2746925,-0.61669573,-0.056375777,0,0,0,0,0,0,-0.42397518,-1.0341866,-2.6354928,-0.68126538,-0.030975696,0,0,0,0,0,0,0,0,-0.51382884,-0.48603369,-0.12198146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-3.1272922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1006871,-0.14427264,-0.03862424,0,0,0,0,0,0,0,-0.1866259,-0.78480168,-3.1272922,-0.58893705,-0.053838194,0,0,0,0,0,0,-0.40489123,-0.98763586,-2.5168641,-0.6506003,-0.029581419,0,0,0,0,0,0,0,0,-0.49070041,-0.46415636,-0.11649084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
