Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
30,-2.9798919,0,0,0,0,0,0,0,0,0,0,-0.0086653024,0,0,0,0,0,-0.38407369,-1.1742512,-0.15810423,0,0,0,0,-0.48003092,-1.4296349,-0.2115438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-2.8324917,0,0,0,0,0,0,0,0,0,0,-0.0082366734,0,0,0,0,0,-0.36507549,-1.1161669,-0.1502836,0,0,0,0,-0.4562862,-1.358918,-0.20107979,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-2.6850914,0,0,0,0,0,0,0,0,0,0,-0.0078080444,0,0,0,0,0,-0.3460773,-1.0580826,-0.14246298,0,0,0,0,-0.43254149,-1.2882012,-0.19061578,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-2.5376911,0,0,0,0,0,0,0,0,0,0,-0.0073794154,0,0,0,0,0,-0.3270791,-0.99999827,-0.13464236,0,0,0,0,-0.40879677,-1.2174843,-0.18015178,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-2.3902908,0,0,0,0,0,0,0,0,0,0,-0.0069507865,0,0,0,0,0,-0.30808091,-0.94191396,-0.12682174,0,0,0,0,-0.38505205,-1.1467675,-0.16968777,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-2.2428905,0,0,0,0,0,0,0,0,0,0,-0.0065221575,0,0,0,0,0,-0.28908271,-0.88382966,-0.11900112,0,0,0,0,-0.36130733,-1.0760506,-0.15922376,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-2.0954902,0,0,0,0,0,0,0,0,0,0,-0.0060935285,0,0,0,0,0,-0.27008451,-0.82574535,-0.1111805,0,0,0,0,-0.33756261,-1.0053337,-0.14875975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-1.94809,0,0,0,0,0,0,0,0,0,0,-0.0056648995,0,0,0,0,0,-0.25108632,-0.76766104,-0.10335987,0,0,0,0,-0.3138179,-0.93461689,-0.13829574,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-1.8006897,0,0,0,0,0,0,0,0,0,0,-0.0052362706,0,0,0,0,0,-0.23208812,-0.70957674,-0.095539252,0,0,0,0,-0.29007318,-0.86390003,-0.12783173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-1.6532894,0,0,0,0,0,0,0,0,0,0,-0.0048076416,0,0,0,0,0,-0.21308993,-0.65149243,-0.08771863,0,0,0,0,-0.26632846,-0.79318318,-0.11736772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-1.5058891,0,0,0,0,0,0,0,0,0,0,-0.0043790126,0,0,0,0,0,-0.19409173,-0.59340812,-0.079898009,0,0,0,0,-0.24258374,-0.72246632,-0.10690371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-1.3584888,0,0,0,0,0,0,0,0,0,0,-0.0039503836,0,0,0,0,0,-0.17509353,-0.53532381,-0.072077387,0,0,0,0,-0.21883902,-0.65174947,-0.096439702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-1.2110885,0,0,0,0,0,0,0,0,0,0,-0.0035217547,0,0,0,0,0,-0.15609534,-0.47723951,-0.064256765,0,0,0,0,-0.1950943,-0.58103261,-0.085975693,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-1.0636882,0,0,0,0,0,0,0,0,0,0,-0.0030931257,0,0,0,0,0,-0.13709714,-0.4191552,-0.056436143,0,0,0,0,-0.17134959,-0.51031576,-0.075511683,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-0.91628796,0,0,0,0,0,0,0,0,0,0,-0.0026644967,0,0,0,0,0,-0.11809895,-0.36107089,-0.048615521,0,0,0,0,-0.14760487,-0.4395989,-0.065047674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-0.76888768,0,0,0,0,0,0,0,0,0,0,-0.0022358677,0,0,0,0,0,-0.099100751,-0.30298658,-0.040794899,0,0,0,0,-0.12386015,-0.36888205,-0.054583665,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-0.6214874,0,0,0,0,0,0,0,0,0,0,-0.0018072388,0,0,0,0,0,-0.080102555,-0.24490228,-0.032974278,0,0,0,0,-0.10011543,-0.29816519,-0.044119656,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-0.47408711,0,0,0,0,0,0,0,0,0,0,-0.0013786098,0,0,0,0,0,-0.061104359,-0.18681797,-0.025153656,0,0,0,0,-0.076370714,-0.22744834,-0.033655647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-0.32668683,0,0,0,0,0,0,0,0,0,0,-0.00094998081,0,0,0,0,0,-0.042106163,-0.12873366,-0.017333034,0,0,0,0,-0.052625996,-0.15673148,-0.023191638,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-0.17928654,0,0,0,0,0,0,0,0,0,0,-0.00052135183,0,0,0,0,0,-0.023107967,-0.070649354,-0.0095124122,0,0,0,0,-0.028881277,-0.086014628,-0.012727628,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,-0.031886261,0,0,0,0,0,0,0,0,0,0,-9.2722856e-05,0,0,0,0,0,-0.0041097711,-0.012565046,-0.0016917904,0,0,0,0,-0.0051365591,-0.015297773,-0.0022636193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.11551402,0,0,0,0,0,0,0,0,0,0,0.00033590612,0,0,0,0,0,0.014888425,0.045519261,0.0061288314,0,0,0,0,0.018608159,0.055419082,0.0082003899,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.26291431,0,0,0,0,0,0,0,0,0,0,0.0007645351,0,0,0,0,0,0.033886621,0.10360357,0.013949453,0,0,0,0,0.042352877,0.12613594,0.018664399,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0.41031459,0,0,0,0,0,0,0,0,0,0,0.0011931641,0,0,0,0,0,0.052884817,0.16168788,0.021770075,0,0,0,0,0.066097595,0.19685279,0.029128408,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.55771487,0,0,0,0,0,0,0,0,0,0,0.001621793,0,0,0,0,0,0.071883013,0.21977218,0.029590697,0,0,0,0,0.089842314,0.26756965,0.039592417,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.70511516,0,0,0,0,0,0,0,0,0,0,0.002050422,0,0,0,0,0,0.090881209,0.27785649,0.037411319,0,0,0,0,0.11358703,0.3382865,0.050056427,0,0,0,0,0,0,0,0,0,0,0,0,0,0
