Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa)
10,-2.7145043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.55280503,-1.3542241,-1.2773643,-0.59510219,0,0,0,0,0,0,0,0,-0.31762207,-1.7150832,-2.6467614,-2.0739383,-0.84908114,0,0,0,0,0,0,0,-0.40395655,-0.92884708,-1.2694521,-1.1014493,-0.34293895,0,0,0,0,0,0,0,0,0,-0.10627478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-2.7645323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.56299317,-1.3791823,-1.300906,-0.60606986,0,0,0,0,0,0,0,0,-0.32347581,-1.746692,-2.695541,-2.1121608,-0.86472961,0,0,0,0,0,0,0,-0.41140143,-0.94596564,-1.292848,-1.1217489,-0.34925928,0,0,0,0,0,0,0,0,0,-0.10823341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-2.8145604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.57318131,-1.4041405,-1.3244477,-0.61703753,0,0,0,0,0,0,0,0,-0.32932956,-1.7783008,-2.7443205,-2.1503833,-0.88037809,0,0,0,0,0,0,0,-0.41884631,-0.96308419,-1.3162438,-1.1420485,-0.35557961,0,0,0,0,0,0,0,0,0,-0.11019204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-2.8645884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.58336945,-1.4290987,-1.3479894,-0.6280052,0,0,0,0,0,0,0,0,-0.3351833,-1.8099096,-2.7931,-2.1886057,-0.89602657,0,0,0,0,0,0,0,-0.42629118,-0.98020275,-1.3396397,-1.162348,-0.36189994,0,0,0,0,0,0,0,0,0,-0.11215067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-2.9146164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.59355759,-1.4540569,-1.3715311,-0.63897287,0,0,0,0,0,0,0,0,-0.34103704,-1.8415184,-2.8418796,-2.2268282,-0.91167504,0,0,0,0,0,0,0,-0.43373606,-0.9973213,-1.3630356,-1.1826476,-0.36822027,0,0,0,0,0,0,0,0,0,-0.11410931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-2.9646444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.60374573,-1.4790151,-1.3950728,-0.64994054,0,0,0,0,0,0,0,0,-0.34689078,-1.8731272,-2.8906591,-2.2650507,-0.92732352,0,0,0,0,0,0,0,-0.44118094,-1.0144399,-1.3864314,-1.2029472,-0.3745406,0,0,0,0,0,0,0,0,0,-0.11606794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-3.0146725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.61393387,-1.5039733,-1.4186145,-0.66090821,0,0,0,0,0,0,0,0,-0.35274452,-1.904736,-2.9394386,-2.3032731,-0.942972,0,0,0,0,0,0,0,-0.44862582,-1.0315584,-1.4098273,-1.2232468,-0.38086093,0,0,0,0,0,0,0,0,0,-0.11802657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-3.0647005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.62412201,-1.5289315,-1.4421562,-0.67187589,0,0,0,0,0,0,0,0,-0.35859826,-1.9363448,-2.9882182,-2.3414956,-0.95862047,0,0,0,0,0,0,0,-0.45607069,-1.048677,-1.4332232,-1.2435464,-0.38718126,0,0,0,0,0,0,0,0,0,-0.11998521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-3.1147285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.63431014,-1.5538898,-1.4656979,-0.68284356,0,0,0,0,0,0,0,0,-0.36445201,-1.9679536,-3.0369977,-2.3797181,-0.97426895,0,0,0,0,0,0,0,-0.46351557,-1.0657955,-1.456619,-1.263846,-0.39350159,0,0,0,0,0,0,0,0,0,-0.12194384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-3.1647566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64449828,-1.578848,-1.4892395,-0.69381123,0,0,0,0,0,0,0,0,-0.37030575,-1.9995624,-3.0857772,-2.4179405,-0.98991742,0,0,0,0,0,0,0,-0.47096045,-1.0829141,-1.4800149,-1.2841456,-0.39982192,0,0,0,0,0,0,0,0,0,-0.12390247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-3.2147846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.65468642,-1.6038062,-1.5127812,-0.7047789,0,0,0,0,0,0,0,0,-0.37615949,-2.0311712,-3.1345568,-2.456163,-1.0055659,0,0,0,0,0,0,0,-0.47840532,-1.1000326,-1.5034108,-1.3044452,-0.40614224,0,0,0,0,0,0,0,0,0,-0.12586111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-3.2648126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.66487456,-1.6287644,-1.5363229,-0.71574657,0,0,0,0,0,0,0,0,-0.38201323,-2.06278,-3.1833363,-2.4943854,-1.0212144,0,0,0,0,0,0,0,-0.4858502,-1.1171512,-1.5268067,-1.3247448,-0.41246257,0,0,0,0,0,0,0,0,0,-0.12781974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-3.3148407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6750627,-1.6537226,-1.5598646,-0.72671424,0,0,0,0,0,0,0,0,-0.38786697,-2.0943888,-3.2321158,-2.5326079,-1.0368629,0,0,0,0,0,0,0,-0.49329508,-1.1342697,-1.5502025,-1.3450444,-0.4187829,0,0,0,0,0,0,0,0,0,-0.12977837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-3.3648687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.68525084,-1.6786808,-1.5834063,-0.73768191,0,0,0,0,0,0,0,0,-0.39372071,-2.1259976,-3.2808954,-2.5708304,-1.0525113,0,0,0,0,0,0,0,-0.50073995,-1.1513883,-1.5735984,-1.365344,-0.42510323,0,0,0,0,0,0,0,0,0,-0.131737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-3.4148967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.69543898,-1.703639,-1.606948,-0.74864958,0,0,0,0,0,0,0,0,-0.39957445,-2.1576064,-3.3296749,-2.6090528,-1.0681598,0,0,0,0,0,0,0,-0.50818483,-1.1685068,-1.5969943,-1.3856436,-0.43142356,0,0,0,0,0,0,0,0,0,-0.13369564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-3.4649247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.70562712,-1.7285972,-1.6304897,-0.75961725,0,0,0,0,0,0,0,0,-0.4054282,-2.1892152,-3.3784545,-2.6472753,-1.0838083,0,0,0,0,0,0,0,-0.51562971,-1.1856254,-1.6203901,-1.4059432,-0.43774389,0,0,0,0,0,0,0,0,0,-0.13565427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-3.5149528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.71581526,-1.7535554,-1.6540314,-0.77058493,0,0,0,0,0,0,0,0,-0.41128194,-2.220824,-3.427234,-2.6854978,-1.0994568,0,0,0,0,0,0,0,-0.52307459,-1.202744,-1.643786,-1.4262428,-0.44406422,0,0,0,0,0,0,0,0,0,-0.1376129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-3.5649808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7260034,-1.7785136,-1.6775731,-0.7815526,0,0,0,0,0,0,0,0,-0.41713568,-2.2524328,-3.4760135,-2.7237202,-1.1151052,0,0,0,0,0,0,0,-0.53051946,-1.2198625,-1.6671819,-1.4465424,-0.45038455,0,0,0,0,0,0,0,0,0,-0.13957154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-3.6150088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.73619153,-1.8034718,-1.7011148,-0.79252027,0,0,0,0,0,0,0,0,-0.42298942,-2.2840417,-3.5247931,-2.7619427,-1.1307537,0,0,0,0,0,0,0,-0.53796434,-1.2369811,-1.6905777,-1.466842,-0.45670488,0,0,0,0,0,0,0,0,0,-0.14153017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-3.6650369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.74637967,-1.82843,-1.7246564,-0.80348794,0,0,0,0,0,0,0,0,-0.42884316,-2.3156505,-3.5735726,-2.8001652,-1.1464022,0,0,0,0,0,0,0,-0.54540922,-1.2540996,-1.7139736,-1.4871416,-0.46302521,0,0,0,0,0,0,0,0,0,-0.1434888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-3.7150649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.75656781,-1.8533882,-1.7481981,-0.81445561,0,0,0,0,0,0,0,0,-0.4346969,-2.3472593,-3.6223521,-2.8383876,-1.1620507,0,0,0,0,0,0,0,-0.55285409,-1.2712182,-1.7373695,-1.5074412,-0.46934553,0,0,0,0,0,0,0,0,0,-0.14544744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-3.7650929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.76675595,-1.8783465,-1.7717398,-0.82542328,0,0,0,0,0,0,0,0,-0.44055065,-2.3788681,-3.6711317,-2.8766101,-1.1776991,0,0,0,0,0,0,0,-0.56029897,-1.2883367,-1.7607653,-1.5277408,-0.47566586,0,0,0,0,0,0,0,0,0,-0.14740607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-3.7833415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.77047225,-1.8874504,-1.7803271,-0.82942392,0,0,0,0,0,0,0,0,-0.4426859,-2.3903979,-3.6889248,-2.8905524,-1.1834072,0,0,0,0,0,0,0,-0.56301462,-1.294581,-1.7692994,-1.5351454,-0.47797131,0,0,0,0,0,0,0,0,0,-0.14812051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-3.8015857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.77418765,-1.8965521,-1.7889122,-0.83342361,0,0,0,0,0,0,0,0,-0.44482064,-2.401925,-3.7067137,-2.9044914,-1.1891139,0,0,0,0,0,0,0,-0.56572961,-1.3008238,-1.7778314,-1.5425482,-0.48027621,0,0,0,0,0,0,0,0,0,-0.14883479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-3.8198299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.77790306,-1.9056539,-1.7974974,-0.8374233,0,0,0,0,0,0,0,0,-0.44695538,-2.4134521,-3.7245026,-2.9184303,-1.1948205,0,0,0,0,0,0,0,-0.5684446,-1.3070666,-1.7863634,-1.5499511,-0.4825811,0,0,0,0,0,0,0,0,0,-0.14954906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-3.8380741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.78161847,-1.9147556,-1.8060826,-0.84142298,0,0,0,0,0,0,0,0,-0.44909012,-2.4249792,-3.7422915,-2.9323693,-1.2005272,0,0,0,0,0,0,0,-0.5711596,-1.3133094,-1.7948954,-1.5573539,-0.484886,0,0,0,0,0,0,0,0,0,-0.15026333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-3.8563183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.78533387,-1.9238574,-1.8146678,-0.84542267,0,0,0,0,0,0,0,0,-0.45122486,-2.4365063,-3.7600804,-2.9463082,-1.2062339,0,0,0,0,0,0,0,-0.57387459,-1.3195522,-1.8034274,-1.5647568,-0.48719089,0,0,0,0,0,0,0,0,0,-0.15097761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-3.8745625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.78904928,-1.9329591,-1.8232529,-0.84942235,0,0,0,0,0,0,0,0,-0.4533596,-2.4480333,-3.7778693,-2.9602472,-1.2119406,0,0,0,0,0,0,0,-0.57658959,-1.3257949,-1.8119594,-1.5721596,-0.48949579,0,0,0,0,0,0,0,0,0,-0.15169188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-3.8928067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.79276469,-1.9420609,-1.8318381,-0.85342204,0,0,0,0,0,0,0,0,-0.45549434,-2.4595604,-3.7956582,-2.9741861,-1.2176473,0,0,0,0,0,0,0,-0.57930458,-1.3320377,-1.8204914,-1.5795625,-0.49180068,0,0,0,0,0,0,0,0,0,-0.15240615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-3.9110509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.79648009,-1.9511626,-1.8404233,-0.85742173,0,0,0,0,0,0,0,0,-0.45762908,-2.4710875,-3.8134471,-2.9881251,-1.223354,0,0,0,0,0,0,0,-0.58201958,-1.3382805,-1.8290234,-1.5869653,-0.49410558,0,0,0,0,0,0,0,0,0,-0.15312043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-3.9292951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8001955,-1.9602644,-1.8490085,-0.86142141,0,0,0,0,0,0,0,0,-0.45976382,-2.4826146,-3.831236,-3.002064,-1.2290606,0,0,0,0,0,0,0,-0.58473457,-1.3445233,-1.8375554,-1.5943682,-0.49641047,0,0,0,0,0,0,0,0,0,-0.1538347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-3.9475393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.80391091,-1.9693661,-1.8575936,-0.8654211,0,0,0,0,0,0,0,0,-0.46189856,-2.4941417,-3.849025,-3.016003,-1.2347673,0,0,0,0,0,0,0,-0.58744957,-1.3507661,-1.8460874,-1.601771,-0.49871537,0,0,0,0,0,0,0,0,0,-0.15454897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-3.9657835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.80762631,-1.9784679,-1.8661788,-0.86942078,0,0,0,0,0,0,0,0,-0.4640333,-2.5056688,-3.8668139,-3.0299419,-1.240474,0,0,0,0,0,0,0,-0.59016456,-1.3570089,-1.8546193,-1.6091739,-0.50102026,0,0,0,0,0,0,0,0,0,-0.15526325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-3.9840277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81134172,-1.9875696,-1.874764,-0.87342047,0,0,0,0,0,0,0,0,-0.46616804,-2.5171959,-3.8846028,-3.0438809,-1.2461807,0,0,0,0,0,0,0,-0.59287956,-1.3632517,-1.8631513,-1.6165767,-0.50332516,0,0,0,0,0,0,0,0,0,-0.15597752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-4.0022719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81505713,-1.9966714,-1.8833492,-0.87742016,0,0,0,0,0,0,0,0,-0.46830278,-2.5287229,-3.9023917,-3.0578199,-1.2518874,0,0,0,0,0,0,0,-0.59559455,-1.3694945,-1.8716833,-1.6239796,-0.50563005,0,0,0,0,0,0,0,0,0,-0.1566918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-4.0205161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.81877253,-2.0057731,-1.8919343,-0.88141984,0,0,0,0,0,0,0,0,-0.47043752,-2.54025,-3.9201806,-3.0717588,-1.257594,0,0,0,0,0,0,0,-0.59830955,-1.3757373,-1.8802153,-1.6313824,-0.50793495,0,0,0,0,0,0,0,0,0,-0.15740607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,-4.0387603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.82248794,-2.0148749,-1.9005195,-0.88541953,0,0,0,0,0,0,0,0,-0.47257226,-2.5517771,-3.9379695,-3.0856978,-1.2633007,0,0,0,0,0,0,0,-0.60102454,-1.38198,-1.8887473,-1.6387852,-0.51023984,0,0,0,0,0,0,0,0,0,-0.15812034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,-4.0570045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.82620335,-2.0239766,-1.9091047,-0.88941921,0,0,0,0,0,0,0,0,-0.474707,-2.5633042,-3.9557584,-3.0996367,-1.2690074,0,0,0,0,0,0,0,-0.60373954,-1.3882228,-1.8972793,-1.6461881,-0.51254474,0,0,0,0,0,0,0,0,0,-0.15883462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,-4.0752487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.82991875,-2.0330784,-1.9176899,-0.8934189,0,0,0,0,0,0,0,0,-0.47684174,-2.5748313,-3.9735473,-3.1135757,-1.2747141,0,0,0,0,0,0,0,-0.60645453,-1.3944656,-1.9058113,-1.6535909,-0.51484963,0,0,0,0,0,0,0,0,0,-0.15954889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,-4.0934929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.83363416,-2.0421801,-1.926275,-0.89741859,0,0,0,0,0,0,0,0,-0.47897648,-2.5863584,-3.9913362,-3.1275146,-1.2804208,0,0,0,0,0,0,0,-0.60916953,-1.4007084,-1.9143433,-1.6609938,-0.51715453,0,0,0,0,0,0,0,0,0,-0.16026316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
