Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa)
20,-3.2147846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23156801,-1.0308832,-0.93522596,-0.26184513,0,0,0,0,0,0,0,0,-0.091955218,-1.5282717,-3.1495602,-2.0975789,-0.4734861,0,0,0,0,0,0,0,-0.13728287,-0.54991929,-0.92559097,-0.73057714,-0.10449286,0,0,0,0,0,0,0,0,0,-0.014828899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-3.2648126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23517164,-1.0469257,-0.94977982,-0.26591992,0,0,0,0,0,0,0,0,-0.093386212,-1.5520544,-3.1985732,-2.1302212,-0.48085443,0,0,0,0,0,0,0,-0.13941925,-0.55847706,-0.93999489,-0.74194628,-0.10611896,0,0,0,0,0,0,0,0,0,-0.015059664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-3.3148407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23877527,-1.0629681,-0.96433368,-0.26999472,0,0,0,0,0,0,0,0,-0.094817206,-1.5758372,-3.2475862,-2.1628634,-0.48822275,0,0,0,0,0,0,0,-0.14155562,-0.56703482,-0.95439881,-0.75331542,-0.10774507,0,0,0,0,0,0,0,0,0,-0.01529043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-3.3648687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2423789,-1.0790106,-0.97888753,-0.27406952,0,0,0,0,0,0,0,0,-0.096248201,-1.5996199,-3.2965992,-2.1955056,-0.49559108,0,0,0,0,0,0,0,-0.143692,-0.57559259,-0.96880273,-0.76468456,-0.10937117,0,0,0,0,0,0,0,0,0,-0.015521195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-3.4148967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24598253,-1.0950531,-0.99344139,-0.27814432,0,0,0,0,0,0,0,0,-0.097679195,-1.6234027,-3.3456122,-2.2281479,-0.5029594,0,0,0,0,0,0,0,-0.14582838,-0.58415036,-0.98320664,-0.7760537,-0.11099727,0,0,0,0,0,0,0,0,0,-0.01575196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-3.4649247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.24958616,-1.1110955,-1.0079952,-0.28221911,0,0,0,0,0,0,0,0,-0.099110189,-1.6471854,-3.3946253,-2.2607901,-0.51032773,0,0,0,0,0,0,0,-0.14796475,-0.59270813,-0.99761056,-0.78742284,-0.11262338,0,0,0,0,0,0,0,0,0,-0.015982725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-3.5149528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25318979,-1.127138,-1.0225491,-0.28629391,0,0,0,0,0,0,0,0,-0.10054118,-1.6709682,-3.4436383,-2.2934323,-0.51769605,0,0,0,0,0,0,0,-0.15010113,-0.60126589,-1.0120145,-0.79879198,-0.11424948,0,0,0,0,0,0,0,0,0,-0.016213491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-3.5649808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25679342,-1.1431805,-1.037103,-0.29036871,0,0,0,0,0,0,0,0,-0.10197218,-1.6947509,-3.4926513,-2.3260745,-0.52506438,0,0,0,0,0,0,0,-0.15223751,-0.60982366,-1.0264184,-0.81016112,-0.11587558,0,0,0,0,0,0,0,0,0,-0.016444256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-3.6150088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26039704,-1.1592229,-1.0516568,-0.29444351,0,0,0,0,0,0,0,0,-0.10340317,-1.7185337,-3.5416643,-2.3587168,-0.5324327,0,0,0,0,0,0,0,-0.15437388,-0.61838143,-1.0408223,-0.82153026,-0.11750169,0,0,0,0,0,0,0,0,0,-0.016675021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-3.6650369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26400067,-1.1752654,-1.0662107,-0.2985183,0,0,0,0,0,0,0,0,-0.10483417,-1.7423164,-3.5906773,-2.391359,-0.53980103,0,0,0,0,0,0,0,-0.15651026,-0.62693919,-1.0552262,-0.8328994,-0.11912779,0,0,0,0,0,0,0,0,0,-0.016905787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
