Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa)
23,7.1136676,0,0.072190742,0.2274614,0.26404632,0.52686422,0.40480809,0,0,0.098121414,0.38682705,1.5368434,2.4804503,0.44907364,0,0,0.027210142,0.31602505,0.72754156,0.98926415,0.33380926,0,0,0,0,0.0039563329,0.14836796,0.057051808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7.4483722,0,0.075587383,0.23816367,0.27646995,0.55165367,0.42385468,0,0,0.10273812,0.40502761,1.6091533,2.5971577,0.47020297,0,0,0.028490404,0.33089432,0.76177306,1.0358099,0.34951529,0,0,0,0,0.004142482,0.15534881,0.059736148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,7.7830768,0,0.078984024,0.24886594,0.28889357,0.57644311,0.44290128,0,0,0.10735482,0.42322818,1.6814632,2.7138652,0.4913323,0,0,0.029770666,0.34576359,0.79600456,1.0823557,0.36522133,0,0,0,0,0.0043286311,0.16232966,0.062420488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8.1177814,0,0.082380665,0.2595682,0.30131719,0.60123256,0.46194787,0,0,0.11197152,0.44142875,1.7537731,2.8305727,0.51246163,0,0,0.031050928,0.36063286,0.83023606,1.1289015,0.38092736,0,0,0,0,0.0045147802,0.16931051,0.065104828,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,8.452486,0,0.085777306,0.27027047,0.31374081,0.62602201,0.48099446,0,0,0.11658823,0.45962932,1.826083,2.9472802,0.53359096,0,0,0.032331191,0.37550213,0.86446757,1.1754473,0.39663339,0,0,0,0,0.0047009294,0.17629136,0.067789169,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,8.7871907,0,0.089173947,0.28097274,0.32616444,0.65081146,0.50004106,0,0,0.12120493,0.47782989,1.8983929,3.0639876,0.55472029,0,0,0.033611453,0.3903714,0.89869907,1.2219931,0.41233943,0,0,0,0,0.0048870785,0.18327221,0.070473509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9.1218953,0,0.092570588,0.29167501,0.33858806,0.6756009,0.51908765,0,0,0.12582163,0.49603046,1.9707028,3.1806951,0.57584962,0,0,0.034891715,0.40524067,0.93293057,1.2685389,0.42804546,0,0,0,0,0.0050732276,0.19025306,0.073157849,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9.4565999,0,0.095967229,0.30237728,0.35101168,0.70039035,0.53813425,0,0,0.13043834,0.51423103,2.0430127,3.2974026,0.59697895,0,0,0.036171977,0.42010994,0.96716207,1.3150847,0.44375149,0,0,0,0,0.0052593767,0.19723391,0.075842189,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,9.7913045,0,0.09936387,0.31307955,0.36343531,0.7251798,0.55718084,0,0,0.13505504,0.5324316,2.1153226,3.41411,0.61810828,0,0,0.03745224,0.43497921,1.0013936,1.3616305,0.45945753,0,0,0,0,0.0054455258,0.20421476,0.078526529,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,9.9625562,0,0.10110176,0.31855536,0.36979186,0.73786332,0.56692603,0,0,0.13741717,0.54174392,2.15232,3.4738234,0.6289191,0,0,0.038107286,0.44258708,1.0189081,1.3854456,0.46749352,0,0,0,0,0.005540769,0.20778651,0.079899972,0,0,0,0,0,0,0,0,0,0,0,0,0,0
