Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
21,-2.9922172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.034503724,-0.34649909,-0.43497582,-0.092147237,0,0,0,0,0,0,0,0,-0.85038442,-2.6636387,-0.46514269,-0.0090428613,0,0,0,0,0,0,-0.16829466,-0.0030151281,0,0,0,0,0,0,0,0,0
22,-2.9016717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03345963,-0.33601391,-0.42181331,-0.089358832,0,0,0,0,0,0,0,0,-0.82465151,-2.5830362,-0.45106732,-0.0087692214,0,0,0,0,0,0,-0.16320201,-0.0029238894,0,0,0,0,0,0,0,0,0
23,-2.8111263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032415536,-0.32552874,-0.40865081,-0.086570427,0,0,0,0,0,0,0,0,-0.79891861,-2.5024336,-0.43699195,-0.0084955815,0,0,0,0,0,0,-0.15810936,-0.0028326506,0,0,0,0,0,0,0,0,0
24,-2.7205808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031371442,-0.31504357,-0.3954883,-0.083782022,0,0,0,0,0,0,0,0,-0.7731857,-2.4218311,-0.42291659,-0.0082219416,0,0,0,0,0,0,-0.15301671,-0.0027414119,0,0,0,0,0,0,0,0,0
25,-2.6300354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030327349,-0.30455839,-0.38232579,-0.080993617,0,0,0,0,0,0,0,0,-0.7474528,-2.3412285,-0.40884122,-0.0079483017,0,0,0,0,0,0,-0.14792406,-0.0026501731,0,0,0,0,0,0,0,0,0
26,-2.5394899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029283255,-0.29407322,-0.36916328,-0.078205212,0,0,0,0,0,0,0,0,-0.72171989,-2.2606259,-0.39476585,-0.0076746619,0,0,0,0,0,0,-0.14283141,-0.0025589344,0,0,0,0,0,0,0,0,0
27,-2.4489445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028239161,-0.28358805,-0.35600078,-0.075416807,0,0,0,0,0,0,0,0,-0.69598699,-2.1800234,-0.38069049,-0.007401022,0,0,0,0,0,0,-0.13773876,-0.0024676956,0,0,0,0,0,0,0,0,0
28,-2.358399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027195067,-0.27310287,-0.34283827,-0.072628402,0,0,0,0,0,0,0,0,-0.67025408,-2.0994208,-0.36661512,-0.0071273821,0,0,0,0,0,0,-0.13264611,-0.0023764569,0,0,0,0,0,0,0,0,0
29,-2.2678536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026150974,-0.2626177,-0.32967576,-0.069839997,0,0,0,0,0,0,0,0,-0.64452118,-2.0188182,-0.35253975,-0.0068537422,0,0,0,0,0,0,-0.12755346,-0.0022852182,0,0,0,0,0,0,0,0,0
30,-2.1773081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02510688,-0.25213252,-0.31651325,-0.067051593,0,0,0,0,0,0,0,0,-0.61878827,-1.9382157,-0.33846439,-0.0065801023,0,0,0,0,0,0,-0.12246081,-0.0021939794,0,0,0,0,0,0,0,0,0
