Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa)
24,-1.3481054,0,0,0,0,0,0,0,0,-0.02629911,-0.28682435,-0.44359717,-0.073684818,0,0,0,0,-0.15956606,-1.0665958,-1.4011319,-0.11877216,0,0,0,0,-0.095107626,-0.43615969,-0.24588908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-1.4042764,0,0,0,0,0,0,0,0,-0.027394906,-0.29877537,-0.46208038,-0.076755019,0,0,0,0,-0.16621464,-1.1110373,-1.4595124,-0.123721,0,0,0,0,-0.099070443,-0.45433301,-0.25613446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-1.4604475,0,0,0,0,0,0,0,0,-0.028490703,-0.31072638,-0.4805636,-0.07982522,0,0,0,0,-0.17286323,-1.1554788,-1.5178929,-0.12866984,0,0,0,0,-0.10303326,-0.47250633,-0.26637984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-1.5166185,0,0,0,0,0,0,0,0,-0.029586499,-0.3226774,-0.49904681,-0.082895421,0,0,0,0,-0.17951181,-1.1999203,-1.5762734,-0.13361868,0,0,0,0,-0.10699608,-0.49067965,-0.27662522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-1.5727896,0,0,0,0,0,0,0,0,-0.030682295,-0.33462841,-0.51753003,-0.085965621,0,0,0,0,-0.1861604,-1.2443618,-1.6346539,-0.13856752,0,0,0,0,-0.1109589,-0.50885297,-0.28687059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-1.6289607,0,0,0,0,0,0,0,0,-0.031778091,-0.34657943,-0.53601324,-0.089035822,0,0,0,0,-0.19280899,-1.2888033,-1.6930344,-0.14351636,0,0,0,0,-0.11492171,-0.52702629,-0.29711597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,-1.6851317,0,0,0,0,0,0,0,0,-0.032873888,-0.35853044,-0.55449646,-0.092106023,0,0,0,0,-0.19945757,-1.3332447,-1.7514149,-0.1484652,0,0,0,0,-0.11888453,-0.54519961,-0.30736135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,-1.7413028,0,0,0,0,0,0,0,0,-0.033969684,-0.37048146,-0.57297967,-0.095176224,0,0,0,0,-0.20610616,-1.3776862,-1.8097954,-0.15341404,0,0,0,0,-0.12284735,-0.56337293,-0.31760673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,-1.7974738,0,0,0,0,0,0,0,0,-0.03506548,-0.38243247,-0.59146289,-0.098246424,0,0,0,0,-0.21275474,-1.4221277,-1.8681759,-0.15836288,0,0,0,0,-0.12681017,-0.58154625,-0.32785211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-1.5621391,0,0,0,0,0,0,0,0,-0.030474522,-0.33236239,-0.51402544,-0.085383484,0,0,0,0,-0.18489977,-1.2359353,-1.6235844,-0.13762918,0,0,0,0,-0.11020751,-0.50540715,-0.28492798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-1.3267854,0,0,0,0,0,0,0,0,-0.025883196,-0.28228829,-0.43658178,-0.07251951,0,0,0,0,-0.15704256,-1.0497278,-1.3789733,-0.11689381,0,0,0,0,-0.093603521,-0.42926193,-0.2420004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-1.0914317,0,0,0,0,0,0,0,0,-0.021291869,-0.23221419,-0.35913812,-0.059655536,0,0,0,0,-0.12918534,-0.8635204,-1.1343622,-0.096158436,0,0,0,0,-0.07699953,-0.3531167,-0.19907283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-0.85607806,0,0,0,0,0,0,0,0,-0.016700543,-0.18214009,-0.28169445,-0.046791562,0,0,0,0,-0.10132813,-0.67731297,-0.88975114,-0.075423066,0,0,0,0,-0.06039554,-0.27697148,-0.15614525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-0.62072439,0,0,0,0,0,0,0,0,-0.012109216,-0.13206599,-0.20425079,-0.033927588,0,0,0,0,-0.073470921,-0.49110555,-0.64514004,-0.054687696,0,0,0,0,-0.043791549,-0.20082626,-0.11321767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-0.38537072,0,0,0,0,0,0,0,0,-0.0075178894,-0.081991891,-0.12680712,-0.021063614,0,0,0,0,-0.045613709,-0.30489812,-0.40052894,-0.033952326,0,0,0,0,-0.027187559,-0.12468104,-0.070290094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-0.15001706,0,0,0,0,0,0,0,0,-0.0029265628,-0.03191779,-0.049363456,-0.0081996405,0,0,0,0,-0.017756498,-0.11869069,-0.15591785,-0.013216956,0,0,0,0,-0.010583569,-0.048535815,-0.027362517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.085336614,0,0,0,0,0,0,0,0,0.0016647638,0.01815631,0.028080208,0.0046643334,0,0,0,0,0.010100714,0.067516735,0.088693255,0.0075184137,0,0,0,0,0.0060204216,0.027609408,0.01556506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.32069028,0,0,0,0,0,0,0,0,0.0062560903,0.06823041,0.10552387,0.017528307,0,0,0,0,0.037957926,0.25372416,0.33330435,0.028253784,0,0,0,0,0.022624412,0.10375463,0.058492637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,0.55604395,0,0,0,0,0,0,0,0,0.010847417,0.11830451,0.18296754,0.030392281,0,0,0,0,0.065815138,0.43993159,0.57791545,0.048989154,0,0,0,0,0.039228402,0.17989985,0.10142021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
