Time (ms),Stress at 0.00 mm (kPa),Stress at 0.22 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.62 mm (kPa),Stress at 0.81 mm (kPa),Stress at 1.02 mm (kPa),Stress at 1.23 mm (kPa),Stress at 1.42 mm (kPa),Stress at 1.62 mm (kPa),Stress at 1.82 mm (kPa),Stress at 2.02 mm (kPa),Stress at 2.23 mm (kPa),Stress at 2.42 mm (kPa),Stress at 2.62 mm (kPa),Stress at 2.83 mm (kPa),Stress at 3.02 mm (kPa),Stress at 3.22 mm (kPa),Stress at 3.42 mm (kPa),Stress at 3.63 mm (kPa)
2433,282.7622,240.55258,200.43466,182.71821,147.96287,117.61261,88.365729,72.29398,50.673007,40.545282,24.556099,19.86399,10.513285,8.0392041,1.4371184,0,0,0,0
2434,282.75448,240.54602,200.42919,182.71322,147.95883,117.60939,88.363317,72.292007,50.671624,40.544175,24.555429,19.863448,10.512998,8.0389846,1.4370792,0,0,0,0
2435,282.74676,240.53945,200.42372,182.70823,147.95479,117.60618,88.360905,72.290033,50.67024,40.543068,24.554759,19.862905,10.512711,8.0387652,1.4370399,0,0,0,0
2436,282.73904,240.53288,200.41825,182.70324,147.95075,117.60297,88.358493,72.28806,50.668857,40.541962,24.554088,19.862363,10.512424,8.0385457,1.4370007,0,0,0,0
2437,282.73132,240.52632,200.41278,182.69825,147.94671,117.59976,88.35608,72.286086,50.667474,40.540855,24.553418,19.861821,10.512137,8.0383263,1.4369615,0,0,0,0
2438,282.7236,240.51975,200.4073,182.69327,147.94268,117.59655,88.353668,72.284113,50.66609,40.539748,24.552748,19.861279,10.51185,8.0381068,1.4369222,0,0,0,0
2439,282.71589,240.51318,200.40183,182.68828,147.93864,117.59334,88.351256,72.282139,50.664707,40.538641,24.552077,19.860736,10.511563,8.0378873,1.436883,0,0,0,0
2440,282.70817,240.50662,200.39636,182.68329,147.9346,117.59013,88.348844,72.280166,50.663324,40.537534,24.551407,19.860194,10.511276,8.0376679,1.4368438,0,0,0,0
2441,282.70045,240.50005,200.39089,182.6783,147.93056,117.58692,88.346431,72.278192,50.661941,40.536427,24.550737,19.859652,10.510989,8.0374484,1.4368046,0,0,0,0
2442,282.69273,240.49348,200.38542,182.67331,147.92652,117.58371,88.344019,72.276218,50.660557,40.535321,24.550066,19.859109,10.510702,8.037229,1.4367653,0,0,0,0
2443,282.68501,240.48692,200.37995,182.66833,147.92248,117.5805,88.341607,72.274245,50.659174,40.534214,24.549396,19.858567,10.510415,8.0370095,1.4367261,0,0,0,0
2444,282.67729,240.48035,200.37447,182.66334,147.91844,117.57729,88.339195,72.272271,50.657791,40.533107,24.548726,19.858025,10.510128,8.03679,1.4366869,0,0,0,0
2445,282.66957,240.47378,200.369,182.65835,147.9144,117.57408,88.336782,72.270298,50.656407,40.532,24.548055,19.857483,10.509841,8.0365706,1.4366476,0,0,0,0
2446,282.66185,240.46722,200.36353,182.65336,147.91036,117.57087,88.33437,72.268324,50.655024,40.530893,24.547385,19.85694,10.509554,8.0363511,1.4366084,0,0,0,0
2447,282.65413,240.46065,200.35806,182.64837,147.90632,117.56766,88.331958,72.266351,50.653641,40.529786,24.546715,19.856398,10.509267,8.0361317,1.4365692,0,0,0,0
2448,282.64641,240.45408,200.35259,182.64339,147.90228,117.56445,88.329545,72.264377,50.652257,40.52868,24.546044,19.855856,10.50898,8.0359122,1.4365299,0,0,0,0
2449,282.6387,240.44752,200.34712,182.6384,147.89824,117.56123,88.327133,72.262404,50.650874,40.527573,24.545374,19.855314,10.508693,8.0356927,1.4364907,0,0,0,0
2450,282.63098,240.44095,200.34164,182.63341,147.8942,117.55802,88.324721,72.26043,50.649491,40.526466,24.544703,19.854771,10.508406,8.0354733,1.4364515,0,0,0,0
2451,282.62326,240.43438,200.33617,182.62842,147.89017,117.55481,88.322309,72.258457,50.648107,40.525359,24.544033,19.854229,10.508119,8.0352538,1.4364122,0,0,0,0
2452,282.61554,240.42782,200.3307,182.62344,147.88613,117.5516,88.319896,72.256483,50.646724,40.524252,24.543363,19.853687,10.507832,8.0350344,1.436373,0,0,0,0
2453,282.60782,240.42125,200.32523,182.61845,147.88209,117.54839,88.317484,72.25451,50.645341,40.523145,24.542692,19.853145,10.507545,8.0348149,1.4363338,0,0,0,0
2454,282.6001,240.41468,200.31976,182.61346,147.87805,117.54518,88.315072,72.252536,50.643958,40.522039,24.542022,19.852602,10.507258,8.0345954,1.4362945,0,0,0,0
2455,282.59238,240.40812,200.31429,182.60847,147.87401,117.54197,88.31266,72.250563,50.642574,40.520932,24.541352,19.85206,10.506971,8.034376,1.4362553,0,0,0,0
2456,282.58466,240.40155,200.30882,182.60348,147.86997,117.53876,88.310247,72.248589,50.641191,40.519825,24.540681,19.851518,10.506684,8.0341565,1.4362161,0,0,0,0
2457,282.57694,240.39498,200.30334,182.5985,147.86593,117.53555,88.307835,72.246615,50.639808,40.518718,24.540011,19.850976,10.506397,8.0339371,1.4361769,0,0,0,0
2458,282.56922,240.38841,200.29787,182.59351,147.86189,117.53234,88.305423,72.244642,50.638424,40.517611,24.539341,19.850433,10.50611,8.0337176,1.4361376,0,0,0,0
2459,282.5615,240.38185,200.2924,182.58852,147.85785,117.52913,88.30301,72.242668,50.637041,40.516504,24.53867,19.849891,10.505823,8.0334981,1.4360984,0,0,0,0
2460,282.55379,240.37528,200.28693,182.58353,147.85381,117.52592,88.300598,72.240695,50.635658,40.515398,24.538,19.849349,10.505536,8.0332787,1.4360592,0,0,0,0
2461,282.54607,240.36871,200.28146,182.57854,147.84977,117.52271,88.298186,72.238721,50.634274,40.514291,24.53733,19.848807,10.505249,8.0330592,1.4360199,0,0,0,0
2462,282.53835,240.36215,200.27599,182.57356,147.84573,117.5195,88.295774,72.236748,50.632891,40.513184,24.536659,19.848264,10.504962,8.0328398,1.4359807,0,0,0,0
2463,282.53063,240.35558,200.27051,182.56857,147.8417,117.51629,88.293361,72.234774,50.631508,40.512077,24.535989,19.847722,10.504675,8.0326203,1.4359415,0,0,0,0
2464,282.52291,240.34901,200.26504,182.56358,147.83766,117.51307,88.290949,72.232801,50.630124,40.51097,24.535319,19.84718,10.504388,8.0324009,1.4359022,0,0,0,0
2465,282.51519,240.34245,200.25957,182.55859,147.83362,117.50986,88.288537,72.230827,50.628741,40.509863,24.534648,19.846637,10.504101,8.0321814,1.435863,0,0,0,0
2466,282.50747,240.33588,200.2541,182.5536,147.82958,117.50665,88.286125,72.228854,50.627358,40.508757,24.533978,19.846095,10.503814,8.0319619,1.4358238,0,0,0,0
2467,282.49975,240.32931,200.24863,182.54862,147.82554,117.50344,88.283712,72.22688,50.625975,40.50765,24.533308,19.845553,10.503527,8.0317425,1.4357845,0,0,0,0
2468,282.49203,240.32275,200.24316,182.54363,147.8215,117.50023,88.2813,72.224907,50.624591,40.506543,24.532637,19.845011,10.50324,8.031523,1.4357453,0,0,0,0
2469,282.48431,240.31618,200.23768,182.53864,147.81746,117.49702,88.278888,72.222933,50.623208,40.505436,24.531967,19.844468,10.502953,8.0313036,1.4357061,0,0,0,0
2470,282.4766,240.30961,200.23221,182.53365,147.81342,117.49381,88.276476,72.22096,50.621825,40.504329,24.531297,19.843926,10.502666,8.0310841,1.4356668,0,0,0,0
2471,282.46888,240.30305,200.22674,182.52866,147.80938,117.4906,88.274063,72.218986,50.620441,40.503222,24.530626,19.843384,10.502379,8.0308646,1.4356276,0,0,0,0
2472,282.46116,240.29648,200.22127,182.52368,147.80534,117.48739,88.271651,72.217013,50.619058,40.502116,24.529956,19.842842,10.502092,8.0306452,1.4355884,0,0,0,0
2473,282.45344,240.28991,200.2158,182.51869,147.8013,117.48418,88.269239,72.215039,50.617675,40.501009,24.529285,19.842299,10.501805,8.0304257,1.4355491,0,0,0,0
2474,282.44572,240.28335,200.21033,182.5137,147.79726,117.48097,88.266826,72.213065,50.616291,40.499902,24.528615,19.841757,10.501518,8.0302063,1.4355099,0,0,0,0
2475,282.438,240.27678,200.20485,182.50871,147.79323,117.47776,88.264414,72.211092,50.614908,40.498795,24.527945,19.841215,10.501231,8.0299868,1.4354707,0,0,0,0
2476,282.43028,240.27021,200.19938,182.50372,147.78919,117.47455,88.262002,72.209118,50.613525,40.497688,24.527274,19.840673,10.500944,8.0297673,1.4354315,0,0,0,0
2477,282.42256,240.26365,200.19391,182.49874,147.78515,117.47134,88.25959,72.207145,50.612141,40.496581,24.526604,19.84013,10.500657,8.0295479,1.4353922,0,0,0,0
2478,282.41484,240.25708,200.18844,182.49375,147.78111,117.46813,88.257177,72.205171,50.610758,40.495475,24.525934,19.839588,10.50037,8.0293284,1.435353,0,0,0,0
2479,282.40712,240.25051,200.18297,182.48876,147.77707,117.46491,88.254765,72.203198,50.609375,40.494368,24.525263,19.839046,10.500083,8.029109,1.4353138,0,0,0,0
2480,282.39941,240.24395,200.1775,182.48377,147.77303,117.4617,88.252353,72.201224,50.607992,40.493261,24.524593,19.838504,10.499796,8.0288895,1.4352745,0,0,0,0
2481,282.39169,240.23738,200.17202,182.47878,147.76899,117.45849,88.249941,72.199251,50.606608,40.492154,24.523923,19.837961,10.499509,8.02867,1.4352353,0,0,0,0
2482,282.38397,240.23081,200.16655,182.4738,147.76495,117.45528,88.247528,72.197277,50.605225,40.491047,24.523252,19.837419,10.499222,8.0284506,1.4351961,0,0,0,0
2483,282.37625,240.22425,200.16108,182.46881,147.76091,117.45207,88.245116,72.195304,50.603842,40.48994,24.522582,19.836877,10.498935,8.0282311,1.4351568,0,0,0,0
2484,282.36853,240.21768,200.15561,182.46382,147.75687,117.44886,88.242704,72.19333,50.602458,40.488834,24.521912,19.836335,10.498648,8.0280117,1.4351176,0,0,0,0
2485,282.36081,240.21111,200.15014,182.45883,147.75283,117.44565,88.240291,72.191357,50.601075,40.487727,24.521241,19.835792,10.498361,8.0277922,1.4350784,0,0,0,0
2486,282.35309,240.20455,200.14467,182.45384,147.74879,117.44244,88.237879,72.189383,50.599692,40.48662,24.520571,19.83525,10.498074,8.0275727,1.4350391,0,0,0,0
2487,282.34537,240.19798,200.1392,182.44886,147.74475,117.43923,88.235467,72.18741,50.598308,40.485513,24.519901,19.834708,10.497787,8.0273533,1.4349999,0,0,0,0
2488,282.33765,240.19141,200.13372,182.44387,147.74072,117.43602,88.233055,72.185436,50.596925,40.484406,24.51923,19.834165,10.4975,8.0271338,1.4349607,0,0,0,0
2489,282.32993,240.18484,200.12825,182.43888,147.73668,117.43281,88.230642,72.183462,50.595542,40.483299,24.51856,19.833623,10.497213,8.0269144,1.4349214,0,0,0,0
2490,282.32221,240.17828,200.12278,182.43389,147.73264,117.4296,88.22823,72.181489,50.594158,40.482193,24.51789,19.833081,10.496926,8.0266949,1.4348822,0,0,0,0
2491,282.3145,240.17171,200.11731,182.4289,147.7286,117.42639,88.225818,72.179515,50.592775,40.481086,24.517219,19.832539,10.496639,8.0264754,1.434843,0,0,0,0
2492,282.30678,240.16514,200.11184,182.42392,147.72456,117.42318,88.223406,72.177542,50.591392,40.479979,24.516549,19.831996,10.496352,8.026256,1.4348037,0,0,0,0
2493,282.29906,240.15858,200.10637,182.41893,147.72052,117.41997,88.220993,72.175568,50.590009,40.478872,24.515878,19.831454,10.496065,8.0260365,1.4347645,0,0,0,0
2494,282.29134,240.15201,200.10089,182.41394,147.71648,117.41675,88.218581,72.173595,50.588625,40.477765,24.515208,19.830912,10.495778,8.0258171,1.4347253,0,0,0,0
2495,282.28362,240.14544,200.09542,182.40895,147.71244,117.41354,88.216169,72.171621,50.587242,40.476658,24.514538,19.83037,10.495491,8.0255976,1.4346861,0,0,0,0
2496,282.2759,240.13888,200.08995,182.40396,147.7084,117.41033,88.213757,72.169648,50.585859,40.475552,24.513867,19.829827,10.495204,8.0253781,1.4346468,0,0,0,0
2497,282.26818,240.13231,200.08448,182.39898,147.70436,117.40712,88.211344,72.167674,50.584475,40.474445,24.513197,19.829285,10.494917,8.0251587,1.4346076,0,0,0,0
2498,282.26046,240.12574,200.07901,182.39399,147.70032,117.40391,88.208932,72.165701,50.583092,40.473338,24.512527,19.828743,10.49463,8.0249392,1.4345684,0,0,0,0
2499,282.25274,240.11918,200.07354,182.389,147.69628,117.4007,88.20652,72.163727,50.581709,40.472231,24.511856,19.828201,10.494343,8.0247198,1.4345291,0,0,0,0
2500,282.24502,240.11261,200.06806,182.38401,147.69225,117.39749,88.204107,72.161754,50.580325,40.471124,24.511186,19.827658,10.494056,8.0245003,1.4344899,0,0,0,0
2501,282.23417,240.10337,200.06037,182.377,147.68656,117.39297,88.200714,72.158978,50.57838,40.469567,24.510243,19.826896,10.493653,8.0241916,1.4344347,0,0,0,0
2502,282.22331,240.09414,200.05267,182.36998,147.68088,117.38846,88.197322,72.156202,50.576434,40.468011,24.5093,19.826133,10.493249,8.0238829,1.4343795,0,0,0,0
2503,282.21245,240.0849,200.04498,182.36297,147.6752,117.38394,88.193929,72.153426,50.574488,40.466454,24.508357,19.82537,10.492845,8.0235743,1.4343244,0,0,0,0
2504,282.2016,240.07566,200.03728,182.35595,147.66952,117.37943,88.190536,72.15065,50.572543,40.464897,24.507415,19.824608,10.492442,8.0232656,1.4342692,0,0,0,0
2505,282.19074,240.06643,200.02958,182.34893,147.66384,117.37491,88.187143,72.147874,50.570597,40.46334,24.506472,19.823845,10.492038,8.0229569,1.434214,0,0,0,0
2506,282.17988,240.05719,200.02189,182.34192,147.65816,117.3704,88.18375,72.145099,50.568651,40.461783,24.505529,19.823082,10.491634,8.0226482,1.4341588,0,0,0,0
2507,282.16902,240.04796,200.01419,182.3349,147.65248,117.36588,88.180357,72.142323,50.566706,40.460227,24.504586,19.822319,10.49123,8.0223396,1.4341036,0,0,0,0
2508,282.15817,240.03872,200.0065,182.32789,147.6468,117.36136,88.176964,72.139547,50.56476,40.45867,24.503643,19.821557,10.490827,8.0220309,1.4340485,0,0,0,0
2509,282.14731,240.02948,199.9988,182.32087,147.64111,117.35685,88.173571,72.136771,50.562814,40.457113,24.5027,19.820794,10.490423,8.0217222,1.4339933,0,0,0,0
2510,282.13645,240.02025,199.9911,182.31386,147.63543,117.35233,88.170178,72.133995,50.560869,40.455556,24.501757,19.820031,10.490019,8.0214135,1.4339381,0,0,0,0
2511,282.1256,240.01101,199.98341,182.30684,147.62975,117.34782,88.166785,72.131219,50.558923,40.453999,24.500814,19.819269,10.489616,8.0211048,1.4338829,0,0,0,0
2512,282.11474,240.00177,199.97571,182.29982,147.62407,117.3433,88.163392,72.128444,50.556977,40.452443,24.499872,19.818506,10.489212,8.0207962,1.4338277,0,0,0,0
2513,282.10388,239.99254,199.96802,182.29281,147.61839,117.33878,88.159999,72.125668,50.555032,40.450886,24.498929,19.817743,10.488808,8.0204875,1.4337726,0,0,0,0
2514,282.09302,239.9833,199.96032,182.28579,147.61271,117.33427,88.156606,72.122892,50.553086,40.449329,24.497986,19.81698,10.488405,8.0201788,1.4337174,0,0,0,0
2515,282.08217,239.97406,199.95262,182.27878,147.60703,117.32975,88.153213,72.120116,50.55114,40.447772,24.497043,19.816218,10.488001,8.0198701,1.4336622,0,0,0,0
2516,282.07131,239.96483,199.94493,182.27176,147.60134,117.32524,88.14982,72.11734,50.549195,40.446215,24.4961,19.815455,10.487597,8.0195615,1.433607,0,0,0,0
2517,282.06045,239.95559,199.93723,182.26474,147.59566,117.32072,88.146427,72.114564,50.547249,40.444659,24.495157,19.814692,10.487194,8.0192528,1.4335518,0,0,0,0
2518,282.0496,239.94636,199.92954,182.25773,147.58998,117.3162,88.143034,72.111788,50.545303,40.443102,24.494214,19.81393,10.48679,8.0189441,1.4334967,0,0,0,0
2519,282.03874,239.93712,199.92184,182.25071,147.5843,117.31169,88.139642,72.109013,50.543358,40.441545,24.493271,19.813167,10.486386,8.0186354,1.4334415,0,0,0,0
2520,282.02788,239.92788,199.91414,182.2437,147.57862,117.30717,88.136249,72.106237,50.541412,40.439988,24.492329,19.812404,10.485983,8.0183267,1.4333863,0,0,0,0
2521,282.01703,239.91865,199.90645,182.23668,147.57294,117.30266,88.132856,72.103461,50.539466,40.438431,24.491386,19.811641,10.485579,8.0180181,1.4333311,0,0,0,0
2522,282.00617,239.90941,199.89875,182.22967,147.56726,117.29814,88.129463,72.100685,50.537521,40.436875,24.490443,19.810879,10.485175,8.0177094,1.4332759,0,0,0,0
2523,281.99531,239.90017,199.89106,182.22265,147.56158,117.29362,88.12607,72.097909,50.535575,40.435318,24.4895,19.810116,10.484772,8.0174007,1.4332207,0,0,0,0
2524,281.98445,239.89094,199.88336,182.21563,147.55589,117.28911,88.122677,72.095133,50.533629,40.433761,24.488557,19.809353,10.484368,8.017092,1.4331656,0,0,0,0
2525,281.9736,239.8817,199.87566,182.20862,147.55021,117.28459,88.119284,72.092358,50.531684,40.432204,24.487614,19.808591,10.483964,8.0167834,1.4331104,0,0,0,0
2526,281.96274,239.87246,199.86797,182.2016,147.54453,117.28008,88.115891,72.089582,50.529738,40.430647,24.486671,19.807828,10.483561,8.0164747,1.4330552,0,0,0,0
2527,281.95188,239.86323,199.86027,182.19459,147.53885,117.27556,88.112498,72.086806,50.527792,40.429091,24.485729,19.807065,10.483157,8.016166,1.433,0,0,0,0
2528,281.94103,239.85399,199.85258,182.18757,147.53317,117.27104,88.109105,72.08403,50.525847,40.427534,24.484786,19.806302,10.482753,8.0158573,1.4329448,0,0,0,0
2529,281.93017,239.84475,199.84488,182.18056,147.52749,117.26653,88.105712,72.081254,50.523901,40.425977,24.483843,19.80554,10.48235,8.0155486,1.4328897,0,0,0,0
2530,281.91931,239.83552,199.83718,182.17354,147.52181,117.26201,88.102319,72.078478,50.521955,40.42442,24.4829,19.804777,10.481946,8.01524,1.4328345,0,0,0,0
2531,281.90845,239.82628,199.82949,182.16652,147.51613,117.2575,88.098926,72.075703,50.52001,40.422863,24.481957,19.804014,10.481542,8.0149313,1.4327793,0,0,0,0
2532,281.8976,239.81705,199.82179,182.15951,147.51044,117.25298,88.095533,72.072927,50.518064,40.421307,24.481014,19.803252,10.481139,8.0146226,1.4327241,0,0,0,0
2533,281.88674,239.80781,199.8141,182.15249,147.50476,117.24847,88.09214,72.070151,50.516118,40.41975,24.480071,19.802489,10.480735,8.0143139,1.4326689,0,0,0,0
2534,281.87588,239.79857,199.8064,182.14548,147.49908,117.24395,88.088747,72.067375,50.514173,40.418193,24.479128,19.801726,10.480331,8.0140052,1.4326138,0,0,0,0
2535,281.86503,239.78934,199.7987,182.13846,147.4934,117.23943,88.085355,72.064599,50.512227,40.416636,24.478186,19.800964,10.479928,8.0136966,1.4325586,0,0,0,0
2536,281.85417,239.7801,199.79101,182.13145,147.48772,117.23492,88.081962,72.061823,50.510281,40.415079,24.477243,19.800201,10.479524,8.0133879,1.4325034,0,0,0,0
2537,281.84331,239.77086,199.78331,182.12443,147.48204,117.2304,88.078569,72.059048,50.508336,40.413523,24.4763,19.799438,10.47912,8.0130792,1.4324482,0,0,0,0
2538,281.83245,239.76163,199.77562,182.11741,147.47636,117.22589,88.075176,72.056272,50.50639,40.411966,24.475357,19.798675,10.478717,8.0127705,1.432393,0,0,0,0
2539,281.8216,239.75239,199.76792,182.1104,147.47068,117.22137,88.071783,72.053496,50.504444,40.410409,24.474414,19.797913,10.478313,8.0124619,1.4323379,0,0,0,0
2540,281.81074,239.74315,199.76022,182.10338,147.46499,117.21685,88.06839,72.05072,50.502499,40.408852,24.473471,19.79715,10.477909,8.0121532,1.4322827,0,0,0,0
2541,281.79988,239.73392,199.75253,182.09637,147.45931,117.21234,88.064997,72.047944,50.500553,40.407295,24.472528,19.796387,10.477506,8.0118445,1.4322275,0,0,0,0
2542,281.78903,239.72468,199.74483,182.08935,147.45363,117.20782,88.061604,72.045168,50.498607,40.405739,24.471585,19.795625,10.477102,8.0115358,1.4321723,0,0,0,0
2543,281.77817,239.71545,199.73714,182.08234,147.44795,117.20331,88.058211,72.042392,50.496662,40.404182,24.470643,19.794862,10.476698,8.0112271,1.4321171,0,0,0,0
2544,281.76731,239.70621,199.72944,182.07532,147.44227,117.19879,88.054818,72.039617,50.494716,40.402625,24.4697,19.794099,10.476295,8.0109185,1.432062,0,0,0,0
2545,281.75645,239.69697,199.72174,182.0683,147.43659,117.19427,88.051425,72.036841,50.49277,40.401068,24.468757,19.793336,10.475891,8.0106098,1.4320068,0,0,0,0
2546,281.7456,239.68774,199.71405,182.06129,147.43091,117.18976,88.048032,72.034065,50.490825,40.399511,24.467814,19.792574,10.475487,8.0103011,1.4319516,0,0,0,0
2547,281.73474,239.6785,199.70635,182.05427,147.42523,117.18524,88.044639,72.031289,50.488879,40.397955,24.466871,19.791811,10.475084,8.0099924,1.4318964,0,0,0,0
2548,281.72388,239.66926,199.69866,182.04726,147.41954,117.18073,88.041246,72.028513,50.486933,40.396398,24.465928,19.791048,10.47468,8.0096838,1.4318412,0,0,0,0
2549,281.71303,239.66003,199.69096,182.04024,147.41386,117.17621,88.037853,72.025737,50.484988,40.394841,24.464985,19.790286,10.474276,8.0093751,1.4317861,0,0,0,0
2550,281.70217,239.65079,199.68326,182.03322,147.40818,117.17169,88.03446,72.022962,50.483042,40.393284,24.464043,19.789523,10.473873,8.0090664,1.4317309,0,0,0,0
2551,281.69131,239.64155,199.67557,182.02621,147.4025,117.16718,88.031067,72.020186,50.481096,40.391727,24.4631,19.78876,10.473469,8.0087577,1.4316757,0,0,0,0
2552,281.68046,239.63232,199.66787,182.01919,147.39682,117.16266,88.027675,72.01741,50.479151,40.390171,24.462157,19.787997,10.473065,8.008449,1.4316205,0,0,0,0
2553,281.6696,239.62308,199.66018,182.01218,147.39114,117.15815,88.024282,72.014634,50.477205,40.388614,24.461214,19.787235,10.472661,8.0081404,1.4315653,0,0,0,0
2554,281.65874,239.61385,199.65248,182.00516,147.38546,117.15363,88.020889,72.011858,50.475259,40.387057,24.460271,19.786472,10.472258,8.0078317,1.4315102,0,0,0,0
2555,281.64788,239.60461,199.64478,181.99815,147.37978,117.14911,88.017496,72.009082,50.473314,40.3855,24.459328,19.785709,10.471854,8.007523,1.431455,0,0,0,0
2556,281.63703,239.59537,199.63709,181.99113,147.37409,117.1446,88.014103,72.006307,50.471368,40.383943,24.458385,19.784947,10.47145,8.0072143,1.4313998,0,0,0,0
2557,281.62617,239.58614,199.62939,181.98411,147.36841,117.14008,88.01071,72.003531,50.469422,40.382387,24.457442,19.784184,10.471047,8.0069057,1.4313446,0,0,0,0
2558,281.61531,239.5769,199.6217,181.9771,147.36273,117.13557,88.007317,72.000755,50.467477,40.38083,24.4565,19.783421,10.470643,8.006597,1.4312894,0,0,0,0
2559,281.60446,239.56766,199.614,181.97008,147.35705,117.13105,88.003924,71.997979,50.465531,40.379273,24.455557,19.782659,10.470239,8.0062883,1.4312343,0,0,0,0
2560,281.5936,239.55843,199.6063,181.96307,147.35137,117.12654,88.000531,71.995203,50.463585,40.377716,24.454614,19.781896,10.469836,8.0059796,1.4311791,0,0,0,0
2561,281.58274,239.54919,199.59861,181.95605,147.34569,117.12202,87.997138,71.992427,50.46164,40.376159,24.453671,19.781133,10.469432,8.0056709,1.4311239,0,0,0,0
2562,281.57188,239.53995,199.59091,181.94904,147.34001,117.1175,87.993745,71.989651,50.459694,40.374603,24.452728,19.78037,10.469028,8.0053623,1.4310687,0,0,0,0
2563,281.56103,239.53072,199.58322,181.94202,147.33433,117.11299,87.990352,71.986876,50.457748,40.373046,24.451785,19.779608,10.468625,8.0050536,1.4310135,0,0,0,0
2564,281.55017,239.52148,199.57552,181.935,147.32864,117.10847,87.986959,71.9841,50.455803,40.371489,24.450842,19.778845,10.468221,8.0047449,1.4309584,0,0,0,0
2565,281.53931,239.51224,199.56782,181.92799,147.32296,117.10396,87.983566,71.981324,50.453857,40.369932,24.449899,19.778082,10.467817,8.0044362,1.4309032,0,0,0,0
2566,281.52846,239.50301,199.56013,181.92097,147.31728,117.09944,87.980173,71.978548,50.451911,40.368375,24.448957,19.77732,10.467414,8.0041276,1.430848,0,0,0,0
2567,281.5176,239.49377,199.55243,181.91396,147.3116,117.09492,87.97678,71.975772,50.449966,40.366819,24.448014,19.776557,10.46701,8.0038189,1.4307928,0,0,0,0
2568,281.50674,239.48454,199.54474,181.90694,147.30592,117.09041,87.973387,71.972996,50.44802,40.365262,24.447071,19.775794,10.466606,8.0035102,1.4307376,0,0,0,0
2569,281.49588,239.4753,199.53704,181.89993,147.30024,117.08589,87.969995,71.970221,50.446074,40.363705,24.446128,19.775031,10.466203,8.0032015,1.4306824,0,0,0,0
2570,281.48503,239.46606,199.52934,181.89291,147.29456,117.08138,87.966602,71.967445,50.444129,40.362148,24.445185,19.774269,10.465799,8.0028928,1.4306273,0,0,0,0
2571,281.47417,239.45683,199.52165,181.88589,147.28888,117.07686,87.963209,71.964669,50.442183,40.360591,24.444242,19.773506,10.465395,8.0025842,1.4305721,0,0,0,0
2572,281.46331,239.44759,199.51395,181.87888,147.28319,117.07234,87.959816,71.961893,50.440237,40.359035,24.443299,19.772743,10.464992,8.0022755,1.4305169,0,0,0,0
2573,281.45246,239.43835,199.50626,181.87186,147.27751,117.06783,87.956423,71.959117,50.438292,40.357478,24.442357,19.771981,10.464588,8.0019668,1.4304617,0,0,0,0
2574,281.4416,239.42912,199.49856,181.86485,147.27183,117.06331,87.95303,71.956341,50.436346,40.355921,24.441414,19.771218,10.464184,8.0016581,1.4304065,0,0,0,0
2575,281.43074,239.41988,199.49086,181.85783,147.26615,117.0588,87.949637,71.953566,50.4344,40.354364,24.440471,19.770455,10.463781,8.0013495,1.4303514,0,0,0,0
2576,281.41988,239.41064,199.48317,181.85082,147.26047,117.05428,87.946244,71.95079,50.432455,40.352807,24.439528,19.769692,10.463377,8.0010408,1.4302962,0,0,0,0
2577,281.40903,239.40141,199.47547,181.8438,147.25479,117.04976,87.942851,71.948014,50.430509,40.351251,24.438585,19.76893,10.462973,8.0007321,1.430241,0,0,0,0
2578,281.39817,239.39217,199.46778,181.83678,147.24911,117.04525,87.939458,71.945238,50.428563,40.349694,24.437642,19.768167,10.46257,8.0004234,1.4301858,0,0,0,0
2579,281.38731,239.38294,199.46008,181.82977,147.24343,117.04073,87.936065,71.942462,50.426618,40.348137,24.436699,19.767404,10.462166,8.0001147,1.4301306,0,0,0,0
2580,281.37646,239.3737,199.45238,181.82275,147.23774,117.03622,87.932672,71.939686,50.424672,40.34658,24.435756,19.766642,10.461762,7.9998061,1.4300755,0,0,0,0
2581,281.3656,239.36446,199.44469,181.81574,147.23206,117.0317,87.929279,71.936911,50.422726,40.345023,24.434814,19.765879,10.461359,7.9994974,1.4300203,0,0,0,0
2582,281.35474,239.35523,199.43699,181.80872,147.22638,117.02719,87.925886,71.934135,50.420781,40.343467,24.433871,19.765116,10.460955,7.9991887,1.4299651,0,0,0,0
2583,281.34389,239.34599,199.4293,181.80171,147.2207,117.02267,87.922493,71.931359,50.418835,40.34191,24.432928,19.764353,10.460551,7.99888,1.4299099,0,0,0,0
2584,281.33303,239.33675,199.4216,181.79469,147.21502,117.01815,87.9191,71.928583,50.416889,40.340353,24.431985,19.763591,10.460148,7.9985714,1.4298547,0,0,0,0
2585,281.32217,239.32752,199.4139,181.78767,147.20934,117.01364,87.915707,71.925807,50.414943,40.338796,24.431042,19.762828,10.459744,7.9982627,1.4297996,0,0,0,0
2586,281.31131,239.31828,199.40621,181.78066,147.20366,117.00912,87.912315,71.923031,50.412998,40.337239,24.430099,19.762065,10.45934,7.997954,1.4297444,0,0,0,0
2587,281.30046,239.30904,199.39851,181.77364,147.19798,117.00461,87.908922,71.920255,50.411052,40.335683,24.429156,19.761303,10.458937,7.9976453,1.4296892,0,0,0,0
