Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa)
73,-2.8267622,0,0,0,0,-0.13806852,-0.018344608,0,0,0,-1.046524,-0.19636836,0,0,0,0,0,0,-0.019349955
74,-2.8363823,0,0,0,0,-0.1385384,-0.018407039,0,0,0,-1.0500855,-0.19703664,0,0,0,0,0,0,-0.019415807
75,-2.8460024,0,0,0,0,-0.13900828,-0.01846947,0,0,0,-1.0536471,-0.19770492,0,0,0,0,0,0,-0.019481659
76,-2.8556225,0,0,0,0,-0.13947815,-0.0185319,0,0,0,-1.0572086,-0.19837321,0,0,0,0,0,0,-0.019547511
77,-2.8652426,0,0,0,0,-0.13994803,-0.018594331,0,0,0,-1.0607702,-0.19904149,0,0,0,0,0,0,-0.019613363
78,-2.8748627,0,0,0,0,-0.14041791,-0.018656762,0,0,0,-1.0643317,-0.19970978,0,0,0,0,0,0,-0.019679215
79,-2.8844827,0,0,0,0,-0.14088778,-0.018719192,0,0,0,-1.0678933,-0.20037806,0,0,0,0,0,0,-0.019745067
80,-2.8941028,0,0,0,0,-0.14135766,-0.018781623,0,0,0,-1.0714548,-0.20104634,0,0,0,0,0,0,-0.019810919
81,-2.9037229,0,0,0,0,-0.14182754,-0.018844054,0,0,0,-1.0750164,-0.20171463,0,0,0,0,0,0,-0.019876771
82,-2.913343,0,0,0,0,-0.14229742,-0.018906484,0,0,0,-1.0785779,-0.20238291,0,0,0,0,0,0,-0.019942624
83,-2.9229631,0,0,0,0,-0.14276729,-0.018968915,0,0,0,-1.0821395,-0.2030512,0,0,0,0,0,0,-0.020008476
