Time (ms),Stress at 0.00 mm (kPa),Stress at 0.25 mm (kPa),Stress at 0.45 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.05 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.45 mm (kPa),Stress at 1.65 mm (kPa),Stress at 1.85 mm (kPa),Stress at 2.05 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.65 mm (kPa),Stress at 2.85 mm (kPa),Stress at 3.06 mm (kPa),Stress at 3.25 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.65 mm (kPa),Stress at 3.85 mm (kPa)
43,-74.398233,-70.791782,-62.870011,-52.337676,-42.152742,-32.384842,-23.608833,-18.369242,-13.207687,-8.5508665,-5.4754694,-3.0002264,-1.0866209,0,0,0,0,0,0,0
44,-74.307688,-70.705626,-62.793496,-52.273979,-42.101441,-32.345428,-23.5801,-18.346886,-13.191612,-8.5404597,-5.4688056,-2.996575,-1.0852984,0,0,0,0,0,0,0
45,-74.217142,-70.61947,-62.716981,-52.210282,-42.050139,-32.306015,-23.551368,-18.32453,-13.175538,-8.530053,-5.4621417,-2.9929236,-1.0839759,0,0,0,0,0,0,0
46,-74.126597,-70.533313,-62.640466,-52.146585,-41.998838,-32.266601,-23.522635,-18.302174,-13.159464,-8.5196463,-5.4554778,-2.9892723,-1.0826535,0,0,0,0,0,0,0
47,-74.036051,-70.447157,-62.563951,-52.082888,-41.947536,-32.227188,-23.493902,-18.279818,-13.14339,-8.5092396,-5.448814,-2.9856209,-1.081331,0,0,0,0,0,0,0
48,-73.945506,-70.361001,-62.487435,-52.019191,-41.896235,-32.187774,-23.465169,-18.257462,-13.127315,-8.4988328,-5.4421501,-2.9819695,-1.0800086,0,0,0,0,0,0,0
49,-73.854961,-70.274845,-62.41092,-51.955494,-41.844933,-32.148361,-23.436436,-18.235106,-13.111241,-8.4884261,-5.4354863,-2.9783181,-1.0786861,0,0,0,0,0,0,0
50,-73.764415,-70.188688,-62.334405,-51.891798,-41.793632,-32.108947,-23.407703,-18.21275,-13.095167,-8.4780194,-5.4288224,-2.9746667,-1.0773636,0,0,0,0,0,0,0
51,-73.67387,-70.102532,-62.25789,-51.828101,-41.74233,-32.069533,-23.378971,-18.190394,-13.079093,-8.4676127,-5.4221586,-2.9710153,-1.0760412,0,0,0,0,0,0,0
52,-73.583324,-70.016376,-62.181375,-51.764404,-41.691029,-32.03012,-23.350238,-18.168038,-13.063018,-8.4572059,-5.4154947,-2.9673639,-1.0747187,0,0,0,0,0,0,0
53,-73.492779,-69.93022,-62.10486,-51.700707,-41.639728,-31.990706,-23.321505,-18.145682,-13.046944,-8.4467992,-5.4088309,-2.9637125,-1.0733963,0,0,0,0,0,0,0
54,-73.402233,-69.844063,-62.028344,-51.63701,-41.588426,-31.951293,-23.292772,-18.123326,-13.03087,-8.4363925,-5.402167,-2.9600612,-1.0720738,0,0,0,0,0,0,0
55,-73.311688,-69.757907,-61.951829,-51.573313,-41.537125,-31.911879,-23.264039,-18.100969,-13.014796,-8.4259858,-5.3955032,-2.9564098,-1.0707514,0,0,0,0,0,0,0
56,-73.221142,-69.671751,-61.875314,-51.509616,-41.485823,-31.872466,-23.235306,-18.078613,-12.998721,-8.415579,-5.3888393,-2.9527584,-1.0694289,0,0,0,0,0,0,0
57,-73.130597,-69.585595,-61.798799,-51.445919,-41.434522,-31.833052,-23.206574,-18.056257,-12.982647,-8.4051723,-5.3821755,-2.949107,-1.0681064,0,0,0,0,0,0,0
58,-73.040051,-69.499438,-61.722284,-51.382222,-41.38322,-31.793638,-23.177841,-18.033901,-12.966573,-8.3947656,-5.3755116,-2.9454556,-1.066784,0,0,0,0,0,0,0
59,-72.949506,-69.413282,-61.645769,-51.318525,-41.331919,-31.754225,-23.149108,-18.011545,-12.950499,-8.3843588,-5.3688478,-2.9418042,-1.0654615,0,0,0,0,0,0,0
60,-72.858961,-69.327126,-61.569253,-51.254828,-41.280617,-31.714811,-23.120375,-17.989189,-12.934424,-8.3739521,-5.3621839,-2.9381528,-1.0641391,0,0,0,0,0,0,0
61,-72.768415,-69.240969,-61.492738,-51.191131,-41.229316,-31.675398,-23.091642,-17.966833,-12.91835,-8.3635454,-5.3555201,-2.9345014,-1.0628166,0,0,0,0,0,0,0
62,-72.67787,-69.154813,-61.416223,-51.127435,-41.178014,-31.635984,-23.062909,-17.944477,-12.902276,-8.3531387,-5.3488562,-2.93085,-1.0614941,0,0,0,0,0,0,0
63,-72.587324,-69.068657,-61.339708,-51.063738,-41.126713,-31.596571,-23.034177,-17.922121,-12.886202,-8.3427319,-5.3421924,-2.9271987,-1.0601717,0,0,0,0,0,0,0
64,-72.496779,-68.982501,-61.263193,-51.000041,-41.075411,-31.557157,-23.005444,-17.899765,-12.870127,-8.3323252,-5.3355285,-2.9235473,-1.0588492,0,0,0,0,0,0,0
65,-72.406233,-68.896344,-61.186678,-50.936344,-41.02411,-31.517743,-22.976711,-17.877409,-12.854053,-8.3219185,-5.3288647,-2.9198959,-1.0575268,0,0,0,0,0,0,0
66,-72.315688,-68.810188,-61.110162,-50.872647,-40.972808,-31.47833,-22.947978,-17.855053,-12.837979,-8.3115118,-5.3222008,-2.9162445,-1.0562043,0,0,0,0,0,0,0
67,-72.225142,-68.724032,-61.033647,-50.80895,-40.921507,-31.438916,-22.919245,-17.832697,-12.821905,-8.301105,-5.3155369,-2.9125931,-1.0548819,0,0,0,0,0,0,0
68,-72.134597,-68.637876,-60.957132,-50.745253,-40.870205,-31.399503,-22.890512,-17.810341,-12.80583,-8.2906983,-5.3088731,-2.9089417,-1.0535594,0,0,0,0,0,0,0
69,-72.044052,-68.551719,-60.880617,-50.681556,-40.818904,-31.360089,-22.86178,-17.787985,-12.789756,-8.2802916,-5.3022092,-2.9052903,-1.0522369,0,0,0,0,0,0,0
70,-71.953506,-68.465563,-60.804102,-50.617859,-40.767602,-31.320676,-22.833047,-17.765629,-12.773682,-8.2698849,-5.2955454,-2.9016389,-1.0509145,0,0,0,0,0,0,0
71,-71.862961,-68.379407,-60.727587,-50.554162,-40.716301,-31.281262,-22.804314,-17.743272,-12.757608,-8.2594781,-5.2888815,-2.8979875,-1.049592,0,0,0,0,0,0,0
72,-71.772415,-68.293251,-60.651071,-50.490465,-40.665,-31.241848,-22.775581,-17.720916,-12.741533,-8.2490714,-5.2822177,-2.8943362,-1.0482696,0,0,0,0,0,0,0
73,-71.68187,-68.207094,-60.574556,-50.426768,-40.613698,-31.202435,-22.746848,-17.69856,-12.725459,-8.2386647,-5.2755538,-2.8906848,-1.0469471,0,0,0,0,0,0,0
74,-71.591324,-68.120938,-60.498041,-50.363071,-40.562397,-31.163021,-22.718115,-17.676204,-12.709385,-8.228258,-5.26889,-2.8870334,-1.0456246,0,0,0,0,0,0,0
75,-71.500779,-68.034782,-60.421526,-50.299375,-40.511095,-31.123608,-22.689382,-17.653848,-12.693311,-8.2178512,-5.2622261,-2.883382,-1.0443022,0,0,0,0,0,0,0
76,-71.410233,-67.948626,-60.345011,-50.235678,-40.459794,-31.084194,-22.66065,-17.631492,-12.677236,-8.2074445,-5.2555623,-2.8797306,-1.0429797,0,0,0,0,0,0,0
77,-71.319688,-67.862469,-60.268496,-50.171981,-40.408492,-31.044781,-22.631917,-17.609136,-12.661162,-8.1970378,-5.2488984,-2.8760792,-1.0416573,0,0,0,0,0,0,0
78,-71.229142,-67.776313,-60.19198,-50.108284,-40.357191,-31.005367,-22.603184,-17.58678,-12.645088,-8.186631,-5.2422346,-2.8724278,-1.0403348,0,0,0,0,0,0,0
79,-71.138597,-67.690157,-60.115465,-50.044587,-40.305889,-30.965953,-22.574451,-17.564424,-12.629014,-8.1762243,-5.2355707,-2.8687764,-1.0390124,0,0,0,0,0,0,0
80,-71.048052,-67.604,-60.03895,-49.98089,-40.254588,-30.92654,-22.545718,-17.542068,-12.612939,-8.1658176,-5.2289069,-2.8651251,-1.0376899,0,0,0,0,0,0,0
81,-70.957506,-67.517844,-59.962435,-49.917193,-40.203286,-30.887126,-22.516985,-17.519712,-12.596865,-8.1554109,-5.222243,-2.8614737,-1.0363674,0,0,0,0,0,0,0
82,-70.866961,-67.431688,-59.88592,-49.853496,-40.151985,-30.847713,-22.488253,-17.497356,-12.580791,-8.1450041,-5.2155792,-2.8578223,-1.035045,0,0,0,0,0,0,0
83,-70.776415,-67.345532,-59.809405,-49.789799,-40.100683,-30.808299,-22.45952,-17.475,-12.564717,-8.1345974,-5.2089153,-2.8541709,-1.0337225,0,0,0,0,0,0,0
84,-70.68587,-67.259375,-59.732889,-49.726102,-40.049382,-30.768886,-22.430787,-17.452644,-12.548642,-8.1241907,-5.2022515,-2.8505195,-1.0324001,0,0,0,0,0,0,0
85,-70.595324,-67.173219,-59.656374,-49.662405,-39.99808,-30.729472,-22.402054,-17.430288,-12.532568,-8.113784,-5.1955876,-2.8468681,-1.0310776,0,0,0,0,0,0,0
86,-70.504779,-67.087063,-59.579859,-49.598708,-39.946779,-30.690058,-22.373321,-17.407932,-12.516494,-8.1033772,-5.1889238,-2.8432167,-1.0297551,0,0,0,0,0,0,0
87,-70.414233,-67.000907,-59.503344,-49.535011,-39.895477,-30.650645,-22.344588,-17.385576,-12.50042,-8.0929705,-5.1822599,-2.8395653,-1.0284327,0,0,0,0,0,0,0
88,-70.323688,-66.91475,-59.426829,-49.471315,-39.844176,-30.611231,-22.315856,-17.363219,-12.484345,-8.0825638,-5.175596,-2.8359139,-1.0271102,0,0,0,0,0,0,0
89,-70.233143,-66.828594,-59.350313,-49.407618,-39.792874,-30.571818,-22.287123,-17.340863,-12.468271,-8.0721571,-5.1689322,-2.8322626,-1.0257878,0,0,0,0,0,0,0
90,-70.142597,-66.742438,-59.273798,-49.343921,-39.741573,-30.532404,-22.25839,-17.318507,-12.452197,-8.0617503,-5.1622683,-2.8286112,-1.0244653,0,0,0,0,0,0,0
91,-70.052052,-66.656282,-59.197283,-49.280224,-39.690272,-30.492991,-22.229657,-17.296151,-12.436123,-8.0513436,-5.1556045,-2.8249598,-1.0231428,0,0,0,0,0,0,0
92,-69.961506,-66.570125,-59.120768,-49.216527,-39.63897,-30.453577,-22.200924,-17.273795,-12.420048,-8.0409369,-5.1489406,-2.8213084,-1.0218204,0,0,0,0,0,0,0
93,-69.870961,-66.483969,-59.044253,-49.15283,-39.587669,-30.414163,-22.172191,-17.251439,-12.403974,-8.0305302,-5.1422768,-2.817657,-1.0204979,0,0,0,0,0,0,0
94,-69.780415,-66.397813,-58.967738,-49.089133,-39.536367,-30.37475,-22.143459,-17.229083,-12.3879,-8.0201234,-5.1356129,-2.8140056,-1.0191755,0,0,0,0,0,0,0
95,-69.68987,-66.311656,-58.891222,-49.025436,-39.485066,-30.335336,-22.114726,-17.206727,-12.371826,-8.0097167,-5.1289491,-2.8103542,-1.017853,0,0,0,0,0,0,0
96,-69.599324,-66.2255,-58.814707,-48.961739,-39.433764,-30.295923,-22.085993,-17.184371,-12.355751,-7.99931,-5.1222852,-2.8067028,-1.0165306,0,0,0,0,0,0,0
97,-69.508779,-66.139344,-58.738192,-48.898042,-39.382463,-30.256509,-22.05726,-17.162015,-12.339677,-7.9889032,-5.1156214,-2.8030514,-1.0152081,0,0,0,0,0,0,0
98,-69.418233,-66.053188,-58.661677,-48.834345,-39.331161,-30.217096,-22.028527,-17.139659,-12.323603,-7.9784965,-5.1089575,-2.7994001,-1.0138856,0,0,0,0,0,0,0
99,-69.327688,-65.967031,-58.585162,-48.770648,-39.27986,-30.177682,-21.999794,-17.117303,-12.307529,-7.9680898,-5.1022937,-2.7957487,-1.0125632,0,0,0,0,0,0,0
100,-69.237143,-65.880875,-58.508647,-48.706951,-39.228558,-30.138268,-21.971062,-17.094947,-12.291454,-7.9576831,-5.0956298,-2.7920973,-1.0112407,0,0,0,0,0,0,0
101,-69.146597,-65.794719,-58.432131,-48.643255,-39.177257,-30.098855,-21.942329,-17.072591,-12.27538,-7.9472763,-5.088966,-2.7884459,-1.0099183,0,0,0,0,0,0,0
102,-69.056052,-65.708563,-58.355616,-48.579558,-39.125955,-30.059441,-21.913596,-17.050235,-12.259306,-7.9368696,-5.0823021,-2.7847945,-1.0085958,0,0,0,0,0,0,0
103,-68.965506,-65.622406,-58.279101,-48.515861,-39.074654,-30.020028,-21.884863,-17.027879,-12.243232,-7.9264629,-5.0756383,-2.7811431,-1.0072733,0,0,0,0,0,0,0
104,-68.874961,-65.53625,-58.202586,-48.452164,-39.023352,-29.980614,-21.85613,-17.005523,-12.227157,-7.9160562,-5.0689744,-2.7774917,-1.0059509,0,0,0,0,0,0,0
105,-68.784415,-65.450094,-58.126071,-48.388467,-38.972051,-29.941201,-21.827397,-16.983166,-12.211083,-7.9056494,-5.0623106,-2.7738403,-1.0046284,0,0,0,0,0,0,0
106,-68.69387,-65.363938,-58.049556,-48.32477,-38.920749,-29.901787,-21.798664,-16.96081,-12.195009,-7.8952427,-5.0556467,-2.770189,-1.003306,0,0,0,0,0,0,0
107,-68.603324,-65.277781,-57.97304,-48.261073,-38.869448,-29.862373,-21.769932,-16.938454,-12.178935,-7.884836,-5.0489829,-2.7665376,-1.0019835,0,0,0,0,0,0,0
108,-68.512779,-65.191625,-57.896525,-48.197376,-38.818146,-29.82296,-21.741199,-16.916098,-12.16286,-7.8744293,-5.042319,-2.7628862,-1.0006611,0,0,0,0,0,0,0
109,-68.422234,-65.105469,-57.82001,-48.133679,-38.766845,-29.783546,-21.712466,-16.893742,-12.146786,-7.8640225,-5.0356551,-2.7592348,-0.9993386,0,0,0,0,0,0,0
110,-68.331688,-65.019313,-57.743495,-48.069982,-38.715544,-29.744133,-21.683733,-16.871386,-12.130712,-7.8536158,-5.0289913,-2.7555834,-0.99801614,0,0,0,0,0,0,0
111,-68.241143,-64.933156,-57.66698,-48.006285,-38.664242,-29.704719,-21.655,-16.84903,-12.114638,-7.8432091,-5.0223274,-2.751932,-0.99669368,0,0,0,0,0,0,0
112,-68.150597,-64.847,-57.590465,-47.942588,-38.612941,-29.665306,-21.626267,-16.826674,-12.098563,-7.8328024,-5.0156636,-2.7482806,-0.99537122,0,0,0,0,0,0,0
113,-68.060052,-64.760844,-57.513949,-47.878891,-38.561639,-29.625892,-21.597535,-16.804318,-12.082489,-7.8223956,-5.0089997,-2.7446292,-0.99404876,0,0,0,0,0,0,0
114,-67.969506,-64.674687,-57.437434,-47.815195,-38.510338,-29.586478,-21.568802,-16.781962,-12.066415,-7.8119889,-5.0023359,-2.7409778,-0.9927263,0,0,0,0,0,0,0
115,-67.878961,-64.588531,-57.360919,-47.751498,-38.459036,-29.547065,-21.540069,-16.759606,-12.050341,-7.8015822,-4.995672,-2.7373265,-0.99140385,0,0,0,0,0,0,0
116,-67.788415,-64.502375,-57.284404,-47.687801,-38.407735,-29.507651,-21.511336,-16.73725,-12.034266,-7.7911754,-4.9890082,-2.7336751,-0.99008139,0,0,0,0,0,0,0
117,-67.69787,-64.416219,-57.207889,-47.624104,-38.356433,-29.468238,-21.482603,-16.714894,-12.018192,-7.7807687,-4.9823443,-2.7300237,-0.98875893,0,0,0,0,0,0,0
118,-67.607324,-64.330062,-57.131374,-47.560407,-38.305132,-29.428824,-21.45387,-16.692538,-12.002118,-7.770362,-4.9756805,-2.7263723,-0.98743647,0,0,0,0,0,0,0
119,-67.516779,-64.243906,-57.054858,-47.49671,-38.25383,-29.389411,-21.425138,-16.670182,-11.986044,-7.7599553,-4.9690166,-2.7227209,-0.98611401,0,0,0,0,0,0,0
120,-67.426234,-64.15775,-56.978343,-47.433013,-38.202529,-29.349997,-21.396405,-16.647826,-11.969969,-7.7495485,-4.9623528,-2.7190695,-0.98479155,0,0,0,0,0,0,0
121,-67.335688,-64.071594,-56.901828,-47.369316,-38.151227,-29.310583,-21.367672,-16.62547,-11.953895,-7.7391418,-4.9556889,-2.7154181,-0.98346909,0,0,0,0,0,0,0
122,-67.245143,-63.985437,-56.825313,-47.305619,-38.099926,-29.27117,-21.338939,-16.603113,-11.937821,-7.7287351,-4.9490251,-2.7117667,-0.98214664,0,0,0,0,0,0,0
123,-67.154597,-63.899281,-56.748798,-47.241922,-38.048624,-29.231756,-21.310206,-16.580757,-11.921747,-7.7183284,-4.9423612,-2.7081153,-0.98082418,0,0,0,0,0,0,0
124,-67.064052,-63.813125,-56.672283,-47.178225,-37.997323,-29.192343,-21.281473,-16.558401,-11.905672,-7.7079216,-4.9356974,-2.704464,-0.97950172,0,0,0,0,0,0,0
125,-66.973506,-63.726969,-56.595767,-47.114528,-37.946021,-29.152929,-21.252741,-16.536045,-11.889598,-7.6975149,-4.9290335,-2.7008126,-0.97817926,0,0,0,0,0,0,0
126,-66.882961,-63.640812,-56.519252,-47.050831,-37.89472,-29.113516,-21.224008,-16.513689,-11.873524,-7.6871082,-4.9223697,-2.6971612,-0.9768568,0,0,0,0,0,0,0
127,-66.792415,-63.554656,-56.442737,-46.987135,-37.843418,-29.074102,-21.195275,-16.491333,-11.85745,-7.6767015,-4.9157058,-2.6935098,-0.97553434,0,0,0,0,0,0,0
128,-66.70187,-63.4685,-56.366222,-46.923438,-37.792117,-29.034688,-21.166542,-16.468977,-11.841375,-7.6662947,-4.909042,-2.6898584,-0.97421189,0,0,0,0,0,0,0
129,-66.611324,-63.382344,-56.289707,-46.859741,-37.740815,-28.995275,-21.137809,-16.446621,-11.825301,-7.655888,-4.9023781,-2.686207,-0.97288943,0,0,0,0,0,0,0
130,-66.520779,-63.296187,-56.213192,-46.796044,-37.689514,-28.955861,-21.109076,-16.424265,-11.809227,-7.6454813,-4.8957142,-2.6825556,-0.97156697,0,0,0,0,0,0,0
131,-66.430234,-63.210031,-56.136676,-46.732347,-37.638213,-28.916448,-21.080344,-16.401909,-11.793153,-7.6350745,-4.8890504,-2.6789042,-0.97024451,0,0,0,0,0,0,0
132,-66.339688,-63.123875,-56.060161,-46.66865,-37.586911,-28.877034,-21.051611,-16.379553,-11.777078,-7.6246678,-4.8823865,-2.6752528,-0.96892205,0,0,0,0,0,0,0
133,-66.249143,-63.037718,-55.983646,-46.604953,-37.53561,-28.837621,-21.022878,-16.357197,-11.761004,-7.6142611,-4.8757227,-2.6716015,-0.96759959,0,0,0,0,0,0,0
134,-66.158597,-62.951562,-55.907131,-46.541256,-37.484308,-28.798207,-20.994145,-16.334841,-11.74493,-7.6038544,-4.8690588,-2.6679501,-0.96627713,0,0,0,0,0,0,0
135,-66.068052,-62.865406,-55.830616,-46.477559,-37.433007,-28.758793,-20.965412,-16.312485,-11.728856,-7.5934476,-4.862395,-2.6642987,-0.96495468,0,0,0,0,0,0,0
