Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa)
20,-31.378349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023670019,-0.92338034,-3.0407777,-3.9638845,-0.76341287,0,0,0,0,0,0,0,-0.09444801,-2.9185128,-14.95558,-23.069714,-10.416234,-0.50458274,0,0,0,0,0,0,0,-1.1297301,-8.6576263,-15.45576,-5.399084,0,0,0,0,0,0,0,0,0,-0.018309112,0,0,0,0,0,0,0,0,0,0,0,0
21,-31.307186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023616337,-0.92128618,-3.0338815,-3.9548947,-0.76168151,0,0,0,0,0,0,0,-0.094233809,-2.9118938,-14.921662,-23.017394,-10.392611,-0.50343839,0,0,0,0,0,0,0,-1.127168,-8.6379915,-15.420708,-5.3868393,0,0,0,0,0,0,0,0,0,-0.018267588,0,0,0,0,0,0,0,0,0,0,0,0
22,-31.236022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023562655,-0.91919203,-3.0269853,-3.945905,-0.75995015,0,0,0,0,0,0,0,-0.094019609,-2.9052749,-14.887744,-22.965073,-10.368988,-0.50229403,0,0,0,0,0,0,0,-1.1246059,-8.6183567,-15.385655,-5.3745946,0,0,0,0,0,0,0,0,0,-0.018226064,0,0,0,0,0,0,0,0,0,0,0,0
23,-31.164858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023508974,-0.91709788,-3.020089,-3.9369152,-0.75821879,0,0,0,0,0,0,0,-0.093805408,-2.8986559,-14.853826,-22.912753,-10.345365,-0.50114968,0,0,0,0,0,0,0,-1.1220437,-8.5987219,-15.350603,-5.3623499,0,0,0,0,0,0,0,0,0,-0.018184541,0,0,0,0,0,0,0,0,0,0,0,0
24,-31.093695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023455292,-0.91500372,-3.0131928,-3.9279254,-0.75648743,0,0,0,0,0,0,0,-0.093591208,-2.892037,-14.819908,-22.860433,-10.321741,-0.50000533,0,0,0,0,0,0,0,-1.1194816,-8.5790871,-15.31555,-5.3501052,0,0,0,0,0,0,0,0,0,-0.018143017,0,0,0,0,0,0,0,0,0,0,0,0
25,-31.022531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02340161,-0.91290957,-3.0062965,-3.9189356,-0.75475607,0,0,0,0,0,0,0,-0.093377007,-2.885418,-14.78599,-22.808112,-10.298118,-0.49886097,0,0,0,0,0,0,0,-1.1169194,-8.5594523,-15.280498,-5.3378605,0,0,0,0,0,0,0,0,0,-0.018101494,0,0,0,0,0,0,0,0,0,0,0,0
26,-30.951368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023347928,-0.91081542,-2.9994003,-3.9099459,-0.75302471,0,0,0,0,0,0,0,-0.093162807,-2.8787991,-14.752072,-22.755792,-10.274495,-0.49771662,0,0,0,0,0,0,0,-1.1143573,-8.5398175,-15.245445,-5.3256158,0,0,0,0,0,0,0,0,0,-0.01805997,0,0,0,0,0,0,0,0,0,0,0,0
27,-30.880204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023294247,-0.90872126,-2.992504,-3.9009561,-0.75129336,0,0,0,0,0,0,0,-0.092948606,-2.8721801,-14.718154,-22.703472,-10.250872,-0.49657227,0,0,0,0,0,0,0,-1.1117952,-8.5201827,-15.210393,-5.3133711,0,0,0,0,0,0,0,0,0,-0.018018446,0,0,0,0,0,0,0,0,0,0,0,0
28,-30.80904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023240565,-0.90662711,-2.9856078,-3.8919663,-0.749562,0,0,0,0,0,0,0,-0.092734405,-2.8655612,-14.684236,-22.651152,-10.227249,-0.49542791,0,0,0,0,0,0,0,-1.109233,-8.5005479,-15.17534,-5.3011264,0,0,0,0,0,0,0,0,0,-0.017976923,0,0,0,0,0,0,0,0,0,0,0,0
29,-30.737877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023186883,-0.90453296,-2.9787116,-3.8829765,-0.74783064,0,0,0,0,0,0,0,-0.092520205,-2.8589422,-14.650318,-22.598831,-10.203625,-0.49428356,0,0,0,0,0,0,0,-1.1066709,-8.4809131,-15.140288,-5.2888817,0,0,0,0,0,0,0,0,0,-0.017935399,0,0,0,0,0,0,0,0,0,0,0,0
30,-30.666713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023133202,-0.90243881,-2.9718153,-3.8739868,-0.74609928,0,0,0,0,0,0,0,-0.092306004,-2.8523233,-14.6164,-22.546511,-10.180002,-0.49313921,0,0,0,0,0,0,0,-1.1041087,-8.4612783,-15.105236,-5.276637,0,0,0,0,0,0,0,0,0,-0.017893876,0,0,0,0,0,0,0,0,0,0,0,0
