Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
2707.708,239.0324,255.1231,222.9417
2712.713,239.0858,255.0911,223.0805
2717.718,239.1392,255.0594,223.2191
2722.723,239.1926,255.0278,223.3574
2727.728,239.246,254.9965,223.4955
2732.733,239.2994,254.9654,223.6334
2737.738,239.3683,254.9783,223.7584
2742.743,239.4425,255.0062,223.8788
2747.748,239.5166,255.0341,223.9991
2752.753,239.5807,255.0549,224.1065
2757.758,239.6365,255.0696,224.2034
2762.763,239.6923,255.0844,224.3002
2767.768,239.7481,255.0991,224.3971
2772.773,239.8039,255.1139,224.4939
2777.778,239.8597,255.1286,224.5907
2782.783,239.9155,255.1434,224.6876
2787.788,239.9713,255.1582,224.7844
2792.793,240.0271,255.1729,224.8812
2797.798,240.0829,255.1877,224.978
2802.803,240.1387,255.2025,225.0748
2807.808,240.1944,255.2173,225.1716
2812.813,240.2502,255.2321,225.2684
2817.818,240.3242,255.2368,225.4116
2822.823,240.3989,255.2412,225.5566
2827.828,240.4736,255.2455,225.7016
2832.833,240.5483,255.2499,225.8467
2837.838,240.6229,255.2542,225.9917
2842.843,240.6976,255.2586,226.1367
2847.848,240.7798,255.2841,226.2755
2852.853,240.8642,255.3159,226.4125
2857.858,240.9487,255.3478,226.5495
2862.863,241.0153,255.3669,226.6638
2867.868,241.0687,255.3767,226.7608
2872.873,241.1221,255.387,226.8573
2877.878,241.1755,255.3977,226.9533
2882.883,241.2289,255.4089,227.0489
2887.888,241.2823,255.4205,227.144
2892.893,241.3357,255.4326,227.2387
2897.898,241.389,255.4452,227.3329
2902.903,241.4424,255.4583,227.4266
2907.908,241.4958,255.4718,227.5198
2912.913,241.5492,255.4859,227.6125
2917.918,241.6026,255.5004,227.7048
2922.923,241.6553,255.5157,227.7948
2927.928,241.7049,255.5329,227.8768
2932.933,241.7545,255.5505,227.9584
2937.938,241.8041,255.5686,228.0395
2942.943,241.8537,255.5872,228.1202
2947.948,241.9033,255.6061,228.2005
2952.953,241.9529,255.6256,228.2802
2957.958,241.9929,255.6177,228.3681
2962.963,242.0328,255.6099,228.4557
2967.968,242.0727,255.6026,228.5428
2972.973,242.084,255.582,228.586
2977.978,242.0879,255.5594,228.6165
2982.983,242.0918,255.5382,228.6454
2987.988,242.0957,255.5186,228.6729
2992.993,242.0996,255.5005,228.6988
2997.998,242.1036,255.484,228.7231
3003.003,242.1075,255.4691,228.7459
3008.008,242.1114,255.4557,228.7671
3013.013,242.1153,255.4439,228.7867
3018.018,242.1192,255.4336,228.8048
3023.023,242.1231,255.425,228.8212
3028.028,242.127,255.4179,228.8361
3033.033,242.1264,255.4132,228.8395
3038.038,242.1082,255.4129,228.8036
3043.043,242.0901,255.4134,228.7668
3048.048,242.072,255.4149,228.729
3053.053,242.0539,255.4173,228.6904
3058.058,242.0357,255.4207,228.6508
3063.063,242.015,255.4172,228.6128
3068.068,241.9846,255.3861,228.5831
3073.073,241.9542,255.3558,228.5526
3078.078,241.9238,255.3264,228.5212
3083.083,241.887,255.2973,228.4767
3088.088,241.8488,255.2692,228.4283
3093.093,241.8105,255.2422,228.3788
3098.098,241.7723,255.2163,228.3282
3103.103,241.734,255.1915,228.2765
3108.108,241.6958,255.1678,228.2238
3113.113,241.6575,255.1452,228.1699
3118.118,241.6193,255.1236,228.1149
3123.123,241.581,255.1032,228.0589
3128.128,241.5428,255.0838,228.0017
3133.133,241.5045,255.0655,227.9435
3138.138,241.4663,255.0483,227.8843
3143.143,241.416,255.0305,227.8014
3148.148,241.3495,255.011,227.688
3153.153,241.2831,254.9919,227.5743
3158.158,241.2167,254.9732,227.4602
3163.163,241.1502,254.9548,227.3457
3168.168,241.0838,254.9368,227.2309
3173.173,241.0203,254.9275,227.113
3178.178,240.966,254.9462,226.9859
3183.183,240.9118,254.9652,226.8584
3188.188,240.8583,254.9844,226.7322
3193.193,240.8225,255.001,226.644
3198.198,240.7866,255.0176,226.5557
3203.203,240.7508,255.0343,226.4673
3208.208,240.7149,255.0511,226.3788
3213.213,240.6791,255.068,226.2902
3218.218,240.6433,255.085,226.2015
3223.223,240.6074,255.1021,226.1128
3228.228,240.5716,255.1192,226.0239
3233.233,240.5357,255.1365,225.935
3238.238,240.4999,255.1538,225.846
3243.243,240.4641,255.1713,225.7569
3248.248,240.4282,255.1888,225.6677
3253.253,240.3764,255.202,225.5509
3258.258,240.3161,255.213,225.4192
3263.263,240.2557,255.224,225.2875
3268.268,240.1954,255.2349,225.1558
3273.273,240.135,255.2459,225.0242
3278.278,240.0747,255.2569,224.8925
3283.283,240.0247,255.2983,224.7511
3288.288,239.987,255.3759,224.598
3293.293,239.9493,255.4536,224.445
3298.298,239.919,255.5297,224.3083
3303.303,239.91,255.6018,224.2182
3308.308,239.901,255.6741,224.1279
3313.313,239.892,255.7467,224.0374
3318.318,239.883,255.8194,223.9467
3323.323,239.874,255.8924,223.8557
3328.328,239.865,255.9656,223.7645
3333.333,239.8561,256.0389,223.6732
3338.338,239.8471,256.1125,223.5816
3343.343,239.8381,256.1863,223.4898
3348.348,239.8291,256.2603,223.3979
3353.353,239.8201,256.3344,223.3057
3358.358,239.8111,256.4088,223.2134
3363.363,239.7924,256.4817,223.1031
3368.368,239.769,256.5541,222.9838
3373.373,239.7455,256.6269,222.8642
3378.378,239.7221,256.7001,222.7441
