Time (ms),Stress (kPa)
930,2081.48224
931,2081.95839
932,2082.434686
933,2082.910836
934,2083.210472
935,2083.421704
936,2083.633084
937,2083.844318
938,2084.055696
939,2084.267076
940,2084.478308
941,2084.689688
942,2084.900922
943,2085.1123
944,2085.32368
945,2085.534912
946,2085.746292
947,2085.957526
948,2086.168904
949,2086.380284
950,2086.591516
951,2086.802896
952,2087.014128
953,2087.225508
954,2087.436888
955,2087.64812
956,2087.8595
957,2088.070732
958,2088.282112
959,2088.493346
960,2088.704724
961,2088.916104
962,2089.127336
963,2089.338716
964,2089.54995
965,2089.761328
966,2089.972708
967,2090.18394
968,2090.39532
969,2090.606552
970,2090.817932
971,2091.029312
972,2091.240544
973,2091.451924
974,2091.663156
975,2091.874536
976,2092.085916
977,2092.297148
978,2092.508528
979,2092.71976
980,2092.93114
981,2093.142374
982,2093.353752
983,2093.565132
984,2093.776364
985,2093.987744
986,2094.198978
987,2094.410356
988,2094.621736
989,2094.832968
990,2095.044348
991,2095.25558
992,2095.46696
993,2095.67834
994,2095.889572
995,2096.100952
996,2096.312184
997,2096.523564
998,2096.734944
999,2096.946176
1000,2097.157556
1001,2097.368788
1002,2097.580168
1003,2097.791546
1004,2098.00278
1005,2098.21416
1006,2098.425392
1007,2098.636772
1008,2098.848004
1009,2099.059384
1010,2099.270764
1011,2099.481996
1012,2099.693376
1013,2099.904608
1014,2100.115988
1015,2100.327368
1016,2100.5386
1017,2100.74998
1018,2100.961212
1019,2101.172592
1020,2101.383972
1021,2101.595204
1022,2101.806584
1023,2102.017816
1024,2102.229196
1025,2102.440574
1026,2102.651808
1027,2102.863188
1028,2103.07442
1029,2103.2858
1030,2103.497178
1031,2103.708412
1032,2103.919792
1033,2104.131024
1034,2104.342404
1035,2104.553636
1036,2104.765016
1037,2104.976396
1038,2105.187628
1039,2105.399008
1040,2105.61024
1041,2105.82162
1042,2106.032998
1043,2106.244232
1044,2106.455612
1045,2106.666844
1046,2106.878224
1047,2107.089602
1048,2107.300836
1049,2107.512216
1050,2107.723448
1051,2107.934828
1052,2108.146206
1053,2108.35744
1054,2108.56882
1055,2108.780052
1056,2108.991432
1057,2109.20281
1058,2109.414044
1059,2109.625424
1060,2109.836656
1061,2110.048036
1062,2110.259268
1063,2110.470648
1064,2110.682026
1065,2110.89326
