Time (ms),Stress at 0.00 mm (kPa),Stress at 0.33 mm (kPa),Stress at 0.54 mm (kPa),Stress at 0.68 mm (kPa),Stress at 0.89 mm (kPa),Stress at 1.12 mm (kPa),Stress at 1.32 mm (kPa),Stress at 1.52 mm (kPa),Stress at 1.70 mm (kPa),Stress at 1.89 mm (kPa),Stress at 2.11 mm (kPa),Stress at 2.31 mm (kPa),Stress at 2.52 mm (kPa),Stress at 2.70 mm (kPa),Stress at 2.90 mm (kPa),Stress at 3.10 mm (kPa),Stress at 3.30 mm (kPa),Stress at 3.49 mm (kPa),Stress at 3.68 mm (kPa),Stress at 3.90 mm (kPa),Stress at 4.10 mm (kPa),Stress at 4.32 mm (kPa),Stress at 4.51 mm (kPa),Stress at 4.71 mm (kPa),Stress at 4.90 mm (kPa)
26,-9.0571236,-7.0839532,-5.9743711,-4.9070771,-4.0263096,-3.2258291,-2.3969494,-1.9951368,-1.637216,-1.3821327,-1.0907389,-0.99279559,-0.77343744,-0.64059214,-0.62794927,-0.5628816,-0.4565276,-0.36838016,-0.35626794,-0.36373191,-0.29890418,-0.26870431,-0.1949197,-0.15973854,-0.098337684
27,-9.4054745,-7.356413,-6.2041546,-5.0958108,-4.1811677,-3.3498994,-2.4891398,-2.0718728,-1.7001858,-1.4352917,-1.1326904,-1.03098,-0.80318503,-0.6652303,-0.65210117,-0.58453089,-0.47408636,-0.38254863,-0.36997056,-0.3777216,-0.3104005,-0.27903909,-0.20241662,-0.16588233,-0.1021199
28,-9.7538254,-7.6288727,-6.4339381,-5.2845446,-4.3360258,-3.4739698,-2.5813302,-2.1486088,-1.7631557,-1.4884506,-1.1746419,-1.0691645,-0.83293262,-0.68986846,-0.67625306,-0.60618018,-0.49164511,-0.39671709,-0.38367317,-0.39171129,-0.32189681,-0.28937387,-0.20991353,-0.17202612,-0.10590212
29,-10.102176,-7.9013324,-6.6637216,-5.4732783,-4.4908838,-3.5980401,-2.6735205,-2.2253449,-1.8261255,-1.5416096,-1.2165934,-1.1073489,-0.86268022,-0.71450662,-0.70040496,-0.62782947,-0.50920387,-0.41088556,-0.39737578,-0.40570097,-0.33339313,-0.29970865,-0.21741044,-0.17816991,-0.10968434
30,-10.450527,-8.1737922,-6.8935051,-5.662012,-4.6457419,-3.7221105,-2.7657109,-2.3020809,-1.8890954,-1.5947685,-1.2585449,-1.1455334,-0.89242781,-0.73914478,-0.72455685,-0.64947877,-0.52676262,-0.42505403,-0.4110784,-0.41969066,-0.34488944,-0.31004343,-0.22490735,-0.1843137,-0.11346656
31,-10.798878,-8.4462519,-7.1232886,-5.8507458,-4.8006,-3.8461808,-2.8579013,-2.3788169,-1.9520652,-1.6479275,-1.3004963,-1.1837178,-0.92217541,-0.76378294,-0.74870875,-0.67112806,-0.54432137,-0.4392225,-0.42478101,-0.43368035,-0.35638576,-0.32037821,-0.23240426,-0.19045749,-0.11724878
32,-10.433792,-8.1607032,-6.8824663,-5.6529453,-4.6383025,-3.7161502,-2.7612821,-2.2983945,-1.8860703,-1.5922148,-1.2565295,-1.143699,-0.89099874,-0.73796116,-0.72339659,-0.64843873,-0.5259191,-0.42437338,-0.41042012,-0.4190186,-0.34433716,-0.30954695,-0.2245472,-0.18401855,-0.11328486
33,-10.068609,-7.8750779,-6.6415793,-5.4550917,-4.4759615,-3.5860846,-2.6646369,-2.2179505,-1.8200577,-1.5364871,-1.2125509,-1.1036694,-0.8598137,-0.71213246,-0.69807765,-0.62574332,-0.50751188,-0.40952027,-0.39605538,-0.40435291,-0.33228533,-0.29871278,-0.21668803,-0.17757788,-0.10931988
34,-9.7034251,-7.5894525,-6.4006924,-5.2572381,-4.3136205,-3.456019,-2.5679918,-2.1375065,-1.754045,-1.4807594,-1.1685722,-1.0636399,-0.82862866,-0.68630375,-0.6727587,-0.6030479,-0.48910466,-0.39466716,-0.38169064,-0.38968722,-0.3202335,-0.28787861,-0.20882885,-0.17113722,-0.1053549
35,-9.3382414,-7.3038272,-6.1598054,-5.0593845,-4.1512795,-3.3259534,-2.4713467,-2.0570624,-1.6880324,-1.4250318,-1.1245936,-1.0236103,-0.79744363,-0.66047504,-0.64743976,-0.58035249,-0.47069745,-0.37981406,-0.3673259,-0.37502153,-0.30818166,-0.27704444,-0.20096968,-0.16469655,-0.10138992
36,-8.9730577,-7.0182018,-5.9189185,-4.8615309,-3.9889385,-3.1958878,-2.3747016,-1.9766184,-1.6220198,-1.3693041,-1.0806149,-0.98358072,-0.76625859,-0.63464633,-0.62212081,-0.55765708,-0.45229023,-0.36496095,-0.35296116,-0.36035584,-0.29612983,-0.26621026,-0.19311051,-0.15825588,-0.097424939
37,-8.607874,-6.7325765,-5.6780316,-4.6636773,-3.8265975,-3.0658222,-2.2780565,-1.8961744,-1.5560071,-1.3135765,-1.0366363,-0.94355115,-0.73507356,-0.60881763,-0.59680186,-0.53496166,-0.43388302,-0.35010784,-0.33859642,-0.34569015,-0.284078,-0.25537609,-0.18525134,-0.15181522,-0.093459958
38,-8.2426903,-6.4469511,-5.4371446,-4.4658237,-3.6642565,-2.9357566,-2.1814113,-1.8157304,-1.4899945,-1.2578488,-0.99265762,-0.90352158,-0.70388852,-0.58298892,-0.57148292,-0.51226625,-0.4154758,-0.33525474,-0.32423167,-0.33102446,-0.27202617,-0.24454192,-0.17739217,-0.14537455,-0.089494978
39,-7.8775067,-6.1613258,-5.1962577,-4.2679701,-3.5019155,-2.805691,-2.0847662,-1.7352864,-1.4239819,-1.2021211,-0.94867898,-0.86349202,-0.67270348,-0.55716021,-0.54616397,-0.48957083,-0.39706858,-0.32040163,-0.30986693,-0.31635878,-0.25997434,-0.23370775,-0.16953299,-0.13893389,-0.085529998
40,-7.512323,-5.8757004,-4.9553707,-4.0701165,-3.3395744,-2.6756254,-1.9881211,-1.6548424,-1.3579692,-1.1463935,-0.90470033,-0.82346245,-0.64151845,-0.5313315,-0.52084502,-0.46687542,-0.37866137,-0.30554852,-0.29550219,-0.30169309,-0.24792251,-0.22287358,-0.16167382,-0.13249322,-0.081565017
41,-7.1471393,-5.5900751,-4.7144838,-3.8722629,-3.1772334,-2.5455598,-1.891476,-1.5743984,-1.2919566,-1.0906658,-0.86072168,-0.78343288,-0.61033341,-0.5055028,-0.49552608,-0.44418,-0.36025415,-0.29069542,-0.28113745,-0.2870274,-0.23587067,-0.21203941,-0.15381465,-0.12605256,-0.077600037
42,-6.7819556,-5.3044497,-4.4735968,-3.6744093,-3.0148924,-2.4154942,-1.7948308,-1.4939543,-1.225944,-1.0349382,-0.81674304,-0.74340331,-0.57914837,-0.47967409,-0.47020713,-0.42148459,-0.34184694,-0.27584231,-0.26677271,-0.27236171,-0.22381884,-0.20120524,-0.14595548,-0.11961189,-0.073635056
