Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
20,-6.9670181,0,-0.17707502,-0.44350473,-0.49970787,-0.86842247,-0.70334991,-1.0358932,0,0,-0.22635137,-0.67824336,-2.0449175,-2.9991384,-0.76423362,-0.6441626,0,0,-0.081125377,-0.57696477,-1.1242382,-1.4375465,-0.6027966,-0.61633597,0,0,0,0,-0.01734628,-0.31509694,-0.14668565,-0.38921703,0,0,0,0,0,0,0,-0.014960491,0,0,0,0,0,0,0,0
21,-7.315369,0,-0.18592877,-0.46567996,-0.52469326,-0.91184359,-0.7385174,-1.0876879,0,0,-0.23766894,-0.71215553,-2.1471633,-3.1490953,-0.80244531,-0.67637073,0,0,-0.085181646,-0.60581301,-1.1804501,-1.5094238,-0.63293643,-0.64715277,0,0,0,0,-0.018213594,-0.33085179,-0.15401993,-0.40867789,0,0,0,0,0,0,0,-0.015708516,0,0,0,0,0,0,0,0
22,-7.66372,0,-0.19478252,-0.4878552,-0.54967865,-0.95526472,-0.7736849,-1.1394826,0,0,-0.24898651,-0.7460677,-2.2494092,-3.2990522,-0.84065699,-0.70857886,0,0,-0.089237915,-0.63466125,-1.236662,-1.5813012,-0.66307626,-0.67796957,0,0,0,0,-0.019080908,-0.34660664,-0.16135421,-0.42813874,0,0,0,0,0,0,0,-0.01645654,0,0,0,0,0,0,0,0
23,-8.0120709,0,-0.20363627,-0.51003044,-0.57466405,-0.99868584,-0.80885239,-1.1912772,0,0,-0.26030407,-0.77997987,-2.3516551,-3.4490092,-0.87886867,-0.74078699,0,0,-0.093294184,-0.66350949,-1.2928739,-1.6531785,-0.69321609,-0.70878637,0,0,0,0,-0.019948222,-0.36236149,-0.16868849,-0.44759959,0,0,0,0,0,0,0,-0.017204565,0,0,0,0,0,0,0,0
24,-8.3604218,0,-0.21249002,-0.53220567,-0.59964944,-1.042107,-0.84401989,-1.2430719,0,0,-0.27162164,-0.81389204,-2.4539009,-3.5989661,-0.91708035,-0.77299512,0,0,-0.097350453,-0.69235772,-1.3490858,-1.7250558,-0.72335592,-0.73960317,0,0,0,0,-0.020815536,-0.37811633,-0.17602277,-0.46706044,0,0,0,0,0,0,0,-0.017952589,0,0,0,0,0,0,0,0
25,-8.7087727,0,-0.22134377,-0.55438091,-0.62463483,-1.0855281,-0.87918738,-1.2948665,0,0,-0.28293921,-0.84780421,-2.5561468,-3.748923,-0.95529203,-0.80520325,0,0,-0.10140672,-0.72120596,-1.4052977,-1.7969331,-0.75349575,-0.77041997,0,0,0,0,-0.02168285,-0.39387118,-0.18335706,-0.48652129,0,0,0,0,0,0,0,-0.018700614,0,0,0,0,0,0,0,0
26,-9.0571236,0,-0.23019752,-0.57655614,-0.64962023,-1.1289492,-0.91435488,-1.3466612,0,0,-0.29425678,-0.88171637,-2.6583927,-3.8988799,-0.99350371,-0.83741138,0,0,-0.10546299,-0.7500542,-1.4615096,-1.8688105,-0.78363558,-0.80123676,0,0,0,0,-0.022550164,-0.40962603,-0.19069134,-0.50598214,0,0,0,0,0,0,0,-0.019448638,0,0,0,0,0,0,0,0
27,-9.4054745,0,-0.23905127,-0.59873138,-0.67460562,-1.1723703,-0.94952237,-1.3984559,0,0,-0.30557435,-0.91562854,-2.7606386,-4.0488368,-1.0317154,-0.86961951,0,0,-0.10951926,-0.77890244,-1.5177216,-1.9406878,-0.81377541,-0.83205356,0,0,0,0,-0.023417478,-0.42538088,-0.19802562,-0.525443,0,0,0,0,0,0,0,-0.020196663,0,0,0,0,0,0,0,0
28,-9.7538254,0,-0.24790502,-0.62090662,-0.69959101,-1.2157915,-0.98468987,-1.4502505,0,0,-0.31689192,-0.94954071,-2.8628844,-4.1987938,-1.0699271,-0.90182764,0,0,-0.11357553,-0.80775068,-1.5739335,-2.0125651,-0.84391524,-0.86287036,0,0,0,0,-0.024284792,-0.44113572,-0.2053599,-0.54490385,0,0,0,0,0,0,0,-0.020944688,0,0,0,0,0,0,0,0
29,-10.102176,0,-0.25675877,-0.64308185,-0.72457641,-1.2592126,-1.0198574,-1.5020452,0,0,-0.32820949,-0.98345288,-2.9651303,-4.3487507,-1.1081388,-0.93403577,0,0,-0.1176318,-0.83659892,-1.6301454,-2.0844424,-0.87405507,-0.89368716,0,0,0,0,-0.025152106,-0.45689057,-0.21269419,-0.5643647,0,0,0,0,0,0,0,-0.021692712,0,0,0,0,0,0,0,0
