Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa)
36,-75.032051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1808849,-20.677862,-23.700824,-9.3405782,0,0,0,0,0,0,0,-7.6271436,-37.959579,-70.302305,-24.673803,-2.3198927,0,0,0,0,0,0,-13.406845,-1.2002393,0,0,0,0,0,0,0,0,0
37,-74.941506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1746329,-20.652908,-23.672223,-9.3293063,0,0,0,0,0,0,0,-7.6179395,-37.913771,-70.217467,-24.644027,-2.3170931,0,0,0,0,0,0,-13.390666,-1.1987909,0,0,0,0,0,0,0,0,0
38,-74.85096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1683808,-20.627955,-23.643621,-9.3180345,0,0,0,0,0,0,0,-7.6087354,-37.867963,-70.132629,-24.614252,-2.3142936,0,0,0,0,0,0,-13.374487,-1.1973425,0,0,0,0,0,0,0,0,0
39,-74.760415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1621287,-20.603002,-23.61502,-9.3067627,0,0,0,0,0,0,0,-7.5995313,-37.822155,-70.047791,-24.584477,-2.311494,0,0,0,0,0,0,-13.358308,-1.1958941,0,0,0,0,0,0,0,0,0
40,-74.66987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1558767,-20.578049,-23.586419,-9.2954909,0,0,0,0,0,0,0,-7.5903272,-37.776347,-69.962953,-24.554702,-2.3086945,0,0,0,0,0,0,-13.342129,-1.1944457,0,0,0,0,0,0,0,0,0
41,-74.579324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1496246,-20.553096,-23.557818,-9.2842191,0,0,0,0,0,0,0,-7.5811231,-37.730539,-69.878116,-24.524926,-2.3058949,0,0,0,0,0,0,-13.32595,-1.1929973,0,0,0,0,0,0,0,0,0
42,-74.488779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1433725,-20.528143,-23.529217,-9.2729473,0,0,0,0,0,0,0,-7.571919,-37.684731,-69.793278,-24.495151,-2.3030954,0,0,0,0,0,0,-13.309772,-1.1915489,0,0,0,0,0,0,0,0,0
43,-74.398233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1371205,-20.50319,-23.500616,-9.2616755,0,0,0,0,0,0,0,-7.5627148,-37.638923,-69.70844,-24.465376,-2.3002958,0,0,0,0,0,0,-13.293593,-1.1901005,0,0,0,0,0,0,0,0,0
44,-74.307688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1308684,-20.478236,-23.472015,-9.2504037,0,0,0,0,0,0,0,-7.5535107,-37.593115,-69.623602,-24.4356,-2.2974963,0,0,0,0,0,0,-13.277414,-1.1886521,0,0,0,0,0,0,0,0,0
45,-74.217142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.1246163,-20.453283,-23.443413,-9.2391319,0,0,0,0,0,0,0,-7.5443066,-37.547307,-69.538764,-24.405825,-2.2946967,0,0,0,0,0,0,-13.261235,-1.1872037,0,0,0,0,0,0,0,0,0
