Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa)
32,-13.26929,0,0,0,0,0,-2.571269,-0.21024715,0,0,0,0,-22.72892,-4.0292861,0,0,-0.49968055,-4.0895959,-6.5483485,-1.3534683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,-13.280692,0,0,0,0,0,-2.5734786,-0.21042782,0,0,0,0,-22.748452,-4.0327486,0,0,-0.50010994,-4.0931103,-6.5539757,-1.3546314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-13.292095,0,0,0,0,0,-2.5756882,-0.21060849,0,0,0,0,-22.767984,-4.0362111,0,0,-0.50053933,-4.0966246,-6.5596029,-1.3557945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-13.303498,0,0,0,0,0,-2.5778978,-0.21078916,0,0,0,0,-22.787515,-4.0396736,0,0,-0.50096872,-4.1001389,-6.5652301,-1.3569576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-13.314901,0,0,0,0,0,-2.5801073,-0.21096984,0,0,0,0,-22.807047,-4.0431361,0,0,-0.50139812,-4.1036533,-6.5708574,-1.3581207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-13.326303,0,0,0,0,0,-2.5823169,-0.21115051,0,0,0,0,-22.826579,-4.0465986,0,0,-0.50182751,-4.1071676,-6.5764846,-1.3592838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-13.337706,0,0,0,0,0,-2.5845265,-0.21133118,0,0,0,0,-22.846111,-4.0500611,0,0,-0.5022569,-4.1106819,-6.5821118,-1.3604468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-13.349109,0,0,0,0,0,-2.5867361,-0.21151185,0,0,0,0,-22.865642,-4.0535236,0,0,-0.5026863,-4.1141963,-6.587739,-1.3616099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-13.360512,0,0,0,0,0,-2.5889457,-0.21169253,0,0,0,0,-22.885174,-4.0569861,0,0,-0.50311569,-4.1177106,-6.5933663,-1.362773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-13.371914,0,0,0,0,0,-2.5911552,-0.2118732,0,0,0,0,-22.904706,-4.0604486,0,0,-0.50354508,-4.1212249,-6.5989935,-1.3639361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-13.383317,0,0,0,0,0,-2.5933648,-0.21205387,0,0,0,0,-22.924238,-4.0639111,0,0,-0.50397447,-4.1247392,-6.6046207,-1.3650992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
