Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa)
97,-4.9692147,0,0,0,0,-1.8725831,-2.7738145,0,0,0,0,0
98,-4.9874589,0,0,0,0,-1.8794582,-2.7839984,0,0,0,0,0
99,-5.0057031,0,0,0,0,-1.8863333,-2.7941823,0,0,0,0,0
100,-5.0239473,0,0,0,0,-1.8932084,-2.8043662,0,0,0,0,0
101,-5.0421915,0,0,0,0,-1.9000835,-2.8145501,0,0,0,0,0
102,-5.0604357,0,0,0,0,-1.9069586,-2.824734,0,0,0,0,0
103,-5.0786799,0,0,0,0,-1.9138337,-2.834918,0,0,0,0,0
104,-5.0969241,0,0,0,0,-1.9207087,-2.8451019,0,0,0,0,0
105,-5.1151683,0,0,0,0,-1.9275838,-2.8552858,0,0,0,0,0
106,-5.1334125,0,0,0,0,-1.9344589,-2.8654697,0,0,0,0,0
107,-5.1516567,0,0,0,0,-1.941334,-2.8756536,0,0,0,0,0
108,-5.1699009,0,0,0,0,-1.9482091,-2.8858375,0,0,0,0,0
109,-5.1881451,0,0,0,0,-1.9550842,-2.8960214,0,0,0,0,0
110,-5.2063893,0,0,0,0,-1.9619593,-2.9062053,0,0,0,0,0
111,-5.2246335,0,0,0,0,-1.9688344,-2.9163892,0,0,0,0,0
112,-5.2428777,0,0,0,0,-1.9757094,-2.9265731,0,0,0,0,0
113,-5.2611219,0,0,0,0,-1.9825845,-2.9367571,0,0,0,0,0
114,-5.2793661,0,0,0,0,-1.9894596,-2.946941,0,0,0,0,0
115,-5.2976103,0,0,0,0,-1.9963347,-2.9571249,0,0,0,0,0
116,-5.3158545,0,0,0,0,-2.0032098,-2.9673088,0,0,0,0,0
117,-5.3340987,0,0,0,0,-2.0100849,-2.9774927,0,0,0,0,0
118,-5.3523429,0,0,0,0,-2.01696,-2.9876766,0,0,0,0,0
119,-5.3705871,0,0,0,0,-2.0238351,-2.9978605,0,0,0,0,0
120,-5.3888313,0,0,0,0,-2.0307102,-3.0080444,0,0,0,0,0
121,-5.4070756,0,0,0,0,-2.0375852,-3.0182283,0,0,0,0,0
122,-5.4253198,0,0,0,0,-2.0444603,-3.0284122,0,0,0,0,0
123,-5.443564,0,0,0,0,-2.0513354,-3.0385961,0,0,0,0,0
124,-5.4618082,0,0,0,0,-2.0582105,-3.0487801,0,0,0,0,0
125,-5.4800524,0,0,0,0,-2.0650856,-3.058964,0,0,0,0,0
126,-5.4982966,0,0,0,0,-2.0719607,-3.0691479,0,0,0,0,0
127,-5.5165408,0,0,0,0,-2.0788358,-3.0793318,0,0,0,0,0
128,-5.534785,0,0,0,0,-2.0857109,-3.0895157,0,0,0,0,0
129,-5.5530292,0,0,0,0,-2.0925859,-3.0996996,0,0,0,0,0
130,-5.5712734,0,0,0,0,-2.099461,-3.1098835,0,0,0,0,0
131,-5.5895176,0,0,0,0,-2.1063361,-3.1200674,0,0,0,0,0
132,-5.6077618,0,0,0,0,-2.1132112,-3.1302513,0,0,0,0,0
133,-5.626006,0,0,0,0,-2.1200863,-3.1404352,0,0,0,0,0
134,-5.6442502,0,0,0,0,-2.1269614,-3.1506192,0,0,0,0,0
135,-5.6624944,0,0,0,0,-2.1338365,-3.1608031,0,0,0,0,0
136,-5.6807386,0,0,0,0,-2.1407116,-3.170987,0,0,0,0,0
137,-5.6989828,0,0,0,0,-2.1475866,-3.1811709,0,0,0,0,0
138,-5.717227,0,0,0,0,-2.1544617,-3.1913548,0,0,0,0,0
139,-5.7354712,0,0,0,0,-2.1613368,-3.2015387,0,0,0,0,0
140,-5.7537154,0,0,0,0,-2.1682119,-3.2117226,0,0,0,0,0
141,-5.7719596,0,0,0,0,-2.175087,-3.2219065,0,0,0,0,0
142,-5.7852196,0,0,0,0,-2.1800838,-3.2293083,0,0,0,0,0
143,-5.7984794,0,0,0,0,-2.1850806,-3.2367099,0,0,0,0,0
144,-5.8117393,0,0,0,0,-2.1900774,-3.2441115,0,0,0,0,0
145,-5.8249991,0,0,0,0,-2.1950742,-3.2515131,0,0,0,0,0
146,-5.8382589,0,0,0,0,-2.200071,-3.2589148,0,0,0,0,0
147,-5.8515187,0,0,0,0,-2.2050678,-3.2663164,0,0,0,0,0
148,-5.8647786,0,0,0,0,-2.2100646,-3.273718,0,0,0,0,0
149,-5.8780384,0,0,0,0,-2.2150614,-3.2811197,0,0,0,0,0
150,-5.8912982,0,0,0,0,-2.2200582,-3.2885213,0,0,0,0,0
151,-5.9045581,0,0,0,0,-2.225055,-3.2959229,0,0,0,0,0
152,-5.9178179,0,0,0,0,-2.2300518,-3.3033246,0,0,0,0,0
153,-5.9310777,0,0,0,0,-2.2350486,-3.3107262,0,0,0,0,0
154,-5.9443375,0,0,0,0,-2.2400453,-3.3181278,0,0,0,0,0
155,-5.9575974,0,0,0,0,-2.2450421,-3.3255295,0,0,0,0,0
156,-5.9708572,0,0,0,0,-2.2500389,-3.3329311,0,0,0,0,0
157,-5.984117,0,0,0,0,-2.2550357,-3.3403327,0,0,0,0,0
158,-5.9973769,0,0,0,0,-2.2600325,-3.3477344,0,0,0,0,0
159,-6.0106367,0,0,0,0,-2.2650293,-3.355136,0,0,0,0,0
160,-6.0238965,0,0,0,0,-2.2700261,-3.3625376,0,0,0,0,0
