Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
237.04741,10.355925,25.222,-4.5101508
238.04761,10.576613,25.524597,-4.3713709
239.04781,10.797301,25.827196,-4.2325939
240.04801,11.017989,26.129798,-4.0938195
241.04821,11.238677,26.432403,-3.9550479
242.04841,11.459366,26.73501,-3.8162789
243.04861,11.680054,27.03762,-3.6775125
244.04881,11.900742,27.340232,-3.5387487
245.04901,12.12143,27.642848,-3.3999874
246.04921,12.342118,27.945465,-3.2612286
247.04941,12.562806,28.248085,-3.1224722
248.04961,12.783495,28.550708,-2.9837182
249.04981,13.004183,28.853332,-2.8449667
250.05001,13.224871,29.155959,-2.7062174
251.05021,13.445559,29.458589,-2.5674704
252.05041,13.666247,29.76122,-2.4287258
253.05061,13.886936,30.063854,-2.2899833
254.05081,14.107624,30.36649,-2.151243
255.05101,14.328312,30.669129,-2.0125049
256.05121,14.549,30.971769,-1.8737689
257.05141,14.769688,31.274412,-1.7350351
258.05161,14.990376,31.577056,-1.5963033
259.05181,15.211065,31.879703,-1.4575735
260.05201,15.431753,32.182351,-1.3188457
261.05221,15.652441,32.485002,-1.1801199
262.05241,15.873129,32.787654,-1.0413961
263.05261,16.093817,33.090309,-0.90267414
264.05281,16.314506,33.392965,-0.76395411
265.05301,16.535194,33.695623,-0.62523594
266.05321,16.755882,33.998283,-0.48651962
267.05341,16.97657,34.300945,-0.3478051
268.05361,17.197258,34.603609,-0.20909237
269.05381,17.417946,34.906274,-0.070381406
270.05401,17.638635,35.208941,0.068327824
271.05421,17.859323,35.51161,0.20703534
272.05441,18.080011,35.814281,0.34574117
273.05461,18.300699,36.116953,0.48444533
274.05481,18.521387,36.419627,0.62314785
275.05501,18.742076,36.722302,0.76184874
276.05521,18.962764,37.024979,0.90054804
277.05541,19.183452,37.327658,1.0392458
278.05561,19.40414,37.630338,1.1779419
279.05581,19.624828,37.93302,1.3166366
280.05601,19.845516,38.235703,1.4553297
281.05621,20.066205,38.538388,1.5940213
282.05641,20.286893,38.841074,1.7327115
283.05661,20.507581,39.143762,1.8714001
284.05681,20.728269,39.446451,2.0100874
285.05701,20.948957,39.749142,2.1487732
286.05721,21.169646,40.051833,2.2874577
287.05741,21.390334,40.354527,2.4261408
288.05761,21.611022,40.657221,2.5648225
289.05781,21.83171,40.959917,2.7035028
290.05801,22.052398,41.262615,2.8421818
291.05821,22.273086,41.565313,2.9808596
292.05841,22.493775,41.868013,3.119536
293.05861,22.721716,42.180778,3.2626545
294.05881,23.066327,42.655729,3.4769243
295.05901,23.410937,43.131274,3.6905998
296.05921,23.755548,43.607402,3.903693
297.05941,24.100158,44.084101,4.1162152
298.05961,24.444769,44.561359,4.3281778
299.05981,24.789379,45.039166,4.5395916
300.06001,25.133989,45.517511,4.7504676
301.06021,25.4786,45.996384,4.9608161
302.06041,25.82321,46.475773,5.1706475
303.06061,26.167821,46.95567,5.3799719
304.06081,26.512431,47.436064,5.588799
305.06101,26.857042,47.916945,5.7971385
306.06121,27.201652,48.398305,6.0049998
307.06141,27.546263,48.880133,6.2123921
308.06161,27.890873,49.362422,6.4193244
309.06181,28.24001,49.844282,6.6357374
310.06201,28.657976,50.312974,7.0029779
311.06221,29.075942,50.781678,7.3702065
312.06241,29.493908,51.250393,7.7374231
313.06261,29.911874,51.719121,8.1046278
314.06281,30.329841,52.187861,8.4718208
315.06301,30.747807,52.656612,8.8390022
316.06321,31.165773,53.125374,9.2061719
317.06341,31.583739,53.594149,9.5733301
318.06361,32.001706,54.062934,9.9404769
319.06381,32.419672,54.531731,10.307612
320.06401,32.837638,55.00054,10.674736
321.06421,33.255604,55.469359,11.041849
322.06441,33.67357,55.93819,11.408951
323.06461,34.091537,56.407031,11.776042
324.06481,34.509503,56.875884,12.143122
325.06501,34.927469,57.344748,12.510191
326.06521,35.345435,57.813622,12.877249
327.06541,35.763401,58.282507,13.244296
328.06561,36.181368,58.751403,13.611333
329.06581,36.599334,59.220309,13.978359
330.06601,37.0173,59.689226,14.345374
331.06621,37.435266,60.158154,14.712379
332.06641,37.853233,60.627091,15.079374
333.06661,38.271199,61.09604,15.446358
334.06681,38.689165,61.564998,15.813332
335.06701,39.107131,62.033966,16.180296
336.06721,39.525097,62.502945,16.54725
337.06741,39.943064,62.971934,16.914193
338.06761,40.36103,63.440933,17.281127
339.06781,40.778996,63.909941,17.648051
340.06801,41.196962,64.37896,18.014965
341.06821,41.614928,64.847988,18.381869
342.06841,42.032895,65.317026,18.748763
