Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa)
1665.9999,376.74272,0,0,0,0,0,0,38.560763,0,0,0,0,26.400135,134.52843,0,0,0,0,0,0
1666.9999,376.74014,0,0,0,0,0,0,38.560498,0,0,0,0,26.399953,134.52751,0,0,0,0,0,0
1667.9999,376.73755,0,0,0,0,0,0,38.560233,0,0,0,0,26.399772,134.52658,0,0,0,0,0,0
1668.9999,376.73496,0,0,0,0,0,0,38.559968,0,0,0,0,26.399591,134.52566,0,0,0,0,0,0
1669.9999,376.73238,0,0,0,0,0,0,38.559704,0,0,0,0,26.39941,134.52474,0,0,0,0,0,0
1670.9999,376.72979,0,0,0,0,0,0,38.559439,0,0,0,0,26.399228,134.52381,0,0,0,0,0,0
1671.9999,376.7272,0,0,0,0,0,0,38.559174,0,0,0,0,26.399047,134.52289,0,0,0,0,0,0
1672.9999,376.72462,0,0,0,0,0,0,38.55891,0,0,0,0,26.398866,134.52197,0,0,0,0,0,0
1673.9999,376.72203,0,0,0,0,0,0,38.558645,0,0,0,0,26.398685,134.52104,0,0,0,0,0,0
1674.9999,376.71944,0,0,0,0,0,0,38.55838,0,0,0,0,26.398503,134.52012,0,0,0,0,0,0
1675.9999,376.71686,0,0,0,0,0,0,38.558115,0,0,0,0,26.398322,134.51919,0,0,0,0,0,0
1676.9999,376.71427,0,0,0,0,0,0,38.557851,0,0,0,0,26.398141,134.51827,0,0,0,0,0,0
1677.9999,376.71168,0,0,0,0,0,0,38.557586,0,0,0,0,26.39796,134.51735,0,0,0,0,0,0
1678.9999,376.7091,0,0,0,0,0,0,38.557321,0,0,0,0,26.397778,134.51642,0,0,0,0,0,0
1679.9999,376.70651,0,0,0,0,0,0,38.557056,0,0,0,0,26.397597,134.5155,0,0,0,0,0,0
1680.9999,376.70393,0,0,0,0,0,0,38.556792,0,0,0,0,26.397416,134.51458,0,0,0,0,0,0
1681.9999,376.70134,0,0,0,0,0,0,38.556527,0,0,0,0,26.397235,134.51365,0,0,0,0,0,0
1682.9999,376.69875,0,0,0,0,0,0,38.556262,0,0,0,0,26.397053,134.51273,0,0,0,0,0,0
1683.9999,376.69617,0,0,0,0,0,0,38.555998,0,0,0,0,26.396872,134.51181,0,0,0,0,0,0
1684.9999,376.69358,0,0,0,0,0,0,38.555733,0,0,0,0,26.396691,134.51088,0,0,0,0,0,0
1685.9999,376.69099,0,0,0,0,0,0,38.555468,0,0,0,0,26.39651,134.50996,0,0,0,0,0,0
1686.9999,376.68841,0,0,0,0,0,0,38.555203,0,0,0,0,26.396328,134.50904,0,0,0,0,0,0
1687.9999,376.68582,0,0,0,0,0,0,38.554939,0,0,0,0,26.396147,134.50811,0,0,0,0,0,0
1688.9999,376.68323,0,0,0,0,0,0,38.554674,0,0,0,0,26.395966,134.50719,0,0,0,0,0,0
1689.9999,376.68065,0,0,0,0,0,0,38.554409,0,0,0,0,26.395785,134.50626,0,0,0,0,0,0
1690.9999,376.67806,0,0,0,0,0,0,38.554144,0,0,0,0,26.395603,134.50534,0,0,0,0,0,0
1691.9999,376.67547,0,0,0,0,0,0,38.55388,0,0,0,0,26.395422,134.50442,0,0,0,0,0,0
1692.9999,376.67289,0,0,0,0,0,0,38.553615,0,0,0,0,26.395241,134.50349,0,0,0,0,0,0
1693.9999,376.6703,0,0,0,0,0,0,38.55335,0,0,0,0,26.39506,134.50257,0,0,0,0,0,0
1694.9999,376.66771,0,0,0,0,0,0,38.553085,0,0,0,0,26.394879,134.50165,0,0,0,0,0,0
1695.9999,376.66513,0,0,0,0,0,0,38.552821,0,0,0,0,26.394697,134.50072,0,0,0,0,0,0
1696.9999,376.66254,0,0,0,0,0,0,38.552556,0,0,0,0,26.394516,134.4998,0,0,0,0,0,0
