Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa)
20,-1.6754386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012119784,-0.00014735149,0,0,0,0,0,0,0,0,0,-0.093778488,-0.19054567,-0.49753327,-0.41422531,-0.099355749,0,0,0,0,0,0,-0.014935084,-0.18376163,-0.70858257,-1.5161117,-1.0662903,-0.27814015,0,0,0,0,0,0,0,-0.003404025,-0.10981839,-0.29463053,-0.58436529,-0.42712291,-0.094086806,0,0,0,0,0,0,0,0,0,-0.0090665193,-0.02157806,-0.00014233636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-1.6328451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011811672,-0.00014360548,0,0,0,0,0,0,0,0,0,-0.091394426,-0.18570156,-0.48488485,-0.40369476,-0.0968299,0,0,0,0,0,0,-0.0145554,-0.17908999,-0.69056879,-1.4775687,-1.0391828,-0.2710692,0,0,0,0,0,0,0,-0.003317487,-0.10702656,-0.28714035,-0.5695094,-0.41626448,-0.091694905,0,0,0,0,0,0,0,0,0,-0.0088360277,-0.021029497,-0.00013871784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-1.5902517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011503559,-0.00013985947,0,0,0,0,0,0,0,0,0,-0.089010363,-0.18085746,-0.47223642,-0.39316421,-0.09430405,0,0,0,0,0,0,-0.014175717,-0.17441835,-0.67255501,-1.4390257,-1.0120753,-0.26399824,0,0,0,0,0,0,0,-0.0032309489,-0.10423472,-0.27965017,-0.5546535,-0.40540604,-0.089303005,0,0,0,0,0,0,0,0,0,-0.0086055362,-0.020480933,-0.00013509933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,-1.5476582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0011195447,-0.00013611346,0,0,0,0,0,0,0,0,0,-0.086626301,-0.17601335,-0.45958799,-0.38263366,-0.091778201,0,0,0,0,0,0,-0.013796033,-0.16974671,-0.65454123,-1.4004827,-0.98496775,-0.25692729,0,0,0,0,0,0,0,-0.0031444109,-0.10144289,-0.27215999,-0.53979761,-0.3945476,-0.086911104,0,0,0,0,0,0,0,0,0,-0.0083750446,-0.01993237,-0.00013148081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,-1.5050647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010887334,-0.00013236744,0,0,0,0,0,0,0,0,0,-0.084242238,-0.17116925,-0.44693956,-0.37210311,-0.089252352,0,0,0,0,0,0,-0.013416349,-0.16507507,-0.63652745,-1.3619396,-0.95786022,-0.24985633,0,0,0,0,0,0,0,-0.0030578728,-0.098651057,-0.26466981,-0.52494171,-0.38368917,-0.084519203,0,0,0,0,0,0,0,0,0,-0.0081445531,-0.019383807,-0.0001278623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,-1.4624713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010579222,-0.00012862143,0,0,0,0,0,0,0,0,0,-0.081858175,-0.16632515,-0.43429113,-0.36157256,-0.086726503,0,0,0,0,0,0,-0.013036665,-0.16040344,-0.61851366,-1.3233966,-0.9307527,-0.24278538,0,0,0,0,0,0,0,-0.0029713347,-0.095859224,-0.25717963,-0.51008581,-0.37283073,-0.082127302,0,0,0,0,0,0,0,0,0,-0.0079140615,-0.018835243,-0.00012424379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,-1.4198778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0010271109,-0.00012487542,0,0,0,0,0,0,0,0,0,-0.079474113,-0.16148104,-0.4216427,-0.35104201,-0.084200653,0,0,0,0,0,0,-0.012656981,-0.1557318,-0.60049988,-1.2848536,-0.90364517,-0.23571442,0,0,0,0,0,0,0,-0.0028847967,-0.09306739,-0.24968945,-0.49522992,-0.36197229,-0.079735402,0,0,0,0,0,0,0,0,0,-0.00768357,-0.01828668,-0.00012062527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,-1.3772843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00099629969,-0.00012112941,0,0,0,0,0,0,0,0,0,-0.07709005,-0.15663694,-0.40899428,-0.34051146,-0.081674804,0,0,0,0,0,0,-0.012277297,-0.15106016,-0.5824861,-1.2463106,-0.87653764,-0.22864346,0,0,0,0,0,0,0,-0.0027982586,-0.090275557,-0.24219928,-0.48037402,-0.35111386,-0.077343501,0,0,0,0,0,0,0,0,0,-0.0074530784,-0.017738116,-0.00011700676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-1.3346909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00096548844,-0.0001173834,0,0,0,0,0,0,0,0,0,-0.074705988,-0.15179283,-0.39634585,-0.32998091,-0.079148955,0,0,0,0,0,0,-0.011897614,-0.14638852,-0.56447232,-1.2077676,-0.84943012,-0.22157251,0,0,0,0,0,0,0,-0.0027117205,-0.087483723,-0.2347091,-0.46551813,-0.34025542,-0.0749516,0,0,0,0,0,0,0,0,0,-0.0072225869,-0.017189553,-0.00011338824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-1.2920974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00093467719,-0.00011363739,0,0,0,0,0,0,0,0,0,-0.072321925,-0.14694873,-0.38369742,-0.31945036,-0.076623106,0,0,0,0,0,0,-0.01151793,-0.14171688,-0.54645854,-1.1692246,-0.82232259,-0.21450155,0,0,0,0,0,0,0,-0.0026251825,-0.08469189,-0.22721892,-0.45066223,-0.32939698,-0.0725597,0,0,0,0,0,0,0,0,0,-0.0069920953,-0.01664099,-0.00010976973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
