Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa)
107,22.804747,0,0,0,1.0215021,0,0,1.3716595,7.1762756,0,0,0,0,0,0,0,0
108,22.975976,0,0,0,1.029172,0,0,1.3819586,7.2301586,0,0,0,0,0,0,0,0
109,23.147205,0,0,0,1.0368419,0,0,1.3922577,7.2840416,0,0,0,0,0,0,0,0
110,23.318434,0,0,0,1.0445119,0,0,1.4025568,7.3379246,0,0,0,0,0,0,0,0
111,23.489664,0,0,0,1.0521818,0,0,1.4128559,7.3918076,0,0,0,0,0,0,0,0
112,23.660893,0,0,0,1.0598518,0,0,1.423155,7.4456906,0,0,0,0,0,0,0,0
113,23.832122,0,0,0,1.0675217,0,0,1.4334541,7.4995736,0,0,0,0,0,0,0,0
114,24.003351,0,0,0,1.0751916,0,0,1.4437531,7.5534566,0,0,0,0,0,0,0,0
115,24.17458,0,0,0,1.0828616,0,0,1.4540522,7.6073396,0,0,0,0,0,0,0,0
116,24.34581,0,0,0,1.0905315,0,0,1.4643513,7.6612226,0,0,0,0,0,0,0,0
117,24.517039,0,0,0,1.0982014,0,0,1.4746504,7.7151056,0,0,0,0,0,0,0,0
118,24.688268,0,0,0,1.1058714,0,0,1.4849495,7.7689885,0,0,0,0,0,0,0,0
119,24.859497,0,0,0,1.1135413,0,0,1.4952486,7.8228715,0,0,0,0,0,0,0,0
120,25.030726,0,0,0,1.1212113,0,0,1.5055477,7.8767545,0,0,0,0,0,0,0,0
121,25.201956,0,0,0,1.1288812,0,0,1.5158468,7.9306375,0,0,0,0,0,0,0,0
122,25.373185,0,0,0,1.1365511,0,0,1.5261459,7.9845205,0,0,0,0,0,0,0,0
123,25.544414,0,0,0,1.1442211,0,0,1.536445,8.0384035,0,0,0,0,0,0,0,0
124,25.715643,0,0,0,1.151891,0,0,1.5467441,8.0922865,0,0,0,0,0,0,0,0
125,25.886873,0,0,0,1.159561,0,0,1.5570431,8.1461695,0,0,0,0,0,0,0,0
126,26.058102,0,0,0,1.1672309,0,0,1.5673422,8.2000525,0,0,0,0,0,0,0,0
127,26.229331,0,0,0,1.1749008,0,0,1.5776413,8.2539355,0,0,0,0,0,0,0,0
128,26.40056,0,0,0,1.1825708,0,0,1.5879404,8.3078185,0,0,0,0,0,0,0,0
129,26.571789,0,0,0,1.1902407,0,0,1.5982395,8.3617015,0,0,0,0,0,0,0,0
130,26.743019,0,0,0,1.1979106,0,0,1.6085386,8.4155845,0,0,0,0,0,0,0,0
131,26.914248,0,0,0,1.2055806,0,0,1.6188377,8.4694674,0,0,0,0,0,0,0,0
132,27.085477,0,0,0,1.2132505,0,0,1.6291368,8.5233504,0,0,0,0,0,0,0,0
133,27.256706,0,0,0,1.2209205,0,0,1.6394359,8.5772334,0,0,0,0,0,0,0,0
134,27.427935,0,0,0,1.2285904,0,0,1.649735,8.6311164,0,0,0,0,0,0,0,0
135,27.599165,0,0,0,1.2362603,0,0,1.6600341,8.6849994,0,0,0,0,0,0,0,0
136,27.770394,0,0,0,1.2439303,0,0,1.6703332,8.7388824,0,0,0,0,0,0,0,0
137,27.941623,0,0,0,1.2516002,0,0,1.6806322,8.7927654,0,0,0,0,0,0,0,0
138,28.112852,0,0,0,1.2592701,0,0,1.6909313,8.8466484,0,0,0,0,0,0,0,0
139,28.284081,0,0,0,1.2669401,0,0,1.7012304,8.9005314,0,0,0,0,0,0,0,0
140,28.455311,0,0,0,1.27461,0,0,1.7115295,8.9544144,0,0,0,0,0,0,0,0
141,28.62654,0,0,0,1.28228,0,0,1.7218286,9.0082974,0,0,0,0,0,0,0,0
142,28.797769,0,0,0,1.2899499,0,0,1.7321277,9.0621804,0,0,0,0,0,0,0,0
143,28.968998,0,0,0,1.2976198,0,0,1.7424268,9.1160634,0,0,0,0,0,0,0,0
144,29.140227,0,0,0,1.3052898,0,0,1.7527259,9.1699463,0,0,0,0,0,0,0,0
145,29.311457,0,0,0,1.3129597,0,0,1.763025,9.2238293,0,0,0,0,0,0,0,0
146,29.482686,0,0,0,1.3206296,0,0,1.7733241,9.2777123,0,0,0,0,0,0,0,0
147,29.653915,0,0,0,1.3282996,0,0,1.7836232,9.3315953,0,0,0,0,0,0,0,0
148,29.825144,0,0,0,1.3359695,0,0,1.7939222,9.3854783,0,0,0,0,0,0,0,0
149,29.996373,0,0,0,1.3436395,0,0,1.8042213,9.4393613,0,0,0,0,0,0,0,0
150,30.167603,0,0,0,1.3513094,0,0,1.8145204,9.4932443,0,0,0,0,0,0,0,0
151,30.338832,0,0,0,1.3589793,0,0,1.8248195,9.5471273,0,0,0,0,0,0,0,0
152,30.510061,0,0,0,1.3666493,0,0,1.8351186,9.6010103,0,0,0,0,0,0,0,0
153,30.68129,0,0,0,1.3743192,0,0,1.8454177,9.6548933,0,0,0,0,0,0,0,0
154,30.85252,0,0,0,1.3819891,0,0,1.8557168,9.7087763,0,0,0,0,0,0,0,0
155,31.023749,0,0,0,1.3896591,0,0,1.8660159,9.7626593,0,0,0,0,0,0,0,0
156,31.194978,0,0,0,1.397329,0,0,1.876315,9.8165423,0,0,0,0,0,0,0,0
157,31.489545,0,0,0,1.4105237,0,0,1.8940326,9.9092376,0,0,0,0,0,0,0,0
158,31.784129,0,0,0,1.4237191,0,0,1.9117512,10.001938,0,0,0,0,0,0,0,0
159,32.078713,0,0,0,1.4369145,0,0,1.9294699,10.094639,0,0,0,0,0,0,0,0
160,32.373297,0,0,0,1.45011,0,0,1.9471885,10.18734,0,0,0,0,0,0,0,0
161,32.667881,0,0,0,1.4633054,0,0,1.9649072,10.280041,0,0,0,0,0,0,0,0
162,32.962465,0,0,0,1.4765008,0,0,1.9826258,10.372741,0,0,0,0,0,0,0,0
163,33.25705,0,0,0,1.4896962,0,0,2.0003444,10.465442,0,0,0,0,0,0,0,0
164,33.551634,0,0,0,1.5028916,0,0,2.0180631,10.558143,0,0,0,0,0,0,0,0
165,33.846218,0,0,0,1.5160871,0,0,2.0357817,10.650843,0,0,0,0,0,0,0,0
166,34.140802,0,0,0,1.5292825,0,0,2.0535003,10.743544,0,0,0,0,0,0,0,0
167,34.435386,0,0,0,1.5424779,0,0,2.071219,10.836245,0,0,0,0,0,0,0,0
168,34.72997,0,0,0,1.5556733,0,0,2.0889376,10.928946,0,0,0,0,0,0,0,0
