Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa)
10,-0.98418188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.053616978,-0.11079477,-0.050974964,-0.011294962,0,0,0,0,0,0,0,-0.20593876,-0.63616983,-0.56405542,-0.079284648,-0.016487758,0,0,0,0,0,0,-0.22000069,-0.60740021,-0.46846115,-0.066764848,-0.012709834,0,0,0,0,0,0,0,-0.036550772,-0.090065091,-0.043656965,-0.013063244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-0.90231225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.049156825,-0.10157825,-0.046734588,-0.010355385,0,0,0,0,0,0,0,-0.18880765,-0.58324975,-0.5171342,-0.072689318,-0.015116216,0,0,0,0,0,0,-0.20169983,-0.55687334,-0.42949199,-0.061210983,-0.01165256,0,0,0,0,0,0,0,-0.033510279,-0.082572985,-0.04002534,-0.011976572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,-0.82044262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044696671,-0.092361737,-0.042494212,-0.0094158085,0,0,0,0,0,0,0,-0.17167654,-0.53032966,-0.47021299,-0.066093987,-0.013744674,0,0,0,0,0,0,-0.18339897,-0.50634647,-0.39052283,-0.055657118,-0.010595287,0,0,0,0,0,0,0,-0.030469786,-0.075080878,-0.036393715,-0.0108899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,-0.73857299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.040236518,-0.083145223,-0.038253836,-0.0084762319,0,0,0,0,0,0,0,-0.15454542,-0.47740958,-0.42329178,-0.059498657,-0.012373132,0,0,0,0,0,0,-0.16509811,-0.4558196,-0.35155367,-0.050103253,-0.0095380132,0,0,0,0,0,0,0,-0.027429293,-0.067588771,-0.03276209,-0.0098032281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.65670336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.035776364,-0.073928708,-0.034013459,-0.0075366552,0,0,0,0,0,0,0,-0.13741431,-0.42448949,-0.37637056,-0.052903326,-0.01100159,0,0,0,0,0,0,-0.14679725,-0.40529273,-0.31258451,-0.044549388,-0.0084807398,0,0,0,0,0,0,0,-0.0243888,-0.060096664,-0.029130465,-0.008716556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-0.57483373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031316211,-0.064712194,-0.029773083,-0.0065970785,0,0,0,0,0,0,0,-0.1202832,-0.37156941,-0.32944935,-0.046307996,-0.0096300486,0,0,0,0,0,0,-0.12849639,-0.35476586,-0.27361535,-0.038995522,-0.0074234663,0,0,0,0,0,0,0,-0.021348306,-0.052604558,-0.02549884,-0.0076298839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-0.4929641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026856058,-0.055495679,-0.025532707,-0.0056575018,0,0,0,0,0,0,0,-0.10315209,-0.31864932,-0.28252813,-0.039712665,-0.0082585068,0,0,0,0,0,0,-0.11019553,-0.30423899,-0.23464619,-0.033441657,-0.0063661929,0,0,0,0,0,0,0,-0.018307813,-0.045112451,-0.021867215,-0.0065432118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,-0.41109447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022395904,-0.046279165,-0.021292331,-0.0047179251,0,0,0,0,0,0,0,-0.086020976,-0.26572924,-0.23560692,-0.033117335,-0.0068869649,0,0,0,0,0,0,-0.091894667,-0.25371211,-0.19567703,-0.027887792,-0.0053089194,0,0,0,0,0,0,0,-0.01526732,-0.037620344,-0.01823559,-0.0054565397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-0.32922484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017935751,-0.037062651,-0.017051954,-0.0037783484,0,0,0,0,0,0,0,-0.068889864,-0.21280915,-0.18868571,-0.026522004,-0.0055154231,0,0,0,0,0,0,-0.073593807,-0.20318524,-0.15670787,-0.022333927,-0.004251646,0,0,0,0,0,0,0,-0.012226827,-0.030128237,-0.014603965,-0.0043698677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,-0.24735521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.013475598,-0.027846136,-0.012811578,-0.0028387717,0,0,0,0,0,0,0,-0.051758752,-0.15988907,-0.14176449,-0.019926673,-0.0041438812,0,0,0,0,0,0,-0.055292947,-0.15265837,-0.11773871,-0.016780062,-0.0031943725,0,0,0,0,0,0,0,-0.0091863343,-0.022636131,-0.010972339,-0.0032831956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-0.16548558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0090154441,-0.018629622,-0.0085712019,-0.001899195,0,0,0,0,0,0,0,-0.03462764,-0.10696898,-0.09484328,-0.013331343,-0.0027723394,0,0,0,0,0,0,-0.036992087,-0.1021315,-0.078769551,-0.011226197,-0.0021370991,0,0,0,0,0,0,0,-0.0061458413,-0.015144024,-0.0073407145,-0.0021965235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,-0.08361595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0045552907,-0.0094131073,-0.0043308256,-0.00095961833,0,0,0,0,0,0,0,-0.017496527,-0.054048897,-0.047922067,-0.0067360123,-0.0014007975,0,0,0,0,0,0,-0.018691227,-0.051604634,-0.039800391,-0.0056723318,-0.0010798256,0,0,0,0,0,0,0,-0.0031053483,-0.0076519172,-0.0037090894,-0.0011098514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,-0.0017463205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.5137321e-05,-0.0001965929,-9.0449364e-05,-2.0041645e-05,0,0,0,0,0,0,0,-0.00036541526,-0.0011288121,-0.0010008531,-0.00014068173,-2.9255679e-05,0,0,0,0,0,0,-0.00039036657,-0.0010777636,-0.00083123182,-0.00011846674,-2.2552176e-05,0,0,0,0,0,0,0,-6.485525e-05,-0.00015981041,-7.7464393e-05,-2.3179264e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.080123309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0043650161,0.0090199215,0.0041499269,0.00091953504,0,0,0,0,0,0,0,0.016765697,0.051791273,0.04592036,0.0064546488,0.0013422862,0,0,0,0,0,0,0.017910494,0.049449107,0.038137928,0.0054353984,0.0010347213,0,0,0,0,0,0,0,0.0029756378,0.0073322963,0.0035541606,0.0010634928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0.16199294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088251695,0.018236436,0.0083903031,0.0018591117,0,0,0,0,0,0,0,0.033896809,0.10471136,0.092841574,0.013049979,0.002713828,0,0,0,0,0,0,0.036211354,0.099975977,0.077107087,0.010989263,0.0020919947,0,0,0,0,0,0,0,0.0060161308,0.014824403,0.0071857857,0.0021501649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0.24386257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013285323,0.02745295,0.012630679,0.0027986884,0,0,0,0,0,0,0,0.051027921,0.15763144,0.13976279,0.01964531,0.0040853699,0,0,0,0,0,0,0.054512214,0.15050285,0.11607625,0.016543129,0.0031492682,0,0,0,0,0,0,0,0.0090566239,0.02231651,0.010817411,0.003236837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.3257322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017745476,0.036669465,0.016871056,0.0037382651,0,0,0,0,0,0,0,0.068159033,0.21055153,0.186684,0.026240641,0.0054569117,0,0,0,0,0,0,0.072813074,0.20102972,0.15504541,0.022096994,0.0042065416,0,0,0,0,0,0,0,0.012097117,0.029808617,0.014449036,0.0043235091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0.40760183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02220563,0.045885979,0.021111432,0.0046778418,0,0,0,0,0,0,0,0.085290146,0.26347161,0.23360522,0.032835971,0.0068284536,0,0,0,0,0,0,0.091113934,0.25155659,0.19401457,0.027650859,0.0052638151,0,0,0,0,0,0,0,0.01513761,0.037300723,0.018080661,0.0054101812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.48947146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026665783,0.055102494,0.025351808,0.0056174185,0,0,0,0,0,0,0,0.10242126,0.3163917,0.28052643,0.039431302,0.0081999954,0,0,0,0,0,0,0.10941479,0.30208346,0.23298373,0.033204724,0.0063210885,0,0,0,0,0,0,0,0.018178103,0.04479283,0.021712286,0.0064968533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.57134109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031125936,0.064319008,0.029592184,0.0065569952,0,0,0,0,0,0,0,0.11955237,0.36931178,0.32744764,0.046026632,0.0095715373,0,0,0,0,0,0,0.12771565,0.35261033,0.27195288,0.038758589,0.007378362,0,0,0,0,0,0,0,0.021218596,0.052284937,0.025343911,0.0075835254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.65321072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03558609,0.073535522,0.033832561,0.0074965719,0,0,0,0,0,0,0,0.13668348,0.42223187,0.37436886,0.052621963,0.010943079,0,0,0,0,0,0,0.14601651,0.4031372,0.31092204,0.044312454,0.0084356354,0,0,0,0,0,0,0,0.024259089,0.059777043,0.028975536,0.0086701975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.73508035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040046243,0.082752037,0.038072937,0.0084361486,0,0,0,0,0,0,0,0.15381459,0.47515195,0.42129007,0.059217293,0.012314621,0,0,0,0,0,0,0.16431737,0.45366407,0.3498912,0.049866319,0.0094929089,0,0,0,0,0,0,0,0.027299582,0.06726915,0.032607161,0.0097568696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.81694998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.044506397,0.091968551,0.042313313,0.0093757253,0,0,0,0,0,0,0,0.17094571,0.52807204,0.46821128,0.065812624,0.013686163,0,0,0,0,0,0,0.18261823,0.50419094,0.38886036,0.055420184,0.010550182,0,0,0,0,0,0,0,0.030340075,0.074761257,0.036238786,0.010843542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.89881961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04896655,0.10118507,0.046553689,0.010315302,0,0,0,0,0,0,0,0.18807682,0.58099212,0.5151325,0.072407954,0.015057705,0,0,0,0,0,0,0.20091909,0.55471781,0.42782952,0.060974049,0.011607456,0,0,0,0,0,0,0,0.033380568,0.082253364,0.039870411,0.011930214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.98068924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053426703,0.11040158,0.050794066,0.011254879,0,0,0,0,0,0,0,0.20520793,0.63391221,0.56205371,0.079003285,0.016429247,0,0,0,0,0,0,0.21921995,0.60524468,0.46679868,0.066527914,0.012664729,0,0,0,0,0,0,0,0.036421061,0.08974547,0.043502036,0.013016886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,1.0625589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057886857,0.11961809,0.055034442,0.012194455,0,0,0,0,0,0,0,0.22233904,0.68683229,0.60897492,0.085598616,0.017800788,0,0,0,0,0,0,0.23752081,0.65577155,0.50576784,0.072081779,0.013722003,0,0,0,0,0,0,0,0.039461554,0.097237577,0.047133661,0.014103558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,1.1444285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06234701,0.12883461,0.059274818,0.013134032,0,0,0,0,0,0,0,0.23947016,0.73975238,0.65589614,0.092193946,0.01917233,0,0,0,0,0,0,0.25582167,0.70629842,0.544737,0.077635645,0.014779276,0,0,0,0,0,0,0,0.042502047,0.10472968,0.050765286,0.01519023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1.2262981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066807164,0.13805112,0.063515194,0.014073609,0,0,0,0,0,0,0,0.25660127,0.79267246,0.70281735,0.098789277,0.020543872,0,0,0,0,0,0,0.27412253,0.75682529,0.58370616,0.08318951,0.01583655,0,0,0,0,0,0,0,0.04554254,0.11222179,0.054396911,0.016276902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.3081678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.071267317,0.14726764,0.067755571,0.015013185,0,0,0,0,0,0,0,0.27373238,0.84559255,0.74973857,0.10538461,0.021915414,0,0,0,0,0,0,0.29242339,0.80735216,0.62267532,0.088743375,0.016893823,0,0,0,0,0,0,0,0.048583033,0.1197139,0.058028536,0.017363574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1.3900374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07572747,0.15648415,0.071995947,0.015952762,0,0,0,0,0,0,0,0.29086349,0.89851263,0.79665978,0.11197994,0.023286956,0,0,0,0,0,0,0.31072426,0.85787903,0.66164448,0.09429724,0.017951096,0,0,0,0,0,0,0,0.051623526,0.127206,0.061660161,0.018450246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.471907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080187624,0.16570067,0.076236323,0.016892339,0,0,0,0,0,0,0,0.3079946,0.95143272,0.84358099,0.11857527,0.024658498,0,0,0,0,0,0,0.32902512,0.9084059,0.70061364,0.099851105,0.01900837,0,0,0,0,0,0,0,0.054664019,0.13469811,0.065291786,0.019536918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
