Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa)
20,-1.1234211,-0.11785078,-0.12517035,-0.11184009,-0.091935405,-0.10889697,-0.10846879,-0.085333995,-0.11628955,-0.087304062,-0.073583393,-0.47789494,-0.41838459,-0.041787747,-0.081594671,-0.098422864,-0.054420418,-0.18036286,-0.82834786,-0.80372279,-0.031320947,-0.076294342,-0.10539015,-0.086881732,-0.053346862,-0.075848211,-0.061192729,-0.093365646,-0.071170333,-0.099587276,-0.10873509,-0.13883215,-0.16293064,-0.13782167,-0.089550325,-0.060211321,-0.096587602,-0.10448153,-0.12729125,-0.12544701,-0.10199589,-0.07726366,-0.049296531
21,-1.1795922,-0.12374332,-0.13142887,-0.11743209,-0.096532175,-0.11434182,-0.11389223,-0.089600695,-0.12210402,-0.091669265,-0.077262562,-0.50178969,-0.43930382,-0.043877134,-0.085674405,-0.10334401,-0.057141439,-0.18938101,-0.86976525,-0.84390893,-0.032886995,-0.080109059,-0.11065966,-0.091225819,-0.056014205,-0.079640622,-0.064252366,-0.098033929,-0.074728849,-0.10456664,-0.11417185,-0.14577375,-0.17107717,-0.14471276,-0.094027841,-0.063221887,-0.10141698,-0.1097056,-0.13365582,-0.13171936,-0.10709569,-0.081126843,-0.051761357
22,-1.2357633,-0.12963586,-0.13768738,-0.12302409,-0.10112895,-0.11978667,-0.11931567,-0.093867394,-0.1279185,-0.096034468,-0.080941732,-0.52568443,-0.46022305,-0.045966522,-0.089754139,-0.10826515,-0.05986246,-0.19839915,-0.91118265,-0.88409507,-0.034453042,-0.083923776,-0.11592917,-0.095569905,-0.058681548,-0.083433032,-0.067312002,-0.10270221,-0.078287366,-0.109546,-0.1196086,-0.15271536,-0.1792237,-0.15160384,-0.098505357,-0.066232453,-0.10624636,-0.11492968,-0.14002038,-0.13799171,-0.11219548,-0.084990026,-0.054226184
23,-1.2919343,-0.13552839,-0.1439459,-0.1286161,-0.10572572,-0.12523151,-0.12473911,-0.098134094,-0.13373298,-0.10039967,-0.084620902,-0.54957918,-0.48114228,-0.048055909,-0.093833872,-0.11318629,-0.062583481,-0.20741729,-0.95260004,-0.92428121,-0.03601909,-0.087738493,-0.12119868,-0.099913992,-0.061348891,-0.087225443,-0.070371638,-0.10737049,-0.081845883,-0.11452537,-0.12504536,-0.15965697,-0.18737024,-0.15849492,-0.10298287,-0.069243019,-0.11107574,-0.12015376,-0.14638494,-0.14426406,-0.11729527,-0.088853209,-0.05669101
24,-1.3481054,-0.14142093,-0.15020442,-0.1342081,-0.11032249,-0.13067636,-0.13016255,-0.10240079,-0.13954745,-0.10476487,-0.088300071,-0.57347393,-0.50206151,-0.050145296,-0.097913606,-0.11810744,-0.065304501,-0.21643543,-0.99401743,-0.96446735,-0.037585137,-0.09155321,-0.12646818,-0.10425808,-0.064016234,-0.091017854,-0.073431275,-0.11203878,-0.085404399,-0.11950473,-0.13048211,-0.16659858,-0.19551677,-0.16538601,-0.10746039,-0.072253585,-0.11590512,-0.12537783,-0.15274951,-0.15053641,-0.12239507,-0.092716392,-0.059155837
25,-1.4042764,-0.14731347,-0.15646294,-0.13980011,-0.11491926,-0.13612121,-0.13558599,-0.10666749,-0.14536193,-0.10913008,-0.091979241,-0.59736867,-0.52298074,-0.052234684,-0.10199334,-0.12302858,-0.068025522,-0.22545358,-1.0354348,-1.0046535,-0.039151184,-0.095367928,-0.13173769,-0.10860217,-0.066683578,-0.094810264,-0.076490911,-0.11670706,-0.088962916,-0.1244841,-0.13591887,-0.17354018,-0.2036633,-0.17227709,-0.11193791,-0.075264151,-0.1207345,-0.13060191,-0.15911407,-0.15680876,-0.12749486,-0.096579575,-0.061620664
26,-1.4604475,-0.15320601,-0.16272145,-0.14539211,-0.11951603,-0.14156606,-0.14100943,-0.11093419,-0.15117641,-0.11349528,-0.095658411,-0.62126342,-0.54389997,-0.054324071,-0.10607307,-0.12794972,-0.070746543,-0.23447172,-1.0768522,-1.0448396,-0.040717232,-0.099182645,-0.1370072,-0.11294625,-0.069350921,-0.098602675,-0.079550548,-0.12137534,-0.092521433,-0.12946346,-0.14135562,-0.18048179,-0.21180983,-0.17916818,-0.11641542,-0.078274717,-0.12556388,-0.13582598,-0.16547863,-0.16308111,-0.13259466,-0.10044276,-0.06408549
27,-1.5166185,-0.15909855,-0.16897997,-0.15098412,-0.1241128,-0.14701091,-0.14643287,-0.11520089,-0.15699089,-0.11786048,-0.09933758,-0.64515817,-0.5648192,-0.056413458,-0.11015281,-0.13287087,-0.073467564,-0.24348986,-1.1182696,-1.0850258,-0.042283279,-0.10299736,-0.14227671,-0.11729034,-0.072018264,-0.10239509,-0.082610184,-0.12604362,-0.096079949,-0.13444282,-0.14679238,-0.1874234,-0.21995636,-0.18605926,-0.12089294,-0.081285283,-0.13039326,-0.14105006,-0.17184319,-0.16935346,-0.13769445,-0.10430594,-0.066550317
28,-1.5727896,-0.16499109,-0.17523849,-0.15657612,-0.12870957,-0.15245576,-0.15185631,-0.11946759,-0.16280536,-0.12222569,-0.10301675,-0.66905291,-0.58573843,-0.058502846,-0.11423254,-0.13779201,-0.076188585,-0.25250801,-1.159687,-1.1252119,-0.043849326,-0.10681208,-0.14754621,-0.12163442,-0.074685607,-0.1061875,-0.085669821,-0.1307119,-0.099638466,-0.13942219,-0.15222913,-0.19436501,-0.2281029,-0.19295034,-0.12537045,-0.084295849,-0.13522264,-0.14627414,-0.17820776,-0.17562581,-0.14279425,-0.10816912,-0.069015143
29,-1.6289607,-0.17088363,-0.18149701,-0.16216812,-0.13330634,-0.15790061,-0.15727975,-0.12373429,-0.16861984,-0.12659089,-0.10669592,-0.69294766,-0.60665766,-0.060592233,-0.11831227,-0.14271315,-0.078909606,-0.26152615,-1.2011044,-1.165398,-0.045415374,-0.1106268,-0.15281572,-0.12597851,-0.07735295,-0.10997991,-0.088729457,-0.13538019,-0.10319698,-0.14440155,-0.15766589,-0.20130661,-0.23624943,-0.19984143,-0.12984797,-0.087306415,-0.14005202,-0.15149821,-0.18457232,-0.18189816,-0.14789404,-0.11203231,-0.07147997
