Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa),Coord 49 Stress (kPa),Coord 50 Stress (kPa),Coord 51 Stress (kPa),Coord 52 Stress (kPa),Coord 53 Stress (kPa),Coord 54 Stress (kPa),Coord 55 Stress (kPa),Coord 56 Stress (kPa),Coord 57 Stress (kPa),Coord 58 Stress (kPa),Coord 59 Stress (kPa),Coord 60 Stress (kPa),Coord 61 Stress (kPa),Coord 62 Stress (kPa),Coord 63 Stress (kPa),Coord 64 Stress (kPa),Coord 65 Stress (kPa),Coord 66 Stress (kPa),Coord 67 Stress (kPa),Coord 68 Stress (kPa),Coord 69 Stress (kPa),Coord 70 Stress (kPa),Coord 71 Stress (kPa),Coord 72 Stress (kPa),Coord 73 Stress (kPa),Coord 74 Stress (kPa),Coord 75 Stress (kPa),Coord 76 Stress (kPa),Coord 77 Stress (kPa),Coord 78 Stress (kPa),Coord 79 Stress (kPa),Coord 80 Stress (kPa),Coord 81 Stress (kPa),Coord 82 Stress (kPa),Coord 83 Stress (kPa),Coord 84 Stress (kPa),Coord 85 Stress (kPa),Coord 86 Stress (kPa),Coord 87 Stress (kPa),Coord 88 Stress (kPa),Coord 89 Stress (kPa),Coord 90 Stress (kPa),Coord 91 Stress (kPa),Coord 92 Stress (kPa),Coord 93 Stress (kPa),Coord 94 Stress (kPa),Coord 95 Stress (kPa),Coord 96 Stress (kPa),Coord 97 Stress (kPa),Coord 98 Stress (kPa),Coord 99 Stress (kPa),Coord 100 Stress (kPa),Coord 101 Stress (kPa),Coord 102 Stress (kPa),Coord 103 Stress (kPa)
20,3.0175756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25000504,0.16929119,0,0,0,0,0,0,0,0,0,0,0.39790686,1.2500904,1.1781799,0.43330513,0,0,0,0,0,0,0,0,0.96033165,1.9337622,2.4879092,0.5176382,0,0,0,0,0,0,0,0,0.66505064,1.694259,0.9036349,0.1358327,0,0,0,0,0,0,0,0,0,0.086256615,0.21360741,0.010735009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,3.2098119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26593175,0.18007599,0,0,0,0,0,0,0,0,0,0,0.42325575,1.3297281,1.2532365,0.46090908,0,0,0,0,0,0,0,0,1.0215101,2.0569537,2.6464029,0.55061463,0,0,0,0,0,0,0,0,0.70741807,1.8021927,0.96120147,0.144486,0,0,0,0,0,0,0,0,0,0.091751642,0.22721539,0.011418889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3.4020483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28185846,0.19086078,0,0,0,0,0,0,0,0,0,0,0.44860463,1.4093658,1.3282931,0.48851303,0,0,0,0,0,0,0,0,1.0826886,2.1801451,2.8048965,0.58359107,0,0,0,0,0,0,0,0,0.7497855,1.9101264,1.018768,0.1531393,0,0,0,0,0,0,0,0,0,0.097246669,0.24082338,0.012102768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3.5942847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29778517,0.20164557,0,0,0,0,0,0,0,0,0,0,0.47395351,1.4890035,1.4033498,0.51611698,0,0,0,0,0,0,0,0,1.1438671,2.3033365,2.9633902,0.61656751,0,0,0,0,0,0,0,0,0.79215293,2.0180602,1.0763346,0.1617926,0,0,0,0,0,0,0,0,0,0.1027417,0.25443136,0.012786648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3.7865211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31371189,0.21243036,0,0,0,0,0,0,0,0,0,0,0.4993024,1.5686413,1.4784064,0.54372093,0,0,0,0,0,0,0,0,1.2050455,2.4265279,3.1218839,0.64954394,0,0,0,0,0,0,0,0,0.83452036,2.1259939,1.1339012,0.1704459,0,0,0,0,0,0,0,0,0,0.10823672,0.26803934,0.013470528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,3.9787574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3296386,0.22321515,0,0,0,0,0,0,0,0,0,0,0.52465128,1.648279,1.553463,0.57132488,0,0,0,0,0,0,0,0,1.266224,2.5497194,3.2803775,0.68252038,0,0,0,0,0,0,0,0,0.87688779,2.2339276,1.1914678,0.1790992,0,0,0,0,0,0,0,0,0,0.11373175,0.28164732,0.014154408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4.1709938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34556531,0.23399995,0,0,0,0,0,0,0,0,0,0,0.55000016,1.7279167,1.6285196,0.59892883,0,0,0,0,0,0,0,0,1.3274025,2.6729108,3.4388712,0.71549681,0,0,0,0,0,0,0,0,0.91925521,2.3418614,1.2490343,0.1877525,0,0,0,0,0,0,0,0,0,0.11922678,0.2952553,0.014838288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4.3632302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36149203,0.24478474,0,0,0,0,0,0,0,0,0,0,0.57534905,1.8075544,1.7035762,0.62653278,0,0,0,0,0,0,0,0,1.388581,2.7961022,3.5973649,0.74847325,0,0,0,0,0,0,0,0,0.96162264,2.4497951,1.3066009,0.19640579,0,0,0,0,0,0,0,0,0,0.1247218,0.30886329,0.015522168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,4.5554665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37741874,0.25556953,0,0,0,0,0,0,0,0,0,0,0.60069793,1.8871921,1.7786329,0.65413673,0,0,0,0,0,0,0,0,1.4497594,2.9192936,3.7558586,0.78144968,0,0,0,0,0,0,0,0,1.0039901,2.5577288,1.3641675,0.20505909,0,0,0,0,0,0,0,0,0,0.13021683,0.32247127,0.016206047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4.7477029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39334545,0.26635432,0,0,0,0,0,0,0,0,0,0,0.62604681,1.9668299,1.8536895,0.68174068,0,0,0,0,0,0,0,0,1.5109379,3.042485,3.9143522,0.81442612,0,0,0,0,0,0,0,0,1.0463575,2.6656626,1.4217341,0.21371239,0,0,0,0,0,0,0,0,0,0.13571186,0.33607925,0.016889927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4.9399393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40927217,0.27713911,0,0,0,0,0,0,0,0,0,0,0.6513957,2.0464676,1.9287461,0.70934463,0,0,0,0,0,0,0,0,1.5721164,3.1656765,4.0728459,0.84740256,0,0,0,0,0,0,0,0,1.0887249,2.7735963,1.4793006,0.22236569,0,0,0,0,0,0,0,0,0,0.14120688,0.34968723,0.017573807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5.1321756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42519888,0.2879239,0,0,0,0,0,0,0,0,0,0,0.67674458,2.1261053,2.0038027,0.73694858,0,0,0,0,0,0,0,0,1.6332949,3.2888679,4.2313396,0.88037899,0,0,0,0,0,0,0,0,1.1310924,2.88153,1.5368672,0.23101899,0,0,0,0,0,0,0,0,0,0.14670191,0.36329521,0.018257687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5.324412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44112559,0.2987087,0,0,0,0,0,0,0,0,0,0,0.70209346,2.205743,2.0788593,0.76455253,0,0,0,0,0,0,0,0,1.6944733,3.4120593,4.3898332,0.91335543,0,0,0,0,0,0,0,0,1.1734598,2.9894638,1.5944338,0.23967229,0,0,0,0,0,0,0,0,0,0.15219694,0.37690319,0.018941567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
