Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa),Coord 42 Stress (kPa),Coord 43 Stress (kPa),Coord 44 Stress (kPa),Coord 45 Stress (kPa),Coord 46 Stress (kPa),Coord 47 Stress (kPa),Coord 48 Stress (kPa)
41,-0.22518504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048975952,-0.10126239,-0.05307459,0,0,0,0,0,-0.032288872,-0.11820066,-0.1890079,-0.084191519,0,0,0,0,0,0,-0.020448278,-0.033801114,0,0,0,0,0,0,0,0,0,0,0
42,-0.12701305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.027624328,-0.057115896,-0.029936118,0,0,0,0,0,-0.01821217,-0.066669737,-0.10660775,-0.047487267,0,0,0,0,0,0,-0.011533618,-0.019065133,0,0,0,0,0,0,0,0,0,0,0
43,-0.02884107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0062727031,-0.012969404,-0.0067976452,0,0,0,0,0,-0.0041354685,-0.015138811,-0.024207604,-0.010783014,0,0,0,0,0,0,-0.0026189583,-0.0043291522,0,0,0,0,0,0,0,0,0,0,0
44,0.069330914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015078922,0.031177088,0.016340827,0,0,0,0,0,0.0099412332,0.036392116,0.058192545,0.025921238,0,0,0,0,0,0,0.0062957015,0.010406829,0,0,0,0,0,0,0,0,0,0,0
45,0.1675029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036430546,0.07532358,0.0394793,0,0,0,0,0,0.024017935,0.087923042,0.14059269,0.06262549,0,0,0,0,0,0,0.015210361,0.02514281,0,0,0,0,0,0,0,0,0,0,0
46,0.26567488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057782171,0.11947007,0.062617773,0,0,0,0,0,0.038094637,0.13945397,0.22299284,0.099329743,0,0,0,0,0,0,0.024125021,0.039878791,0,0,0,0,0,0,0,0,0,0,0
47,0.36384687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079133795,0.16361656,0.085756245,0,0,0,0,0,0.052171338,0.19098489,0.30539299,0.136034,0,0,0,0,0,0,0.033039681,0.054614772,0,0,0,0,0,0,0,0,0,0,0
48,0.46201885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10048542,0.20776306,0.10889472,0,0,0,0,0,0.06624804,0.24251582,0.38779314,0.17273825,0,0,0,0,0,0,0.041954341,0.069350753,0,0,0,0,0,0,0,0,0,0,0
49,0.56019084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12183704,0.25190955,0.13203319,0,0,0,0,0,0.080324742,0.29404675,0.47019329,0.2094425,0,0,0,0,0,0,0.050869,0.084086734,0,0,0,0,0,0,0,0,0,0,0
50,0.65836282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14318867,0.29605604,0.15517166,0,0,0,0,0,0.094401444,0.34557767,0.55259344,0.24614675,0,0,0,0,0,0,0.05978366,0.098822715,0,0,0,0,0,0,0,0,0,0,0
51,0.7565348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16454029,0.34020253,0.17831014,0,0,0,0,0,0.10847815,0.3971086,0.63499359,0.282851,0,0,0,0,0,0,0.06869832,0.1135587,0,0,0,0,0,0,0,0,0,0,0
52,0.85470679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18589192,0.38434902,0.20144861,0,0,0,0,0,0.12255485,0.44863953,0.71739374,0.31955526,0,0,0,0,0,0,0.07761298,0.12829468,0,0,0,0,0,0,0,0,0,0,0
53,0.95287877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20724354,0.42849552,0.22458708,0,0,0,0,0,0.13663155,0.50017045,0.79979389,0.35625951,0,0,0,0,0,0,0.086527639,0.14303066,0,0,0,0,0,0,0,0,0,0,0
54,1.0510508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22859517,0.47264201,0.24772555,0,0,0,0,0,0.15070825,0.55170138,0.88219404,0.39296376,0,0,0,0,0,0,0.095442299,0.15776664,0,0,0,0,0,0,0,0,0,0,0
55,1.1492227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24994679,0.5167885,0.27086403,0,0,0,0,0,0.16478495,0.6032323,0.96459419,0.42966801,0,0,0,0,0,0,0.10435696,0.17250262,0,0,0,0,0,0,0,0,0,0,0
56,1.2473947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27129842,0.56093499,0.2940025,0,0,0,0,0,0.17886165,0.65476323,1.0469943,0.46637227,0,0,0,0,0,0,0.11327162,0.1872386,0,0,0,0,0,0,0,0,0,0,0
57,1.3455667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29265004,0.60508148,0.31714097,0,0,0,0,0,0.19293836,0.70629416,1.1293945,0.50307652,0,0,0,0,0,0,0.12218628,0.20197458,0,0,0,0,0,0,0,0,0,0,0
58,1.4437387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31400167,0.64922798,0.34027944,0,0,0,0,0,0.20701506,0.75782508,1.2117946,0.53978077,0,0,0,0,0,0,0.13110094,0.21671056,0,0,0,0,0,0,0,0,0,0,0
59,1.5419107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33535329,0.69337447,0.36341792,0,0,0,0,0,0.22109176,0.80935601,1.2941948,0.57648502,0,0,0,0,0,0,0.1400156,0.23144654,0,0,0,0,0,0,0,0,0,0,0
60,1.6400827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35670491,0.73752096,0.38655639,0,0,0,0,0,0.23516846,0.86088694,1.3765949,0.61318928,0,0,0,0,0,0,0.14893026,0.24618252,0,0,0,0,0,0,0,0,0,0,0
61,1.7382546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37805654,0.78166745,0.40969486,0,0,0,0,0,0.24924516,0.91241786,1.4589951,0.64989353,0,0,0,0,0,0,0.15784492,0.26091851,0,0,0,0,0,0,0,0,0,0,0
62,1.8364266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39940816,0.82581394,0.43283333,0,0,0,0,0,0.26332186,0.96394879,1.5413952,0.68659778,0,0,0,0,0,0,0.16675958,0.27565449,0,0,0,0,0,0,0,0,0,0,0
63,1.9345986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42075979,0.86996044,0.45597181,0,0,0,0,0,0.27739857,1.0154797,1.6237954,0.72330203,0,0,0,0,0,0,0.17567424,0.29039047,0,0,0,0,0,0,0,0,0,0,0
64,2.0327706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44211141,0.91410693,0.47911028,0,0,0,0,0,0.29147527,1.0670106,1.7061955,0.76000629,0,0,0,0,0,0,0.1845889,0.30512645,0,0,0,0,0,0,0,0,0,0,0
65,2.1309426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46346304,0.95825342,0.50224875,0,0,0,0,0,0.30555197,1.1185416,1.7885957,0.79671054,0,0,0,0,0,0,0.19350356,0.31986243,0,0,0,0,0,0,0,0,0,0,0
66,2.2291146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48481466,1.0023999,0.52538723,0,0,0,0,0,0.31962867,1.1700725,1.8709958,0.83341479,0,0,0,0,0,0,0.20241822,0.33459841,0,0,0,0,0,0,0,0,0,0,0
67,2.3272866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50616629,1.0465464,0.5485257,0,0,0,0,0,0.33370537,1.2216034,1.953396,0.87011904,0,0,0,0,0,0,0.21133288,0.34933439,0,0,0,0,0,0,0,0,0,0,0
