Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa)
42,-95.703348,0,0,0,0,0,0,0,0,-15.776515,-9.5181934,0,0,0,0,0,-17.767974,-70.446547,-70.153456,0,0,0,0,0,-1.7939878,-11.680658,0,0,0,0,0,0,0,0,0
43,-95.69485,0,0,0,0,0,0,0,0,-15.775114,-9.5173482,0,0,0,0,0,-17.766396,-70.440292,-70.147227,0,0,0,0,0,-1.7938285,-11.679621,0,0,0,0,0,0,0,0,0
44,-95.686352,0,0,0,0,0,0,0,0,-15.773713,-9.5165031,0,0,0,0,0,-17.764818,-70.434036,-70.140998,0,0,0,0,0,-1.7936692,-11.678584,0,0,0,0,0,0,0,0,0
45,-95.677855,0,0,0,0,0,0,0,0,-15.772312,-9.515658,0,0,0,0,0,-17.763241,-70.427781,-70.134769,0,0,0,0,0,-1.7935099,-11.677546,0,0,0,0,0,0,0,0,0
46,-95.669357,0,0,0,0,0,0,0,0,-15.770911,-9.5148128,0,0,0,0,0,-17.761663,-70.421526,-70.12854,0,0,0,0,0,-1.7933506,-11.676509,0,0,0,0,0,0,0,0,0
47,-95.660859,0,0,0,0,0,0,0,0,-15.769511,-9.5139677,0,0,0,0,0,-17.760085,-70.415271,-70.122311,0,0,0,0,0,-1.7931913,-11.675472,0,0,0,0,0,0,0,0,0
48,-95.652361,0,0,0,0,0,0,0,0,-15.76811,-9.5131225,0,0,0,0,0,-17.758508,-70.409016,-70.116082,0,0,0,0,0,-1.793032,-11.674435,0,0,0,0,0,0,0,0,0
49,-95.643864,0,0,0,0,0,0,0,0,-15.766709,-9.5122774,0,0,0,0,0,-17.75693,-70.402761,-70.109852,0,0,0,0,0,-1.7928727,-11.673398,0,0,0,0,0,0,0,0,0
50,-95.635366,0,0,0,0,0,0,0,0,-15.765308,-9.5114323,0,0,0,0,0,-17.755352,-70.396506,-70.103623,0,0,0,0,0,-1.7927134,-11.672361,0,0,0,0,0,0,0,0,0
51,-95.626868,0,0,0,0,0,0,0,0,-15.763907,-9.5105871,0,0,0,0,0,-17.753775,-70.390251,-70.097394,0,0,0,0,0,-1.7925542,-11.671324,0,0,0,0,0,0,0,0,0
52,-95.618371,0,0,0,0,0,0,0,0,-15.762506,-9.509742,0,0,0,0,0,-17.752197,-70.383996,-70.091165,0,0,0,0,0,-1.7923949,-11.670286,0,0,0,0,0,0,0,0,0
53,-95.609873,0,0,0,0,0,0,0,0,-15.761106,-9.5088968,0,0,0,0,0,-17.75062,-70.377741,-70.084936,0,0,0,0,0,-1.7922356,-11.669249,0,0,0,0,0,0,0,0,0
54,-95.601375,0,0,0,0,0,0,0,0,-15.759705,-9.5080517,0,0,0,0,0,-17.749042,-70.371486,-70.078707,0,0,0,0,0,-1.7920763,-11.668212,0,0,0,0,0,0,0,0,0
55,-95.592878,0,0,0,0,0,0,0,0,-15.758304,-9.5072066,0,0,0,0,0,-17.747464,-70.36523,-70.072478,0,0,0,0,0,-1.791917,-11.667175,0,0,0,0,0,0,0,0,0
56,-95.58438,0,0,0,0,0,0,0,0,-15.756903,-9.5063614,0,0,0,0,0,-17.745887,-70.358975,-70.066249,0,0,0,0,0,-1.7917577,-11.666138,0,0,0,0,0,0,0,0,0
57,-95.575882,0,0,0,0,0,0,0,0,-15.755502,-9.5055163,0,0,0,0,0,-17.744309,-70.35272,-70.06002,0,0,0,0,0,-1.7915984,-11.665101,0,0,0,0,0,0,0,0,0
58,-95.567385,0,0,0,0,0,0,0,0,-15.754101,-9.5046711,0,0,0,0,0,-17.742731,-70.346465,-70.053791,0,0,0,0,0,-1.7914391,-11.664064,0,0,0,0,0,0,0,0,0
59,-95.558887,0,0,0,0,0,0,0,0,-15.752701,-9.503826,0,0,0,0,0,-17.741154,-70.34021,-70.047562,0,0,0,0,0,-1.7912798,-11.663026,0,0,0,0,0,0,0,0,0
60,-95.550389,0,0,0,0,0,0,0,0,-15.7513,-9.5029809,0,0,0,0,0,-17.739576,-70.333955,-70.041333,0,0,0,0,0,-1.7911205,-11.661989,0,0,0,0,0,0,0,0,0
61,-95.541892,0,0,0,0,0,0,0,0,-15.749899,-9.5021357,0,0,0,0,0,-17.737998,-70.3277,-70.035104,0,0,0,0,0,-1.7909612,-11.660952,0,0,0,0,0,0,0,0,0
62,-95.533394,0,0,0,0,0,0,0,0,-15.748498,-9.5012906,0,0,0,0,0,-17.736421,-70.321445,-70.028875,0,0,0,0,0,-1.7908019,-11.659915,0,0,0,0,0,0,0,0,0
63,-95.524896,0,0,0,0,0,0,0,0,-15.747097,-9.5004454,0,0,0,0,0,-17.734843,-70.31519,-70.022646,0,0,0,0,0,-1.7906427,-11.658878,0,0,0,0,0,0,0,0,0
64,-95.516398,0,0,0,0,0,0,0,0,-15.745696,-9.4996003,0,0,0,0,0,-17.733265,-70.308935,-70.016417,0,0,0,0,0,-1.7904834,-11.657841,0,0,0,0,0,0,0,0,0
65,-95.507901,0,0,0,0,0,0,0,0,-15.744296,-9.4987552,0,0,0,0,0,-17.731688,-70.30268,-70.010187,0,0,0,0,0,-1.7903241,-11.656804,0,0,0,0,0,0,0,0,0
66,-95.499403,0,0,0,0,0,0,0,0,-15.742895,-9.49791,0,0,0,0,0,-17.73011,-70.296425,-70.003958,0,0,0,0,0,-1.7901648,-11.655766,0,0,0,0,0,0,0,0,0
67,-95.490905,0,0,0,0,0,0,0,0,-15.741494,-9.4970649,0,0,0,0,0,-17.728532,-70.290169,-69.997729,0,0,0,0,0,-1.7900055,-11.654729,0,0,0,0,0,0,0,0,0
68,-95.482408,0,0,0,0,0,0,0,0,-15.740093,-9.4962198,0,0,0,0,0,-17.726955,-70.283914,-69.9915,0,0,0,0,0,-1.7898462,-11.653692,0,0,0,0,0,0,0,0,0
69,-95.47391,0,0,0,0,0,0,0,0,-15.738692,-9.4953746,0,0,0,0,0,-17.725377,-70.277659,-69.985271,0,0,0,0,0,-1.7896869,-11.652655,0,0,0,0,0,0,0,0,0
70,-95.465412,0,0,0,0,0,0,0,0,-15.737291,-9.4945295,0,0,0,0,0,-17.723799,-70.271404,-69.979042,0,0,0,0,0,-1.7895276,-11.651618,0,0,0,0,0,0,0,0,0
71,-95.456915,0,0,0,0,0,0,0,0,-15.735891,-9.4936843,0,0,0,0,0,-17.722222,-70.265149,-69.972813,0,0,0,0,0,-1.7893683,-11.650581,0,0,0,0,0,0,0,0,0
72,-95.448417,0,0,0,0,0,0,0,0,-15.73449,-9.4928392,0,0,0,0,0,-17.720644,-70.258894,-69.966584,0,0,0,0,0,-1.789209,-11.649543,0,0,0,0,0,0,0,0,0
73,-95.439919,0,0,0,0,0,0,0,0,-15.733089,-9.4919941,0,0,0,0,0,-17.719066,-70.252639,-69.960355,0,0,0,0,0,-1.7890497,-11.648506,0,0,0,0,0,0,0,0,0
74,-95.431422,0,0,0,0,0,0,0,0,-15.731688,-9.4911489,0,0,0,0,0,-17.717489,-70.246384,-69.954126,0,0,0,0,0,-1.7888904,-11.647469,0,0,0,0,0,0,0,0,0
75,-95.422924,0,0,0,0,0,0,0,0,-15.730287,-9.4903038,0,0,0,0,0,-17.715911,-70.240129,-69.947897,0,0,0,0,0,-1.7887312,-11.646432,0,0,0,0,0,0,0,0,0
