X coord (mm),Y coord (mm)
6.14908,10.0525
6.56468,9.96894
6.95945,9.89353
7.61586,10.0898
8.00824,10.0134
8.39994,9.93614
9.03214,10.1354
9.38117,10.0716
10.0818,9.94337
10.4342,9.87812
11.0084,10.0945
11.6437,9.98708
11.9555,9.93553
12.5511,9.84546
13.0547,10.0871
1.9097,10.5874
2.35269,10.4987
3.10636,10.6747
3.55342,10.5837
3.99444,10.4909
4.43948,10.3984
5.13214,10.5902
5.54769,10.5107
5.99242,10.414
6.41359,10.3271
7.07178,10.5281
7.48478,10.4423
7.88252,10.3613
8.51111,10.5673
8.88157,10.495
9.60057,10.3583
10.1766,10.5792
10.5336,10.5078
10.8804,10.4445
11.5377,10.3288
12.0791,10.5581
12.381,10.5113
12.9638,10.4214
2.04452,11.2381
2.49957,11.1422
2.95168,11.0422
3.40415,10.9469
3.84239,10.8547
4.50968,11.0629
5.37347,10.8842
5.37347,10.8842
6.0687,11.0722
6.50194,10.9791
6.91683,10.8913
7.56079,11.1026
7.9612,11.0136
8.3345,10.9419
9.08279,10.7931
9.65913,11.0158
10.0171,10.9497
10.3811,10.8748
11.0874,10.7391
11.4252,10.6732
12.0791,10.5581
12.381,10.5113
12.9638,10.4214
