Time (ms),Stress at 0.00 mm (kPa),Stress at 0.26 mm (kPa),Stress at 0.42 mm (kPa),Stress at 0.65 mm (kPa),Stress at 0.85 mm (kPa),Stress at 1.06 mm (kPa),Stress at 1.26 mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.87 mm (kPa),Stress at 2.06 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.44 mm (kPa),Stress at 2.66 mm (kPa),Stress at 2.86 mm (kPa),Stress at 3.05 mm (kPa),Stress at 3.26 mm (kPa),Stress at 3.45 mm (kPa),Stress at 3.66 mm (kPa),Stress at 3.85 mm (kPa),Stress at 4.05 mm (kPa),Stress at 4.24 mm (kPa),Stress at 4.45 mm (kPa),Stress at 4.65 mm (kPa),Stress at 4.84 mm (kPa)
31,9.7913045,8.7263775,8.8965266,4.4451398,3.4561103,2.4844089,1.9586649,1.550983,1.1927644,0.94432466,0.78092265,0.61125755,0.45289602,0.38600142,0.37448134,0,0,0,0,0,0,0,0,0,0
32,9.9625562,8.8790034,9.0521284,4.5228861,3.5165583,2.5278617,1.9929223,1.57811,1.2136261,0.96084107,0.79458112,0.62194855,0.46081726,0.39275265,0.38103109,0,0,0,0,0,0,0,0,0,0
33,10.133785,9.0316093,9.2077098,4.6006222,3.5769984,2.5713087,2.0271753,1.6052334,1.234485,0.97735531,0.80823781,0.63263815,0.46873745,0.399503,0.38757998,0,0,0,0,0,0,0,0,0,0
34,10.305015,9.1842151,9.3632913,4.6783582,3.6374384,2.6147558,2.0614282,1.6323568,1.255344,0.99386955,0.82189449,0.64332776,0.47665764,0.40625335,0.39412886,0,0,0,0,0,0,0,0,0,0
35,10.476244,9.336821,9.5188727,4.7560943,3.6978785,2.6582028,2.0956811,1.6594802,1.2762029,1.0103838,0.83555118,0.65401736,0.48457784,0.4130037,0.40067775,0,0,0,0,0,0,0,0,0,0
36,10.647473,9.4894269,9.6744541,4.8338304,3.7583185,2.7016499,2.129934,1.6866036,1.2970618,1.026898,0.84920786,0.66470696,0.49249803,0.41975405,0.40722664,0,0,0,0,0,0,0,0,0,0
37,10.818702,9.6420328,9.8300356,4.9115665,3.8187586,2.745097,2.1641869,1.713727,1.3179207,1.0434123,0.86286455,0.67539656,0.50041822,0.42650439,0.41377552,0,0,0,0,0,0,0,0,0,0
38,10.989931,9.7946387,9.985617,4.9893026,3.8791987,2.788544,2.1984398,1.7408505,1.3387797,1.0599265,0.87652123,0.68608616,0.50833842,0.43325474,0.42032441,0,0,0,0,0,0,0,0,0,0
39,11.161161,9.9472446,10.141198,5.0670387,3.9396387,2.8319911,2.2326927,1.7679739,1.3596386,1.0764408,0.89017792,0.69677576,0.51625861,0.44000509,0.4268733,0,0,0,0,0,0,0,0,0,0
40,11.33239,10.09985,10.29678,5.1447748,4.0000788,2.8754381,2.2669456,1.7950973,1.3804975,1.092955,0.9038346,0.70746537,0.5241788,0.44675544,0.43342218,0,0,0,0,0,0,0,0,0,0
41,11.503619,10.252456,10.452361,5.2225109,4.0605188,2.9188852,2.3011985,1.8222207,1.4013565,1.1094692,0.91749129,0.71815497,0.532099,0.45350579,0.43997107,0,0,0,0,0,0,0,0,0,0
42,11.674848,10.405062,10.607943,5.300247,4.1209589,2.9623322,2.3354514,1.8493441,1.4222154,1.1259835,0.93114798,0.72884457,0.54001919,0.46025614,0.44651996,0,0,0,0,0,0,0,0,0,0
43,11.846077,10.557668,10.763524,5.3779831,4.181399,3.0057793,2.3697043,1.8764675,1.4430743,1.1424977,0.94480466,0.73953417,0.54793939,0.46700649,0.45306884,0,0,0,0,0,0,0,0,0,0
