Time (ms),Avg stress (kPa),Upper (kPa),Lower (kPa)
525.10502,128.36181,157.91928,98.804342
526.10522,128.97684,158.57128,99.382399
527.10542,129.59187,159.22328,99.960452
528.10562,130.20689,159.87528,100.5385
529.10582,130.82192,160.52729,101.11655
530.10602,131.43695,161.1793,101.69459
531.10622,132.05197,161.83131,102.27263
532.10642,132.66863,162.48365,102.8536
533.10662,133.29892,163.13867,103.45917
534.10682,133.92922,163.7937,104.06473
535.10702,134.55951,164.44875,104.67028
536.10722,135.18981,165.1038,105.27582
537.10742,135.8201,165.75886,105.88135
538.10762,136.4504,166.41393,106.48686
539.10782,137.08069,167.06902,107.09237
540.10802,137.71099,167.72411,107.69787
541.10822,138.34128,168.37921,108.30336
542.10842,138.97158,169.03433,108.90883
543.10862,139.60188,169.68945,109.5143
544.10882,140.23217,170.34458,110.11976
545.10902,140.86247,170.99972,110.72521
546.10922,141.49276,171.65488,111.33065
547.10942,142.12428,172.30985,111.93871
548.10962,142.76246,172.95362,112.57131
549.10982,143.37417,173.51934,113.22901
550.11002,143.98589,174.08506,113.88671
551.11022,144.5976,174.65078,114.54441
552.11042,145.20931,175.21651,115.20211
553.11062,145.82102,175.78224,115.85981
554.11082,146.43274,176.34796,116.51751
555.11102,147.04445,176.91369,117.1752
556.11122,147.65616,177.47942,117.8329
557.11142,148.26787,178.04515,118.49059
558.11162,148.87958,178.61089,119.14828
559.11182,149.4913,179.17662,119.80597
560.11202,150.10301,179.74236,120.46366
561.11222,150.71472,180.30809,121.12135
562.11242,151.32643,180.87383,121.77903
563.11262,151.93814,181.43957,122.43672
564.11282,152.54986,182.00531,123.0944
565.11302,153.16157,182.57105,123.75208
566.11322,153.77328,183.1368,124.40977
567.11342,154.38499,183.70254,125.06744
568.11362,154.9967,184.26829,125.72512
569.11382,155.60842,184.83403,126.3828
570.11402,156.22013,185.39978,127.04048
571.11422,156.83184,185.96553,127.69815
572.11442,157.44355,186.53128,128.35582
573.11462,158.05527,187.09703,129.0135
574.11482,158.66698,187.66279,129.67117
575.11502,159.27869,188.22854,130.32884
576.11522,159.8904,188.7943,130.9865
577.11542,160.50211,189.36006,131.64417
578.11562,161.11383,189.92582,132.30183
579.11582,161.72554,190.49158,132.9595
580.11602,162.33725,191.05734,133.61716
581.11622,162.94896,191.6231,134.27482
582.11642,163.56067,192.18887,134.93248
583.11662,164.17239,192.75463,135.59014
584.11682,164.7841,193.3204,136.24779
585.11702,165.39581,193.88617,136.90545
586.11722,166.00752,194.45194,137.5631
587.11742,166.61923,195.01771,138.22075
588.11762,167.23095,195.58349,138.8784
589.11782,167.84266,196.14926,139.53605
590.11802,168.45437,196.71504,140.1937
591.11822,169.06608,197.28082,140.85135
592.11842,169.6778,197.8466,141.50899
593.11862,170.28951,198.41238,142.16664
594.11882,170.90122,198.97816,142.82428
595.11902,171.51293,199.54394,143.48192
596.11922,172.12464,200.10973,144.13956
597.11942,172.73636,200.67552,144.79719
598.11962,173.34807,201.24131,145.45483
599.11982,173.95978,201.8071,146.11246
600.12002,174.57149,202.37289,146.7701
601.12022,175.1832,202.93868,147.42773
602.12042,175.79492,203.50448,148.08536
603.12062,176.40663,204.07027,148.74298
604.12082,177.01834,204.63607,149.40061
605.12102,177.63005,205.20187,150.05824
606.12122,178.24176,205.76767,150.71586
607.12142,178.85348,206.33347,151.37348
608.12162,179.46519,206.89928,152.0311
609.12182,180.0769,207.46508,152.68872
610.12202,180.68861,208.03089,153.34634
611.12222,181.30032,208.5967,154.00395
612.12242,181.91204,209.16251,154.66156
613.12262,182.52375,209.72832,155.31918
614.12282,183.13546,210.29414,155.97679
615.12302,183.74717,210.85995,156.63439
616.12322,184.35889,211.42577,157.292
617.12342,184.9706,211.99159,157.94961
618.12362,185.58231,212.55741,158.60721
619.12382,186.19402,213.12323,159.26481
620.12402,186.80573,213.68906,159.92241
621.12422,187.41745,214.25488,160.58001
622.12442,188.02916,214.82071,161.23761
623.12462,188.64087,215.38654,161.8952
624.12482,189.25258,215.95237,162.55279
625.12503,189.86429,216.5182,163.21038
626.12523,190.47601,217.08404,163.86797
627.12543,191.08772,217.64987,164.52556
628.12563,191.69943,218.21571,165.18315
629.12583,192.31114,218.78155,165.84073
630.12603,192.92285,219.34739,166.49831
631.12623,193.53457,219.91324,167.1559
632.12643,194.14628,220.47908,167.81347
633.12663,194.75799,221.04493,168.47105
634.12683,195.3697,221.61078,169.12863
635.12703,195.98142,222.17663,169.7862
636.12723,196.59313,222.74248,170.44377
