Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa)
37,1.2262981,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032142789,0.25660127,0.8079697,0.098789277,0.0062936949,0,0,0.0091569584,0.18458179,0.37806396,0.068949229,0.0028199275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,1.3081678,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034288693,0.27373238,0.86191106,0.10538461,0.006713872,0,0,0.0097682916,0.19690477,0.40330411,0.07355239,0.0030081904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1.3900374,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036434597,0.29086349,0.91585241,0.11197994,0.0071340492,0,0,0.010379625,0.20922775,0.42854427,0.078155551,0.0031964533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,1.471907,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038580502,0.3079946,0.96979376,0.11857527,0.0075542264,0,0,0.010990958,0.22155072,0.45378442,0.082758712,0.0033847162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.5537766,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040726406,0.32512572,1.0237351,0.1251706,0.0079744035,0,0,0.011602291,0.2338737,0.47902458,0.087361874,0.0035729791,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1.6356463,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04287231,0.34225683,1.0776765,0.13176593,0.0083945807,0,0,0.012213624,0.24619668,0.50426474,0.091965035,0.003761242,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,1.7175159,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045018214,0.35938794,1.1316178,0.13836126,0.0088147579,0,0,0.012824958,0.25851965,0.52950489,0.096568196,0.0039495048,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.7993855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047164118,0.37651905,1.1855592,0.14495659,0.009234935,0,0,0.013436291,0.27084263,0.55474505,0.10117136,0.0041377677,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.8812552,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049310022,0.39365016,1.2395005,0.15155192,0.0096551122,0,0,0.014047624,0.28316561,0.57998521,0.10577452,0.0043260306,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1.9631248,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051455927,0.41078128,1.2934419,0.15814725,0.010075289,0,0,0.014658957,0.29548858,0.60522536,0.11037768,0.0045142935,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.0449944,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053601831,0.42791239,1.3473832,0.16474258,0.010495467,0,0,0.015270291,0.30781156,0.63046552,0.11498084,0.0047025564,0,0,0,0,0,0,0,0,0,0,0,0,0,0
