Time (ms),Stress at 0.00 mm (kPa),Stress at 0.27 mm (kPa),Stress at 0.46 mm (kPa),Stress at NaN mm (kPa),Stress at 0.80 mm (kPa),Stress at 1.06 mm (kPa),Stress at NaN mm (kPa),Stress at 1.44 mm (kPa),Stress at 1.66 mm (kPa),Stress at 1.84 mm (kPa),Stress at 2.03 mm (kPa),Stress at 2.25 mm (kPa),Stress at 2.46 mm (kPa),Stress at 2.66 mm (kPa),Stress at 2.85 mm (kPa)
734,266.61526,236.30813,227.66625,,159.46822,144.62221,,68.086858,94.962775,56.985345,38.90788,19.740114,24.22096,16.110282,9.9185075
735,266.70976,236.39189,227.74695,,159.52474,144.67347,,68.110992,94.996435,57.005544,38.921671,19.747111,24.229546,16.115993,9.9220232
736,266.80427,236.47565,227.82764,,159.58127,144.72473,,68.135126,95.030096,57.025743,38.935463,19.754108,24.238131,16.121703,9.925539
737,266.89877,236.55941,227.90834,,159.63779,144.776,,68.15926,95.063757,57.045942,38.949254,19.761105,24.246717,16.127414,9.9290547
738,266.99328,236.64317,227.98904,,159.69432,144.82726,,68.183395,95.097417,57.066141,38.963045,19.768103,24.255302,16.133124,9.9325704
739,267.08778,236.72694,228.06974,,159.75084,144.87852,,68.207529,95.131078,57.08634,38.976837,19.7751,24.263887,16.138835,9.9360861
740,267.18228,236.8107,228.15044,,159.80737,144.92978,,68.231663,95.164738,57.106539,38.990628,19.782097,24.272473,16.144545,9.9396019
741,267.27679,236.89446,228.23114,,159.86389,144.98105,,68.255797,95.198399,57.126738,39.004419,19.789094,24.281058,16.150256,9.9431176
742,267.37129,236.97822,228.31184,,159.92042,145.03231,,68.279931,95.232059,57.146937,39.018211,19.796091,24.289644,16.155966,9.9466333
743,267.4658,237.06198,228.39254,,159.97694,145.08357,,68.304065,95.26572,57.167136,39.032002,19.803088,24.298229,16.161677,9.950149
744,267.5603,237.14575,228.47323,,160.03347,145.13484,,68.328199,95.299381,57.187335,39.045793,19.810085,24.306814,16.167387,9.9536647
745,267.65481,237.22951,228.55393,,160.08999,145.1861,,68.352333,95.333041,57.207535,39.059585,19.817082,24.3154,16.173098,9.9571805
746,267.74931,237.31327,228.63463,,160.14652,145.23736,,68.376468,95.366702,57.227734,39.073376,19.824079,24.323985,16.178808,9.9606962
747,267.84382,237.39703,228.71533,,160.20304,145.28862,,68.400602,95.400362,57.247933,39.087167,19.831076,24.33257,16.184519,9.9642119
748,267.93832,237.48079,228.79603,,160.25957,145.33989,,68.424736,95.434023,57.268132,39.100959,19.838074,24.341156,16.190229,9.9677276
749,268.03283,237.56456,228.87673,,160.31609,145.39115,,68.44887,95.467683,57.288331,39.11475,19.845071,24.349741,16.195939,9.9712434
750,268.12733,237.64832,228.95743,,160.37262,145.44241,,68.473004,95.501344,57.30853,39.128541,19.852068,24.358327,16.20165,9.9747591
751,268.22184,237.73208,229.03813,,160.42914,145.49368,,68.497138,95.535005,57.328729,39.142333,19.859065,24.366912,16.20736,9.9782748
752,268.31634,237.81584,229.11882,,160.48567,145.54494,,68.521272,95.568665,57.348928,39.156124,19.866062,24.375497,16.213071,9.9817905
753,268.41085,237.8996,229.19952,,160.5422,145.5962,,68.545406,95.602326,57.369127,39.169915,19.873059,24.384083,16.218781,9.9853062
754,268.50535,237.98336,229.28022,,160.59872,145.64746,,68.56954,95.635986,57.389326,39.183707,19.880056,24.392668,16.224492,9.988822
755,268.59985,238.06713,229.36092,,160.65525,145.69873,,68.593675,95.669647,57.409525,39.197498,19.887053,24.401253,16.230202,9.9923377
756,268.69436,238.15089,229.44162,,160.71177,145.74999,,68.617809,95.703308,57.429724,39.211289,19.89405,24.409839,16.235913,9.9958534
757,268.78886,238.23465,229.52232,,160.7683,145.80125,,68.641943,95.736968,57.449923,39.22508,19.901047,24.418424,16.241623,9.9993691
758,268.88337,238.31841,229.60302,,160.82482,145.85252,,68.666077,95.770629,57.470122,39.238872,19.908044,24.42701,16.247334,10.002885
759,268.97787,238.40217,229.68372,,160.88135,145.90378,,68.690211,95.804289,57.490321,39.252663,19.915042,24.435595,16.253044,10.006401
760,269.07238,238.48594,229.76441,,160.93787,145.95504,,68.714345,95.83795,57.510521,39.266454,19.922039,24.44418,16.258755,10.009916
761,269.16688,238.5697,229.84511,,160.9944,146.0063,,68.738479,95.87161,57.53072,39.280246,19.929036,24.452766,16.264465,10.013432
762,269.26139,238.65346,229.92581,,161.05092,146.05757,,68.762613,95.905271,57.550919,39.294037,19.936033,24.461351,16.270175,10.016948
763,269.35589,238.73722,230.00651,,161.10745,146.10883,,68.786748,95.938932,57.571118,39.307828,19.94303,24.469937,16.275886,10.020463
764,269.4504,238.82098,230.08721,,161.16397,146.16009,,68.810882,95.972592,57.591317,39.32162,19.950027,24.478522,16.281596,10.023979
765,269.5449,238.90475,230.16791,,161.2205,146.21136,,68.835016,96.006253,57.611516,39.335411,19.957024,24.487107,16.287307,10.027495
766,269.63941,238.98851,230.24861,,161.27702,146.26262,,68.85915,96.039913,57.631715,39.349202,19.964021,24.495693,16.293017,10.031011
767,269.73391,239.07227,230.32931,,161.33355,146.31388,,68.883284,96.073574,57.651914,39.362994,19.971018,24.504278,16.298728,10.034526
768,269.82842,239.15603,230.41,,161.39007,146.36514,,68.907418,96.107234,57.672113,39.376785,19.978015,24.512863,16.304438,10.038042
769,269.92292,239.23979,230.4907,,161.4466,146.41641,,68.931552,96.140895,57.692312,39.390576,19.985013,24.521449,16.310149,10.041558
770,270.01742,239.32356,230.5714,,161.50312,146.46767,,68.955686,96.174556,57.712511,39.404368,19.99201,24.530034,16.315859,10.045074
771,270.11193,239.40732,230.6521,,161.55965,146.51893,,68.979821,96.208216,57.73271,39.418159,19.999007,24.53862,16.32157,10.048589
772,270.20643,239.49108,230.7328,,161.61617,146.5702,,69.003955,96.241877,57.752909,39.43195,20.006004,24.547205,16.32728,10.052105
773,270.30094,239.57484,230.8135,,161.6727,146.62146,,69.028089,96.275537,57.773108,39.445742,20.013001,24.55579,16.332991,10.055621
774,270.39544,239.6586,230.8942,,161.72922,146.67272,,69.052223,96.309198,57.793308,39.459533,20.019998,24.564376,16.338701,10.059136
775,270.48995,239.74237,230.9749,,161.78575,146.72399,,69.076357,96.342859,57.813507,39.473324,20.026995,24.572961,16.344411,10.062652
776,270.58445,239.82613,231.05559,,161.84228,146.77525,,69.100491,96.376519,57.833706,39.487116,20.033992,24.581546,16.350122,10.066168
777,270.67896,239.90989,231.13629,,161.8988,146.82651,,69.124625,96.41018,57.853905,39.500907,20.040989,24.590132,16.355832,10.069684
778,270.77346,239.99365,231.21699,,161.95533,146.87777,,69.148759,96.44384,57.874104,39.514698,20.047986,24.598717,16.361543,10.073199
779,270.86797,240.07741,231.29769,,162.01185,146.92904,,69.172894,96.477501,57.894303,39.528489,20.054984,24.607303,16.367253,10.076715
780,270.96247,240.16118,231.37839,,162.06838,146.9803,,69.197028,96.511161,57.914502,39.542281,20.061981,24.615888,16.372964,10.080231
781,271.05698,240.24494,231.45909,,162.1249,147.03156,,69.221162,96.544822,57.934701,39.556072,20.068978,24.624473,16.378674,10.083746
782,271.15148,240.3287,231.53979,,162.18143,147.08283,,69.245296,96.578483,57.9549,39.569863,20.075975,24.633059,16.384385,10.087262
783,271.24599,240.41246,231.62049,,162.23795,147.13409,,69.26943,96.612143,57.975099,39.583655,20.082972,24.641644,16.390095,10.090778
784,271.34049,240.49622,231.70118,,162.29448,147.18535,,69.293564,96.645804,57.995298,39.597446,20.089969,24.65023,16.395806,10.094294
785,271.43499,240.57999,231.78188,,162.351,147.23661,,69.317698,96.679464,58.015497,39.611237,20.096966,24.658815,16.401516,10.097809
786,271.5295,240.66375,231.86258,,162.40753,147.28788,,69.341832,96.713125,58.035696,39.625029,20.103963,24.6674,16.407227,10.101325
787,271.624,240.74751,231.94328,,162.46405,147.33914,,69.365966,96.746786,58.055895,39.63882,20.11096,24.675986,16.412937,10.104841
788,271.71851,240.83127,232.02398,,162.52058,147.3904,,69.390101,96.780446,58.076095,39.652611,20.117957,24.684571,16.418648,10.108357
789,271.81301,240.91503,232.10468,,162.5771,147.44167,,69.414235,96.814107,58.096294,39.666403,20.124954,24.693156,16.424358,10.111872
790,271.90752,240.9988,232.18538,,162.63363,147.49293,,69.438369,96.847767,58.116493,39.680194,20.131952,24.701742,16.430068,10.115388
791,272.00202,241.08256,232.26608,,162.69015,147.54419,,69.462503,96.881428,58.136692,39.693985,20.138949,24.710327,16.435779,10.118904
792,272.09653,241.16632,232.34677,,162.74668,147.59545,,69.486637,96.915088,58.156891,39.707777,20.145946,24.718913,16.441489,10.122419
793,272.19103,241.25008,232.42747,,162.8032,147.64672,,69.510771,96.948749,58.17709,39.721568,20.152943,24.727498,16.4472,10.125935
794,272.28554,241.33384,232.50817,,162.85973,147.69798,,69.534905,96.98241,58.197289,39.735359,20.15994,24.736083,16.45291,10.129451
795,272.38004,241.41761,232.58887,,162.91625,147.74924,,69.559039,97.01607,58.217488,39.749151,20.166937,24.744669,16.458621,10.132967
796,272.47455,241.50137,232.66957,,162.97278,147.80051,,69.583174,97.049731,58.237687,39.762942,20.173934,24.753254,16.464331,10.136482
797,272.56905,241.58513,232.75027,,163.02931,147.85177,,69.607308,97.083391,58.257886,39.776733,20.180931,24.761839,16.470042,10.139998
798,272.66355,241.66889,232.83097,,163.08583,147.90303,,69.631442,97.117052,58.278085,39.790525,20.187928,24.770425,16.475752,10.143514
799,272.75806,241.75265,232.91167,,163.14236,147.95429,,69.655576,97.150712,58.298284,39.804316,20.194925,24.77901,16.481463,10.147029
800,272.85256,241.83642,232.99236,,163.19888,148.00556,,69.67971,97.184373,58.318483,39.818107,20.201923,24.787596,16.487173,10.150545
801,272.94707,241.92018,233.07306,,163.25541,148.05682,,69.703844,97.218034,58.338682,39.831898,20.20892,24.796181,16.492884,10.154061
802,273.04157,242.00394,233.15376,,163.31193,148.10808,,69.727978,97.251694,58.358882,39.84569,20.215917,24.804766,16.498594,10.157577
803,273.13608,242.0877,233.23446,,163.36846,148.15935,,69.752112,97.285355,58.379081,39.859481,20.222914,24.813352,16.504304,10.161092
804,273.23058,242.17146,233.31516,,163.42498,148.21061,,69.776247,97.319015,58.39928,39.873272,20.229911,24.821937,16.510015,10.164608
805,273.32509,242.25523,233.39586,,163.48151,148.26187,,69.800381,97.352676,58.419479,39.887064,20.236908,24.830523,16.515725,10.168124
806,273.41959,242.33899,233.47656,,163.53803,148.31314,,69.824515,97.386337,58.439678,39.900855,20.243905,24.839108,16.521436,10.17164
807,273.5141,242.42275,233.55726,,163.59456,148.3644,,69.848649,97.419997,58.459877,39.914646,20.250902,24.847693,16.527146,10.175155
808,273.6086,242.50651,233.63795,,163.65108,148.41566,,69.872783,97.453658,58.480076,39.928438,20.257899,24.856279,16.532857,10.178671
809,273.70311,242.59027,233.71865,,163.70761,148.46692,,69.896917,97.487318,58.500275,39.942229,20.264896,24.864864,16.538567,10.182187
810,273.79761,242.67403,233.79935,,163.76413,148.51819,,69.921051,97.520979,58.520474,39.95602,20.271894,24.873449,16.544278,10.185702
811,273.89212,242.7578,233.88005,,163.82066,148.56945,,69.945185,97.554639,58.540673,39.969812,20.278891,24.882035,16.549988,10.189218
812,273.98662,242.84156,233.96075,,163.87718,148.62071,,69.96932,97.5883,58.560872,39.983603,20.285888,24.89062,16.555699,10.192734
813,274.08112,242.92532,234.04145,,163.93371,148.67198,,69.993454,97.621961,58.581071,39.997394,20.292885,24.899206,16.561409,10.19625
814,274.17563,243.00908,234.12215,,163.99023,148.72324,,70.017588,97.655621,58.60127,40.011186,20.299882,24.907791,16.56712,10.199765
815,274.27013,243.09284,234.20285,,164.04676,148.7745,,70.041722,97.689282,58.621469,40.024977,20.306879,24.916376,16.57283,10.203281
816,274.36464,243.17661,234.28354,,164.10328,148.82576,,70.065856,97.722942,58.641668,40.038768,20.313876,24.924962,16.57854,10.206797
817,274.45914,243.26037,234.36424,,164.15981,148.87703,,70.08999,97.756603,58.661868,40.05256,20.320873,24.933547,16.584251,10.210312
818,274.55365,243.34413,234.44494,,164.21634,148.92829,,70.114124,97.790263,58.682067,40.066351,20.32787,24.942132,16.589961,10.213828
819,274.64815,243.42789,234.52564,,164.27286,148.97955,,70.138258,97.823924,58.702266,40.080142,20.334867,24.950718,16.595672,10.217344
820,274.74266,243.51165,234.60634,,164.32939,149.03082,,70.162392,97.857585,58.722465,40.093934,20.341864,24.959303,16.601382,10.22086
821,274.83716,243.59542,234.68704,,164.38591,149.08208,,70.186527,97.891245,58.742664,40.107725,20.348862,24.967889,16.607093,10.224375
822,274.93167,243.67918,234.76774,,164.44244,149.13334,,70.210661,97.924906,58.762863,40.121516,20.355859,24.976474,16.612803,10.227891
823,275.02617,243.76294,234.84844,,164.49896,149.1846,,70.234795,97.958566,58.783062,40.135307,20.362856,24.985059,16.618514,10.231407
824,275.12068,243.8467,234.92913,,164.55549,149.23587,,70.258929,97.992227,58.803261,40.149099,20.369853,24.993645,16.624224,10.234923
825,275.21518,243.93046,235.00983,,164.61201,149.28713,,70.283063,98.025888,58.82346,40.16289,20.37685,25.00223,16.629935,10.238438
826,275.30969,244.01423,235.09053,,164.66854,149.33839,,70.307197,98.059548,58.843659,40.176681,20.383847,25.010816,16.635645,10.241954
827,275.40419,244.09799,235.17123,,164.72506,149.38966,,70.331331,98.093209,58.863858,40.190473,20.390844,25.019401,16.641356,10.24547
828,275.49869,244.18175,235.25193,,164.78159,149.44092,,70.355465,98.126869,58.884057,40.204264,20.397841,25.027986,16.647066,10.248985
829,275.50905,244.19093,235.26077,,164.78778,149.44654,,70.35811,98.130558,58.886271,40.205775,20.398608,25.028927,16.647692,10.249371
830,275.5194,244.2001,235.26961,,164.79397,149.45215,,70.360754,98.134245,58.888483,40.207286,20.399374,25.029868,16.648317,10.249756
831,275.52975,244.20928,235.27845,,164.80016,149.45777,,70.363397,98.137932,58.890696,40.208797,20.400141,25.030808,16.648943,10.250141
832,275.54011,244.21845,235.28729,,164.80636,149.46338,,70.366041,98.141619,58.892908,40.210307,20.400907,25.031748,16.649568,10.250526
833,275.55046,244.22763,235.29613,,164.81255,149.469,,70.368684,98.145306,58.895121,40.211818,20.401674,25.032689,16.650194,10.250911
834,275.56081,244.2368,235.30497,,164.81874,149.47461,,70.371328,98.148993,58.897333,40.213328,20.40244,25.033629,16.650819,10.251296
835,275.57116,244.24598,235.31381,,164.82493,149.48023,,70.373971,98.15268,58.899546,40.214839,20.403207,25.034569,16.651445,10.251681
836,275.58151,244.25515,235.32265,,164.83112,149.48584,,70.376615,98.156367,58.901758,40.21635,20.403973,25.03551,16.65207,10.252066
837,275.59186,244.26433,235.33149,,164.83731,149.49146,,70.379258,98.160053,58.903971,40.21786,20.404739,25.03645,16.652696,10.252451
838,275.60221,244.2735,235.34033,,164.8435,149.49707,,70.381901,98.16374,58.906183,40.219371,20.405506,25.037391,16.653321,10.252836
839,275.61256,244.28268,235.34916,,164.8497,149.50269,,70.384545,98.167427,58.908395,40.220881,20.406272,25.038331,16.653947,10.253222
840,275.62292,244.29185,235.358,,164.85589,149.5083,,70.387188,98.171114,58.910608,40.222392,20.407039,25.039271,16.654572,10.253607
841,275.63327,244.30103,235.36684,,164.86208,149.51392,,70.389832,98.174801,58.91282,40.223903,20.407805,25.040212,16.655198,10.253992
842,275.64362,244.3102,235.37568,,164.86827,149.51953,,70.392475,98.178488,58.915033,40.225413,20.408571,25.041152,16.655823,10.254377
843,275.65397,244.31937,235.38452,,164.87446,149.52515,,70.395119,98.182175,58.917245,40.226924,20.409338,25.042092,16.656449,10.254762
844,275.66432,244.32855,235.39336,,164.88065,149.53076,,70.397762,98.185862,58.919458,40.228434,20.410104,25.043033,16.657074,10.255147
845,275.67467,244.33772,235.4022,,164.88684,149.53638,,70.400406,98.189549,58.92167,40.229945,20.410871,25.043973,16.6577,10.255532
846,275.68502,244.3469,235.41104,,164.89303,149.54199,,70.403049,98.193236,58.923882,40.231455,20.411637,25.044913,16.658325,10.255917
847,275.69537,244.35607,235.41988,,164.89923,149.54761,,70.405693,98.196923,58.926095,40.232966,20.412403,25.045854,16.65895,10.256302
848,275.70573,244.36525,235.42872,,164.90542,149.55322,,70.408336,98.200609,58.928307,40.234477,20.41317,25.046794,16.659576,10.256687
849,275.71608,244.37442,235.43756,,164.91161,149.55884,,70.410979,98.204296,58.93052,40.235987,20.413936,25.047735,16.660201,10.257072
850,275.72643,244.3836,235.44639,,164.9178,149.56445,,70.413623,98.207983,58.932732,40.237498,20.414703,25.048675,16.660827,10.257457
851,275.73678,244.39277,235.45523,,164.92399,149.57007,,70.416266,98.21167,58.934945,40.239008,20.415469,25.049615,16.661452,10.257843
852,275.74713,244.40195,235.46407,,164.93018,149.57568,,70.41891,98.215357,58.937157,40.240519,20.416235,25.050556,16.662078,10.258228
853,275.75748,244.41112,235.47291,,164.93637,149.5813,,70.421553,98.219044,58.93937,40.24203,20.417002,25.051496,16.662703,10.258613
854,275.76783,244.42029,235.48175,,164.94256,149.58691,,70.424197,98.222731,58.941582,40.24354,20.417768,25.052436,16.663329,10.258998
855,275.77818,244.42947,235.49059,,164.94876,149.59252,,70.42684,98.226418,58.943794,40.245051,20.418535,25.053377,16.663954,10.259383
856,275.78854,244.43864,235.49943,,164.95495,149.59814,,70.429484,98.230105,58.946007,40.246561,20.419301,25.054317,16.66458,10.259768
857,275.79889,244.44782,235.50827,,164.96114,149.60375,,70.432127,98.233792,58.948219,40.248072,20.420067,25.055258,16.665205,10.260153
858,275.80924,244.45699,235.51711,,164.96733,149.60937,,70.434771,98.237478,58.950432,40.249583,20.420834,25.056198,16.665831,10.260538
859,275.81959,244.46617,235.52595,,164.97352,149.61498,,70.437414,98.241165,58.952644,40.251093,20.4216,25.057138,16.666456,10.260923
860,275.82994,244.47534,235.53479,,164.97971,149.6206,,70.440057,98.244852,58.954857,40.252604,20.422367,25.058079,16.667082,10.261308
861,275.84029,244.48452,235.54362,,164.9859,149.62621,,70.442701,98.248539,58.957069,40.254114,20.423133,25.059019,16.667707,10.261693
862,275.85064,244.49369,235.55246,,164.9921,149.63183,,70.445344,98.252226,58.959282,40.255625,20.423899,25.059959,16.668333,10.262078
863,275.86099,244.50287,235.5613,,164.99829,149.63744,,70.447988,98.255913,58.961494,40.257135,20.424666,25.0609,16.668958,10.262464
864,275.87135,244.51204,235.57014,,165.00448,149.64306,,70.450631,98.2596,58.963706,40.258646,20.425432,25.06184,16.669584,10.262849
865,275.8817,244.52122,235.57898,,165.01067,149.64867,,70.453275,98.263287,58.965919,40.260157,20.426199,25.062781,16.670209,10.263234
866,275.89205,244.53039,235.58782,,165.01686,149.65429,,70.455918,98.266974,58.968131,40.261667,20.426965,25.063721,16.670835,10.263619
867,275.9024,244.53956,235.59666,,165.02305,149.6599,,70.458562,98.270661,58.970344,40.263178,20.427731,25.064661,16.67146,10.264004
868,275.91275,244.54874,235.6055,,165.02924,149.66552,,70.461205,98.274347,58.972556,40.264688,20.428498,25.065602,16.672085,10.264389
869,275.9231,244.55791,235.61434,,165.03543,149.67113,,70.463849,98.278034,58.974769,40.266199,20.429264,25.066542,16.672711,10.264774
870,275.93345,244.56709,235.62318,,165.04163,149.67675,,70.466492,98.281721,58.976981,40.26771,20.430031,25.067482,16.673336,10.265159
871,275.9438,244.57626,235.63201,,165.04782,149.68236,,70.469135,98.285408,58.979193,40.26922,20.430797,25.068423,16.673962,10.265544
872,275.95416,244.58544,235.64085,,165.05401,149.68798,,70.471779,98.289095,58.981406,40.270731,20.431563,25.069363,16.674587,10.265929
873,275.96451,244.59461,235.64969,,165.0602,149.69359,,70.474422,98.292782,58.983618,40.272241,20.43233,25.070304,16.675213,10.266314
874,275.97486,244.60379,235.65853,,165.06639,149.69921,,70.477066,98.296469,58.985831,40.273752,20.433096,25.071244,16.675838,10.266699
875,275.98521,244.61296,235.66737,,165.07258,149.70482,,70.479709,98.300156,58.988043,40.275263,20.433863,25.072184,16.676464,10.267085
876,275.99556,244.62214,235.67621,,165.07877,149.71044,,70.482353,98.303843,58.990256,40.276773,20.434629,25.073125,16.677089,10.26747
877,276.00591,244.63131,235.68505,,165.08496,149.71605,,70.484996,98.30753,58.992468,40.278284,20.435395,25.074065,16.677715,10.267855
878,276.01626,244.64049,235.69389,,165.09116,149.72167,,70.48764,98.311216,58.994681,40.279794,20.436162,25.075005,16.67834,10.26824
879,276.02661,244.64966,235.70273,,165.09735,149.72728,,70.490283,98.314903,58.996893,40.281305,20.436928,25.075946,16.678966,10.268625
880,276.03697,244.65883,235.71157,,165.10354,149.7329,,70.492926,98.31859,58.999105,40.282815,20.437695,25.076886,16.679591,10.26901
881,276.04732,244.66801,235.72041,,165.10973,149.73851,,70.49557,98.322277,59.001318,40.284326,20.438461,25.077827,16.680217,10.269395
882,276.05767,244.67718,235.72924,,165.11592,149.74413,,70.498213,98.325964,59.00353,40.285837,20.439228,25.078767,16.680842,10.26978
883,276.06802,244.68636,235.73808,,165.12211,149.74974,,70.500857,98.329651,59.005743,40.287347,20.439994,25.079707,16.681468,10.270165
884,276.07837,244.69553,235.74692,,165.1283,149.75536,,70.5035,98.333338,59.007955,40.288858,20.44076,25.080648,16.682093,10.27055
885,276.08872,244.70471,235.75576,,165.1345,149.76097,,70.506144,98.337025,59.010168,40.290368,20.441527,25.081588,16.682719,10.270935
886,276.09907,244.71388,235.7646,,165.14069,149.76659,,70.508787,98.340712,59.01238,40.291879,20.442293,25.082528,16.683344,10.27132
887,276.10942,244.72306,235.77344,,165.14688,149.7722,,70.511431,98.344399,59.014593,40.29339,20.44306,25.083469,16.68397,10.271706
888,276.11978,244.73223,235.78228,,165.15307,149.77782,,70.514074,98.348086,59.016805,40.2949,20.443826,25.084409,16.684595,10.272091
889,276.13013,244.74141,235.79112,,165.15926,149.78343,,70.516718,98.351772,59.019017,40.296411,20.444592,25.085349,16.685221,10.272476
890,276.14048,244.75058,235.79996,,165.16545,149.78905,,70.519361,98.355459,59.02123,40.297921,20.445359,25.08629,16.685846,10.272861
891,276.15083,244.75975,235.8088,,165.17164,149.79466,,70.522004,98.359146,59.023442,40.299432,20.446125,25.08723,16.686471,10.273246
892,276.16118,244.76893,235.81764,,165.17783,149.80028,,70.524648,98.362833,59.025655,40.300942,20.446892,25.088171,16.687097,10.273631
893,276.17153,244.7781,235.82647,,165.18403,149.80589,,70.527291,98.36652,59.027867,40.302453,20.447658,25.089111,16.687722,10.274016
894,276.18188,244.78728,235.83531,,165.19022,149.81151,,70.529935,98.370207,59.03008,40.303964,20.448424,25.090051,16.688348,10.274401
895,276.19223,244.79645,235.84415,,165.19641,149.81712,,70.532578,98.373894,59.032292,40.305474,20.449191,25.090992,16.688973,10.274786
896,276.20259,244.80563,235.85299,,165.2026,149.82274,,70.535222,98.377581,59.034504,40.306985,20.449957,25.091932,16.689599,10.275171
897,276.21294,244.8148,235.86183,,165.20879,149.82835,,70.537865,98.381268,59.036717,40.308495,20.450724,25.092872,16.690224,10.275556
898,276.22329,244.82398,235.87067,,165.21498,149.83397,,70.540509,98.384955,59.038929,40.310006,20.45149,25.093813,16.69085,10.275941
899,276.23364,244.83315,235.87951,,165.22117,149.83958,,70.543152,98.388641,59.041142,40.311517,20.452256,25.094753,16.691475,10.276327
900,276.24399,244.84233,235.88835,,165.22736,149.8452,,70.545796,98.392328,59.043354,40.313027,20.453023,25.095694,16.692101,10.276712
901,276.25434,244.8515,235.89719,,165.23356,149.85081,,70.548439,98.396015,59.045567,40.314538,20.453789,25.096634,16.692726,10.277097
902,276.26469,244.86068,235.90603,,165.23975,149.85643,,70.551082,98.399702,59.047779,40.316048,20.454556,25.097574,16.693352,10.277482
903,276.27504,244.86985,235.91487,,165.24594,149.86204,,70.553726,98.403389,59.049992,40.317559,20.455322,25.098515,16.693977,10.277867
904,276.2854,244.87902,235.9237,,165.25213,149.86766,,70.556369,98.407076,59.052204,40.31907,20.456088,25.099455,16.694603,10.278252
905,276.29575,244.8882,235.93254,,165.25832,149.87327,,70.559013,98.410763,59.054416,40.32058,20.456855,25.100395,16.695228,10.278637
906,276.3061,244.89737,235.94138,,165.26451,149.87889,,70.561656,98.41445,59.056629,40.322091,20.457621,25.101336,16.695854,10.279022
907,276.31645,244.90655,235.95022,,165.2707,149.8845,,70.5643,98.418137,59.058841,40.323601,20.458388,25.102276,16.696479,10.279407
908,276.3268,244.91572,235.95906,,165.2769,149.89012,,70.566943,98.421824,59.061054,40.325112,20.459154,25.103217,16.697105,10.279792
909,276.33715,244.9249,235.9679,,165.28309,149.89573,,70.569587,98.42551,59.063266,40.326622,20.45992,25.104157,16.69773,10.280177
910,276.3475,244.93407,235.97674,,165.28928,149.90135,,70.57223,98.429197,59.065479,40.328133,20.460687,25.105097,16.698356,10.280562
911,276.35785,244.94325,235.98558,,165.29547,149.90696,,70.574874,98.432884,59.067691,40.329644,20.461453,25.106038,16.698981,10.280948
912,276.36821,244.95242,235.99442,,165.30166,149.91258,,70.577517,98.436571,59.069904,40.331154,20.46222,25.106978,16.699606,10.281333
913,276.37856,244.9616,236.00326,,165.30785,149.91819,,70.58016,98.440258,59.072116,40.332665,20.462986,25.107918,16.700232,10.281718
914,276.38891,244.97077,236.0121,,165.31404,149.9238,,70.582804,98.443945,59.074328,40.334175,20.463752,25.108859,16.700857,10.282103
915,276.39926,244.97995,236.02093,,165.32023,149.92942,,70.585447,98.447632,59.076541,40.335686,20.464519,25.109799,16.701483,10.282488
916,276.40961,244.98912,236.02977,,165.32643,149.93503,,70.588091,98.451319,59.078753,40.337197,20.465285,25.11074,16.702108,10.282873
917,276.41996,244.99829,236.03861,,165.33262,149.94065,,70.590734,98.455006,59.080966,40.338707,20.466052,25.11168,16.702734,10.283258
918,276.43031,245.00747,236.04745,,165.33881,149.94626,,70.593378,98.458693,59.083178,40.340218,20.466818,25.11262,16.703359,10.283643
919,276.44067,245.01664,236.05629,,165.345,149.95188,,70.596021,98.462379,59.085391,40.341728,20.467584,25.113561,16.703985,10.284028
920,276.45102,245.02582,236.06513,,165.35119,149.95749,,70.598665,98.466066,59.087603,40.343239,20.468351,25.114501,16.70461,10.284413
921,276.46137,245.03499,236.07397,,165.35738,149.96311,,70.601308,98.469753,59.089815,40.34475,20.469117,25.115441,16.705236,10.284798
922,276.47172,245.04417,236.08281,,165.36357,149.96872,,70.603951,98.47344,59.092028,40.34626,20.469884,25.116382,16.705861,10.285183
923,276.48207,245.05334,236.09165,,165.36977,149.97434,,70.606595,98.477127,59.09424,40.347771,20.47065,25.117322,16.706487,10.285569
924,276.49242,245.06252,236.10049,,165.37596,149.97995,,70.609238,98.480814,59.096453,40.349281,20.471416,25.118262,16.707112,10.285954
925,276.50277,245.07169,236.10933,,165.38215,149.98557,,70.611882,98.484501,59.098665,40.350792,20.472183,25.119203,16.707738,10.286339
926,276.51312,245.08087,236.11816,,165.38834,149.99118,,70.614525,98.488188,59.100878,40.352302,20.472949,25.120143,16.708363,10.286724
927,276.52348,245.09004,236.127,,165.39453,149.9968,,70.617169,98.491875,59.10309,40.353813,20.473716,25.121084,16.708989,10.287109
928,276.53383,245.09921,236.13584,,165.40072,150.00241,,70.619812,98.495562,59.105303,40.355324,20.474482,25.122024,16.709614,10.287494
929,276.54418,245.10839,236.14468,,165.40691,150.00803,,70.622456,98.499249,59.107515,40.356834,20.475249,25.122964,16.71024,10.287879
930,276.55453,245.11756,236.15352,,165.4131,150.01364,,70.625099,98.502935,59.109727,40.358345,20.476015,25.123905,16.710865,10.288264
931,276.56488,245.12674,236.16236,,165.4193,150.01926,,70.627743,98.506622,59.11194,40.359855,20.476781,25.124845,16.711491,10.288649
932,276.57523,245.13591,236.1712,,165.42549,150.02487,,70.630386,98.510309,59.114152,40.361366,20.477548,25.125785,16.712116,10.289034
