Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa)
167,23.097894,0,0,0,0,0.22841997,3.4544828,0,0,0,3.4282164,0,0,0,0
168,23.463219,0,0,0,0,0.23203275,3.5091202,0,0,0,3.4824384,0,0,0,0
169,23.828544,0,0,0,0,0.23564553,3.5637577,0,0,0,3.5366604,0,0,0,0
170,24.193869,0,0,0,0,0.2392583,3.6183951,0,0,0,3.5908823,0,0,0,0
171,24.559194,0,0,0,0,0.24287108,3.6730325,0,0,0,3.6451043,0,0,0,0
172,24.924519,0,0,0,0,0.24648386,3.7276699,0,0,0,3.6993263,0,0,0,0
173,25.289845,0,0,0,0,0.25009664,3.7823073,0,0,0,3.7535483,0,0,0,0
174,25.65517,0,0,0,0,0.25370941,3.8369447,0,0,0,3.8077702,0,0,0,0
175,26.020495,0,0,0,0,0.25732219,3.8915822,0,0,0,3.8619922,0,0,0,0
176,26.38582,0,0,0,0,0.26093497,3.9462196,0,0,0,3.9162142,0,0,0,0
177,26.751145,0,0,0,0,0.26454774,4.000857,0,0,0,3.9704362,0,0,0,0
178,27.11647,0,0,0,0,0.26816052,4.0554944,0,0,0,4.0246581,0,0,0,0
179,27.481795,0,0,0,0,0.2717733,4.1101318,0,0,0,4.0788801,0,0,0,0
180,27.84712,0,0,0,0,0.27538608,4.1647692,0,0,0,4.1331021,0,0,0,0
181,28.212445,0,0,0,0,0.27899885,4.2194067,0,0,0,4.1873241,0,0,0,0
182,28.57777,0,0,0,0,0.28261163,4.2740441,0,0,0,4.2415461,0,0,0,0
183,28.943095,0,0,0,0,0.28622441,4.3286815,0,0,0,4.295768,0,0,0,0
184,29.308421,0,0,0,0,0.28983719,4.3833189,0,0,0,4.34999,0,0,0,0
185,29.673746,0,0,0,0,0.29344996,4.4379563,0,0,0,4.404212,0,0,0,0
186,30.039071,0,0,0,0,0.29706274,4.4925937,0,0,0,4.458434,0,0,0,0
187,30.404396,0,0,0,0,0.30067552,4.5472312,0,0,0,4.5126559,0,0,0,0
188,30.769721,0,0,0,0,0.30428829,4.6018686,0,0,0,4.5668779,0,0,0,0
189,31.135046,0,0,0,0,0.30790107,4.656506,0,0,0,4.6210999,0,0,0,0
190,31.500371,0,0,0,0,0.31151385,4.7111434,0,0,0,4.6753219,0,0,0,0
191,31.865696,0,0,0,0,0.31512663,4.7657808,0,0,0,4.7295439,0,0,0,0
192,32.231021,0,0,0,0,0.3187394,4.8204182,0,0,0,4.7837658,0,0,0,0
193,32.596346,0,0,0,0,0.32235218,4.8750557,0,0,0,4.8379878,0,0,0,0
194,32.961672,0,0,0,0,0.32596496,4.9296931,0,0,0,4.8922098,0,0,0,0
195,33.326997,0,0,0,0,0.32957774,4.9843305,0,0,0,4.9464318,0,0,0,0
196,33.692322,0,0,0,0,0.33319051,5.0389679,0,0,0,5.0006537,0,0,0,0
197,34.057647,0,0,0,0,0.33680329,5.0936053,0,0,0,5.0548757,0,0,0,0
198,34.422972,0,0,0,0,0.34041607,5.1482427,0,0,0,5.1090977,0,0,0,0
199,34.788297,0,0,0,0,0.34402885,5.2028802,0,0,0,5.1633197,0,0,0,0
200,35.153622,0,0,0,0,0.34764162,5.2575176,0,0,0,5.2175416,0,0,0,0
201,35.518947,0,0,0,0,0.3512544,5.312155,0,0,0,5.2717636,0,0,0,0
202,35.884272,0,0,0,0,0.35486718,5.3667924,0,0,0,5.3259856,0,0,0,0
203,36.249597,0,0,0,0,0.35847995,5.4214298,0,0,0,5.3802076,0,0,0,0
204,36.614922,0,0,0,0,0.36209273,5.4760672,0,0,0,5.4344296,0,0,0,0
205,36.980248,0,0,0,0,0.36570551,5.5307047,0,0,0,5.4886515,0,0,0,0
206,37.345573,0,0,0,0,0.36931829,5.5853421,0,0,0,5.5428735,0,0,0,0
207,37.710898,0,0,0,0,0.37293106,5.6399795,0,0,0,5.5970955,0,0,0,0
208,38.076223,0,0,0,0,0.37654384,5.6946169,0,0,0,5.6513175,0,0,0,0
209,38.441548,0,0,0,0,0.38015662,5.7492543,0,0,0,5.7055394,0,0,0,0
210,38.806873,0,0,0,0,0.3837694,5.8038917,0,0,0,5.7597614,0,0,0,0
211,39.172198,0,0,0,0,0.38738217,5.8585292,0,0,0,5.8139834,0,0,0,0
212,39.537523,0,0,0,0,0.39099495,5.9131666,0,0,0,5.8682054,0,0,0,0
213,39.902848,0,0,0,0,0.39460773,5.967804,0,0,0,5.9224273,0,0,0,0
214,40.268173,0,0,0,0,0.39822051,6.0224414,0,0,0,5.9766493,0,0,0,0
215,40.633498,0,0,0,0,0.40183328,6.0770788,0,0,0,6.0308713,0,0,0,0
216,40.998824,0,0,0,0,0.40544606,6.1317162,0,0,0,6.0850933,0,0,0,0
217,41.364149,0,0,0,0,0.40905884,6.1863537,0,0,0,6.1393153,0,0,0,0
218,41.729474,0,0,0,0,0.41267161,6.2409911,0,0,0,6.1935372,0,0,0,0
219,42.094799,0,0,0,0,0.41628439,6.2956285,0,0,0,6.2477592,0,0,0,0
220,42.460124,0,0,0,0,0.41989717,6.3502659,0,0,0,6.3019812,0,0,0,0
221,42.825449,0,0,0,0,0.42350995,6.4049033,0,0,0,6.3562032,0,0,0,0
222,43.190774,0,0,0,0,0.42712272,6.4595407,0,0,0,6.4104251,0,0,0,0
223,43.556099,0,0,0,0,0.4307355,6.5141782,0,0,0,6.4646471,0,0,0,0
224,43.921424,0,0,0,0,0.43434828,6.5688156,0,0,0,6.5188691,0,0,0,0
225,44.286749,0,0,0,0,0.43796106,6.623453,0,0,0,6.5730911,0,0,0,0
226,44.652075,0,0,0,0,0.44157383,6.6780904,0,0,0,6.6273131,0,0,0,0
227,45.0174,0,0,0,0,0.44518661,6.7327278,0,0,0,6.681535,0,0,0,0
228,45.382725,0,0,0,0,0.44879939,6.7873652,0,0,0,6.735757,0,0,0,0
229,45.74805,0,0,0,0,0.45241217,6.8420027,0,0,0,6.789979,0,0,0,0
230,46.113375,0,0,0,0,0.45602494,6.8966401,0,0,0,6.844201,0,0,0,0
231,46.4787,0,0,0,0,0.45963772,6.9512775,0,0,0,6.8984229,0,0,0,0
232,46.844025,0,0,0,0,0.4632505,7.0059149,0,0,0,6.9526449,0,0,0,0
233,47.20935,0,0,0,0,0.46686327,7.0605523,0,0,0,7.0068669,0,0,0,0
234,47.574675,0,0,0,0,0.47047605,7.1151897,0,0,0,7.0610889,0,0,0,0
235,47.94,0,0,0,0,0.47408883,7.1698272,0,0,0,7.1153108,0,0,0,0
236,48.305325,0,0,0,0,0.47770161,7.2244646,0,0,0,7.1695328,0,0,0,0
237,48.670651,0,0,0,0,0.48131438,7.279102,0,0,0,7.2237548,0,0,0,0
238,49.035976,0,0,0,0,0.48492716,7.3337394,0,0,0,7.2779768,0,0,0,0
239,49.401301,0,0,0,0,0.48853994,7.3883768,0,0,0,7.3321988,0,0,0,0
240,49.766626,0,0,0,0,0.49215272,7.4430142,0,0,0,7.3864207,0,0,0,0
241,50.131951,0,0,0,0,0.49576549,7.4976517,0,0,0,7.4406427,0,0,0,0
242,50.497276,0,0,0,0,0.49937827,7.5522891,0,0,0,7.4948647,0,0,0,0
243,50.862601,0,0,0,0,0.50299105,7.6069265,0,0,0,7.5490867,0,0,0,0
244,51.227926,0,0,0,0,0.50660382,7.6615639,0,0,0,7.6033086,0,0,0,0
245,51.593251,0,0,0,0,0.5102166,7.7162013,0,0,0,7.6575306,0,0,0,0
246,51.958576,0,0,0,0,0.51382938,7.7708387,0,0,0,7.7117526,0,0,0,0
247,52.323901,0,0,0,0,0.51744216,7.8254762,0,0,0,7.7659746,0,0,0,0
248,52.689227,0,0,0,0,0.52105493,7.8801136,0,0,0,7.8201965,0,0,0,0
249,53.054552,0,0,0,0,0.52466771,7.934751,0,0,0,7.8744185,0,0,0,0
250,53.419877,0,0,0,0,0.52828049,7.9893884,0,0,0,7.9286405,0,0,0,0
251,53.983158,0,0,0,0,0.5338509,8.0736318,0,0,0,8.0122434,0,0,0,0
252,54.546439,0,0,0,0,0.5394213,8.1578752,0,0,0,8.0958462,0,0,0,0
253,55.10972,0,0,0,0,0.54499171,8.2421186,0,0,0,8.1794491,0,0,0,0
254,55.673002,0,0,0,0,0.55056212,8.326362,0,0,0,8.2630519,0,0,0,0
255,56.236283,0,0,0,0,0.55613253,8.4106054,0,0,0,8.3466548,0,0,0,0
256,56.799564,0,0,0,0,0.56170293,8.4948488,0,0,0,8.4302576,0,0,0,0
257,57.362845,0,0,0,0,0.56727334,8.5790922,0,0,0,8.5138605,0,0,0,0
258,57.926126,0,0,0,0,0.57284375,8.6633357,0,0,0,8.5974633,0,0,0,0
259,58.489408,0,0,0,0,0.57841415,8.7475791,0,0,0,8.6810662,0,0,0,0
260,59.052689,0,0,0,0,0.58398456,8.8318225,0,0,0,8.764669,0,0,0,0
261,59.61597,0,0,0,0,0.58955497,8.9160659,0,0,0,8.8482719,0,0,0,0
262,60.179251,0,0,0,0,0.59512538,9.0003093,0,0,0,8.9318747,0,0,0,0
263,60.742532,0,0,0,0,0.60069578,9.0845527,0,0,0,9.0154776,0,0,0,0
264,61.305814,0,0,0,0,0.60626619,9.1687961,0,0,0,9.0990805,0,0,0,0
265,61.869095,0,0,0,0,0.6118366,9.2530395,0,0,0,9.1826833,0,0,0,0
266,62.432376,0,0,0,0,0.617407,9.3372829,0,0,0,9.2662862,0,0,0,0
267,62.995657,0,0,0,0,0.62297741,9.4215263,0,0,0,9.349889,0,0,0,0
268,63.558938,0,0,0,0,0.62854782,9.5057697,0,0,0,9.4334919,0,0,0,0
269,64.12222,0,0,0,0,0.63411823,9.5900131,0,0,0,9.5170947,0,0,0,0
270,64.685501,0,0,0,0,0.63968863,9.6742565,0,0,0,9.6006976,0,0,0,0
271,65.248782,0,0,0,0,0.64525904,9.7584999,0,0,0,9.6843004,0,0,0,0
272,65.812063,0,0,0,0,0.65082945,9.8427433,0,0,0,9.7679033,0,0,0,0
273,66.375344,0,0,0,0,0.65639986,9.9269867,0,0,0,9.8515061,0,0,0,0
274,66.938626,0,0,0,0,0.66197026,10.01123,0,0,0,9.935109,0,0,0,0
275,67.501907,0,0,0,0,0.66754067,10.095474,0,0,0,10.018712,0,0,0,0
276,68.065188,0,0,0,0,0.67311108,10.179717,0,0,0,10.102315,0,0,0,0
277,68.628469,0,0,0,0,0.67868148,10.26396,0,0,0,10.185918,0,0,0,0
