Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa),Coord 39 Stress (kPa),Coord 40 Stress (kPa),Coord 41 Stress (kPa)
47,1.0703407,0,0,0,0,0,0,0.13740165,0.17932008,0.026914523,0,0,0,0.082933689,1.0703407,0.23471609,0.02126124,0,0,0,0,0.10959682,0.24765452,0.048119548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,1.1727163,0,0,0,0,0,0,0.1505438,0.19647162,0.029488833,0,0,0,0.0908661,1.1727163,0.25716612,0.023294827,0,0,0,0,0.12007949,0.27134209,0.052722069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.2751053,0,0,0,0,0,0,0.16368767,0.21362543,0.032063484,0,0,0,0.098799558,1.2751053,0.27961913,0.025328683,0,0,0,0,0.13056355,0.29503279,0.057325198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1.3774944,0,0,0,0,0,0,0.17683155,0.23077924,0.034638134,0,0,0,0.10673302,1.3774944,0.30207213,0.027362538,0,0,0,0,0.14104761,0.31872349,0.061928326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1.4798835,0,0,0,0,0,0,0.18997543,0.24793304,0.037212784,0,0,0,0.11466648,1.4798835,0.32452513,0.029396394,0,0,0,0,0.15153167,0.34241418,0.066531455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1.5822726,0,0,0,0,0,0,0.20311931,0.26508685,0.039787434,0,0,0,0.12259993,1.5822726,0.34697813,0.03143025,0,0,0,0,0.16201573,0.36610488,0.071134583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,1.6846616,0,0,0,0,0,0,0.21626318,0.28224065,0.042362085,0,0,0,0.13053339,1.6846616,0.36943113,0.033464106,0,0,0,0,0.17249979,0.38979557,0.075737712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1.7870507,0,0,0,0,0,0,0.22940706,0.29939446,0.044936735,0,0,0,0.13846685,1.7870507,0.39188414,0.035497961,0,0,0,0,0.18298385,0.41348627,0.08034084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,1.8894398,0,0,0,0,0,0,0.24255094,0.31654827,0.047511385,0,0,0,0.14640031,1.8894398,0.41433714,0.037531817,0,0,0,0,0.19346791,0.43717697,0.084943969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,1.9918288,0,0,0,0,0,0,0.25569482,0.33370207,0.050086036,0,0,0,0.15433377,1.9918288,0.43679014,0.039565673,0,0,0,0,0.20395197,0.46086766,0.089547097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
