Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa),Coord 17 Stress (kPa),Coord 18 Stress (kPa),Coord 19 Stress (kPa),Coord 20 Stress (kPa),Coord 21 Stress (kPa),Coord 22 Stress (kPa),Coord 23 Stress (kPa),Coord 24 Stress (kPa),Coord 25 Stress (kPa),Coord 26 Stress (kPa),Coord 27 Stress (kPa),Coord 28 Stress (kPa),Coord 29 Stress (kPa),Coord 30 Stress (kPa),Coord 31 Stress (kPa),Coord 32 Stress (kPa),Coord 33 Stress (kPa),Coord 34 Stress (kPa),Coord 35 Stress (kPa),Coord 36 Stress (kPa),Coord 37 Stress (kPa),Coord 38 Stress (kPa)
27,-3.5649808,0,0,0,0,0,0,0,0,-0.4938013,-0.58750604,0,0,0,0,0,0,-0.77611791,-3.3043226,-2.289096,-0.13854553,0,0,0,0,-0.4270303,-0.97555931,-0.57427863,0,0,0,0,0,0,0,0,0,0
28,-3.6150088,0,0,0,0,0,0,0,0,-0.5007309,-0.59575062,0,0,0,0,0,0,-0.78700932,-3.3506928,-2.3212193,-0.14048977,0,0,0,0,-0.4330229,-0.98924952,-0.58233758,0,0,0,0,0,0,0,0,0,0
29,-3.6650369,0,0,0,0,0,0,0,0,-0.50766051,-0.60399521,0,0,0,0,0,0,-0.79790072,-3.3970629,-2.3533426,-0.142434,0,0,0,0,-0.43901549,-1.0029397,-0.59039654,0,0,0,0,0,0,0,0,0,0
30,-3.7150649,0,0,0,0,0,0,0,0,-0.51459011,-0.61223979,0,0,0,0,0,0,-0.80879213,-3.4434331,-2.3854659,-0.14437824,0,0,0,0,-0.44500809,-1.0166299,-0.5984555,0,0,0,0,0,0,0,0,0,0
31,-3.7650929,0,0,0,0,0,0,0,0,-0.52151972,-0.62048437,0,0,0,0,0,0,-0.81968354,-3.4898033,-2.4175892,-0.14632247,0,0,0,0,-0.45100068,-1.0303201,-0.60651445,0,0,0,0,0,0,0,0,0,0
32,-3.7833415,0,0,0,0,0,0,0,0,-0.52404741,-0.62349172,0,0,0,0,0,0,-0.82365636,-3.5067176,-2.4293067,-0.14703166,0,0,0,0,-0.45318658,-1.0353139,-0.6094541,0,0,0,0,0,0,0,0,0,0
33,-3.8015857,0,0,0,0,0,0,0,0,-0.52657449,-0.62649835,0,0,0,0,0,0,-0.82762823,-3.5236278,-2.4410214,-0.14774069,0,0,0,0,-0.45537196,-1.0403064,-0.61239303,0,0,0,0,0,0,0,0,0,0
34,-3.8198299,0,0,0,0,0,0,0,0,-0.52910158,-0.62950498,0,0,0,0,0,0,-0.83160011,-3.5405381,-2.4527361,-0.14844971,0,0,0,0,-0.45755733,-1.0452989,-0.61533197,0,0,0,0,0,0,0,0,0,0
35,-3.8380741,0,0,0,0,0,0,0,0,-0.53162866,-0.63251161,0,0,0,0,0,0,-0.83557198,-3.5574483,-2.4644508,-0.14915873,0,0,0,0,-0.45974271,-1.0502915,-0.61827091,0,0,0,0,0,0,0,0,0,0
36,-3.8563183,0,0,0,0,0,0,0,0,-0.53415575,-0.63551824,0,0,0,0,0,0,-0.83954385,-3.5743586,-2.4761656,-0.14986775,0,0,0,0,-0.46192809,-1.055284,-0.62120985,0,0,0,0,0,0,0,0,0,0
37,-3.8745625,0,0,0,0,0,0,0,0,-0.53668283,-0.63852487,0,0,0,0,0,0,-0.84351573,-3.5912688,-2.4878803,-0.15057678,0,0,0,0,-0.46411347,-1.0602765,-0.62414878,0,0,0,0,0,0,0,0,0,0
38,-3.8928067,0,0,0,0,0,0,0,0,-0.53920992,-0.6415315,0,0,0,0,0,0,-0.8474876,-3.6081791,-2.499595,-0.1512858,0,0,0,0,-0.46629884,-1.0652691,-0.62708772,0,0,0,0,0,0,0,0,0,0
39,-3.9110509,0,0,0,0,0,0,0,0,-0.54173701,-0.64453813,0,0,0,0,0,0,-0.85145947,-3.6250893,-2.5113097,-0.15199482,0,0,0,0,-0.46848422,-1.0702616,-0.63002666,0,0,0,0,0,0,0,0,0,0
40,-3.9292951,0,0,0,0,0,0,0,0,-0.54426409,-0.64754476,0,0,0,0,0,0,-0.85543135,-3.6419996,-2.5230244,-0.15270385,0,0,0,0,-0.4706696,-1.0752542,-0.6329656,0,0,0,0,0,0,0,0,0,0
41,-3.9475393,0,0,0,0,0,0,0,0,-0.54679118,-0.65055139,0,0,0,0,0,0,-0.85940322,-3.6589099,-2.5347391,-0.15341287,0,0,0,0,-0.47285497,-1.0802467,-0.63590453,0,0,0,0,0,0,0,0,0,0
42,-3.9657835,0,0,0,0,0,0,0,0,-0.54931826,-0.65355802,0,0,0,0,0,0,-0.86337509,-3.6758201,-2.5464538,-0.15412189,0,0,0,0,-0.47504035,-1.0852392,-0.63884347,0,0,0,0,0,0,0,0,0,0
43,-3.9840277,0,0,0,0,0,0,0,0,-0.55184535,-0.65656465,0,0,0,0,0,0,-0.86734697,-3.6927304,-2.5581686,-0.15483091,0,0,0,0,-0.47722573,-1.0902318,-0.64178241,0,0,0,0,0,0,0,0,0,0
44,-4.0022719,0,0,0,0,0,0,0,0,-0.55437243,-0.65957128,0,0,0,0,0,0,-0.87131884,-3.7096406,-2.5698833,-0.15553994,0,0,0,0,-0.47941111,-1.0952243,-0.64472135,0,0,0,0,0,0,0,0,0,0
45,-4.0205161,0,0,0,0,0,0,0,0,-0.55689952,-0.66257791,0,0,0,0,0,0,-0.87529071,-3.7265509,-2.581598,-0.15624896,0,0,0,0,-0.48159648,-1.1002168,-0.64766028,0,0,0,0,0,0,0,0,0,0
46,-4.0387603,0,0,0,0,0,0,0,0,-0.5594266,-0.66558454,0,0,0,0,0,0,-0.87926259,-3.7434611,-2.5933127,-0.15695798,0,0,0,0,-0.48378186,-1.1052094,-0.65059922,0,0,0,0,0,0,0,0,0,0
47,-4.0570045,0,0,0,0,0,0,0,0,-0.56195369,-0.66859117,0,0,0,0,0,0,-0.88323446,-3.7603714,-2.6050274,-0.157667,0,0,0,0,-0.48596724,-1.1102019,-0.65353816,0,0,0,0,0,0,0,0,0,0
48,-4.0752487,0,0,0,0,0,0,0,0,-0.56448077,-0.6715978,0,0,0,0,0,0,-0.88720633,-3.7772816,-2.6167421,-0.15837603,0,0,0,0,-0.48815261,-1.1151945,-0.6564771,0,0,0,0,0,0,0,0,0,0
49,-4.0934929,0,0,0,0,0,0,0,0,-0.56700786,-0.67460443,0,0,0,0,0,0,-0.89117821,-3.7941919,-2.6284568,-0.15908505,0,0,0,0,-0.49033799,-1.120187,-0.65941603,0,0,0,0,0,0,0,0,0,0
50,-4.1117371,0,0,0,0,0,0,0,0,-0.56953495,-0.67761106,0,0,0,0,0,0,-0.89515008,-3.8111021,-2.6401716,-0.15979407,0,0,0,0,-0.49252337,-1.1251795,-0.66235497,0,0,0,0,0,0,0,0,0,0
51,-4.1299813,0,0,0,0,0,0,0,0,-0.57206203,-0.68061769,0,0,0,0,0,0,-0.89912195,-3.8280124,-2.6518863,-0.1605031,0,0,0,0,-0.49470875,-1.1301721,-0.66529391,0,0,0,0,0,0,0,0,0,0
52,-4.1482256,0,0,0,0,0,0,0,0,-0.57458912,-0.68362432,0,0,0,0,0,0,-0.90309383,-3.8449226,-2.663601,-0.16121212,0,0,0,0,-0.49689412,-1.1351646,-0.66823285,0,0,0,0,0,0,0,0,0,0
53,-4.1664698,0,0,0,0,0,0,0,0,-0.5771162,-0.68663095,0,0,0,0,0,0,-0.9070657,-3.8618329,-2.6753157,-0.16192114,0,0,0,0,-0.4990795,-1.1401572,-0.67117178,0,0,0,0,0,0,0,0,0,0
54,-4.184714,0,0,0,0,0,0,0,0,-0.57964329,-0.68963758,0,0,0,0,0,0,-0.91103758,-3.8787432,-2.6870304,-0.16263016,0,0,0,0,-0.50126488,-1.1451497,-0.67411072,0,0,0,0,0,0,0,0,0,0
55,-4.2029582,0,0,0,0,0,0,0,0,-0.58217037,-0.69264421,0,0,0,0,0,0,-0.91500945,-3.8956534,-2.6987451,-0.16333919,0,0,0,0,-0.50345025,-1.1501422,-0.67704966,0,0,0,0,0,0,0,0,0,0
56,-4.2212024,0,0,0,0,0,0,0,0,-0.58469746,-0.69565084,0,0,0,0,0,0,-0.91898132,-3.9125637,-2.7104598,-0.16404821,0,0,0,0,-0.50563563,-1.1551348,-0.6799886,0,0,0,0,0,0,0,0,0,0
57,-4.2394466,0,0,0,0,0,0,0,0,-0.58722454,-0.69865747,0,0,0,0,0,0,-0.9229532,-3.9294739,-2.7221746,-0.16475723,0,0,0,0,-0.50782101,-1.1601273,-0.68292753,0,0,0,0,0,0,0,0,0,0
58,-4.2576908,0,0,0,0,0,0,0,0,-0.58975163,-0.7016641,0,0,0,0,0,0,-0.92692507,-3.9463842,-2.7338893,-0.16546626,0,0,0,0,-0.51000639,-1.1651198,-0.68586647,0,0,0,0,0,0,0,0,0,0
59,-4.275935,0,0,0,0,0,0,0,0,-0.59227871,-0.70467073,0,0,0,0,0,0,-0.93089694,-3.9632944,-2.745604,-0.16617528,0,0,0,0,-0.51219176,-1.1701124,-0.68880541,0,0,0,0,0,0,0,0,0,0
60,-4.2941792,0,0,0,0,0,0,0,0,-0.5948058,-0.70767736,0,0,0,0,0,0,-0.93486882,-3.9802047,-2.7573187,-0.1668843,0,0,0,0,-0.51437714,-1.1751049,-0.69174435,0,0,0,0,0,0,0,0,0,0
