Time (ms),Stress at 0.00 mm (kPa),Stress at 0.22 mm (kPa),Stress at 0.43 mm (kPa),Stress at 0.62 mm (kPa),Stress at 0.82 mm (kPa),Stress at 1.02 mm (kPa),Stress at 1.22 mm (kPa),Stress at 1.43 mm (kPa),Stress at 1.63 mm (kPa),Stress at 1.83 mm (kPa),Stress at 2.03 mm (kPa),Stress at 2.23 mm (kPa),Stress at 2.42 mm (kPa),Stress at 2.63 mm (kPa)
17,-3.4665179,-3.1350499,-2.8088297,-2.318108,-1.8164652,-1.4548689,-1.0383419,-0.70488739,-0.42145729,-0.29357972,-0.16133294,-0.044823595,0,0
18,-3.4579015,-3.1272574,-2.801848,-2.3123461,-1.8119501,-1.4512526,-1.035761,-0.7031353,-0.42040971,-0.29284999,-0.16093192,-0.044712181,0,0
19,-3.449285,-3.1194648,-2.7948662,-2.3065841,-1.8074351,-1.4476363,-1.0331801,-0.70138321,-0.41936212,-0.29212026,-0.16053091,-0.044600766,0,0
20,-3.4406685,-3.1116722,-2.7878845,-2.3008221,-1.80292,-1.4440201,-1.0305991,-0.69963112,-0.41831453,-0.29139053,-0.16012989,-0.044489351,0,0
21,-3.432052,-3.1038796,-2.7809028,-2.2950602,-1.7984049,-1.4404038,-1.0280182,-0.69787903,-0.41726694,-0.2906608,-0.15972888,-0.044377936,0,0
22,-3.4234355,-3.0960871,-2.7739211,-2.2892982,-1.7938899,-1.4367875,-1.0254373,-0.69612694,-0.41621936,-0.28993107,-0.15932787,-0.044266521,0,0
23,-3.414819,-3.0882945,-2.7669394,-2.2835363,-1.7893748,-1.4331713,-1.0228563,-0.69437485,-0.41517177,-0.28920134,-0.15892685,-0.044155106,0,0
24,-3.4062026,-3.0805019,-2.7599577,-2.2777743,-1.7848598,-1.429555,-1.0202754,-0.69262276,-0.41412418,-0.28847161,-0.15852584,-0.044043691,0,0
25,-3.3975861,-3.0727093,-2.752976,-2.2720123,-1.7803447,-1.4259387,-1.0176945,-0.69087067,-0.4130766,-0.28774188,-0.15812482,-0.043932276,0,0
26,-3.3889696,-3.0649167,-2.7459943,-2.2662504,-1.7758296,-1.4223225,-1.0151135,-0.68911858,-0.41202901,-0.28701215,-0.15772381,-0.043820861,0,0
27,-3.3803531,-3.0571242,-2.7390125,-2.2604884,-1.7713146,-1.4187062,-1.0125326,-0.68736649,-0.41098142,-0.28628242,-0.1573228,-0.043709446,0,0
28,-3.3717366,-3.0493316,-2.7320308,-2.2547264,-1.7667995,-1.4150899,-1.0099517,-0.6856144,-0.40993383,-0.28555269,-0.15692178,-0.043598032,0,0
29,-3.3631202,-3.041539,-2.7250491,-2.2489645,-1.7622845,-1.4114737,-1.0073707,-0.68386231,-0.40888625,-0.28482295,-0.15652077,-0.043486617,0,0
30,-3.3545037,-3.0337464,-2.7180674,-2.2432025,-1.7577694,-1.4078574,-1.0047898,-0.68211022,-0.40783866,-0.28409322,-0.15611975,-0.043375202,0,0
31,-3.3458872,-3.0259539,-2.7110857,-2.2374406,-1.7532543,-1.4042411,-1.0022088,-0.68035813,-0.40679107,-0.28336349,-0.15571874,-0.043263787,0,0
32,-3.3372707,-3.0181613,-2.704104,-2.2316786,-1.7487393,-1.4006249,-0.99962791,-0.67860604,-0.40574349,-0.28263376,-0.15531773,-0.043152372,0,0
33,-3.3286542,-3.0103687,-2.6971223,-2.2259166,-1.7442242,-1.3970086,-0.99704698,-0.67685395,-0.4046959,-0.28190403,-0.15491671,-0.043040957,0,0
34,-3.3200377,-3.0025761,-2.6901406,-2.2201547,-1.7397091,-1.3933923,-0.99446604,-0.67510186,-0.40364831,-0.2811743,-0.1545157,-0.042929542,0,0
35,-3.3114213,-2.9947836,-2.6831588,-2.2143927,-1.7351941,-1.3897761,-0.99188511,-0.67334977,-0.40260073,-0.28044457,-0.15411468,-0.042818127,0,0
36,-3.3028048,-2.986991,-2.6761771,-2.2086308,-1.730679,-1.3861598,-0.98930418,-0.67159768,-0.40155314,-0.27971484,-0.15371367,-0.042706712,0,0
37,-3.2941883,-2.9791984,-2.6691954,-2.2028688,-1.726164,-1.3825435,-0.98672324,-0.66984559,-0.40050555,-0.27898511,-0.15331266,-0.042595297,0,0
38,-3.2855718,-2.9714058,-2.6622137,-2.1971068,-1.7216489,-1.3789273,-0.98414231,-0.66809351,-0.39945796,-0.27825538,-0.15291164,-0.042483883,0,0
39,-3.2769553,-2.9636133,-2.655232,-2.1913449,-1.7171338,-1.375311,-0.98156137,-0.66634142,-0.39841038,-0.27752565,-0.15251063,-0.042372468,0,0
40,-3.2683388,-2.9558207,-2.6482503,-2.1855829,-1.7126188,-1.3716947,-0.97898044,-0.66458933,-0.39736279,-0.27679592,-0.15210961,-0.042261053,0,0
41,-3.2597224,-2.9480281,-2.6412686,-2.179821,-1.7081037,-1.3680785,-0.9763995,-0.66283724,-0.3963152,-0.27606619,-0.1517086,-0.042149638,0,0
42,-3.2511059,-2.9402355,-2.6342868,-2.174059,-1.7035887,-1.3644622,-0.97381857,-0.66108515,-0.39526762,-0.27533645,-0.15130758,-0.042038223,0,0
43,-3.2424894,-2.932443,-2.6273051,-2.168297,-1.6990736,-1.3608459,-0.97123763,-0.65933306,-0.39422003,-0.27460672,-0.15090657,-0.041926808,0,0
44,-3.2338729,-2.9246504,-2.6203234,-2.1625351,-1.6945585,-1.3572297,-0.9686567,-0.65758097,-0.39317244,-0.27387699,-0.15050556,-0.041815393,0,0
45,-3.2252564,-2.9168578,-2.6133417,-2.1567731,-1.6900435,-1.3536134,-0.96607577,-0.65582888,-0.39212485,-0.27314726,-0.15010454,-0.041703978,0,0
46,-3.2166399,-2.9090652,-2.60636,-2.1510112,-1.6855284,-1.3499971,-0.96349483,-0.65407679,-0.39107727,-0.27241753,-0.14970353,-0.041592563,0,0
47,-3.2080235,-2.9012727,-2.5993783,-2.1452492,-1.6810133,-1.3463809,-0.9609139,-0.6523247,-0.39002968,-0.2716878,-0.14930251,-0.041481149,0,0
48,-3.199407,-2.8934801,-2.5923966,-2.1394872,-1.6764983,-1.3427646,-0.95833296,-0.65057261,-0.38898209,-0.27095807,-0.1489015,-0.041369734,0,0
49,-3.1907905,-2.8856875,-2.5854149,-2.1337253,-1.6719832,-1.3391483,-0.95575203,-0.64882052,-0.38793451,-0.27022834,-0.14850049,-0.041258319,0,0
50,-3.182174,-2.8778949,-2.5784331,-2.1279633,-1.6674682,-1.3355321,-0.95317109,-0.64706843,-0.38688692,-0.26949861,-0.14809947,-0.041146904,0,0
51,-3.1735575,-2.8701024,-2.5714514,-2.1222014,-1.6629531,-1.3319158,-0.95059016,-0.64531634,-0.38583933,-0.26876888,-0.14769846,-0.041035489,0,0
52,-3.164941,-2.8623098,-2.5644697,-2.1164394,-1.658438,-1.3282995,-0.94800923,-0.64356425,-0.38479174,-0.26803915,-0.14729744,-0.040924074,0,0
53,-3.1563246,-2.8545172,-2.557488,-2.1106774,-1.653923,-1.3246833,-0.94542829,-0.64181216,-0.38374416,-0.26730942,-0.14689643,-0.040812659,0,0
54,-3.1477081,-2.8467246,-2.5505063,-2.1049155,-1.6494079,-1.321067,-0.94284736,-0.64006007,-0.38269657,-0.26657969,-0.14649542,-0.040701244,0,0
55,-3.1390916,-2.838932,-2.5435246,-2.0991535,-1.6448929,-1.3174507,-0.94026642,-0.63830798,-0.38164898,-0.26584996,-0.1460944,-0.040589829,0,0
56,-3.1304751,-2.8311395,-2.5365429,-2.0933916,-1.6403778,-1.3138345,-0.93768549,-0.63655589,-0.3806014,-0.26512022,-0.14569339,-0.040478414,0,0
57,-3.1218586,-2.8233469,-2.5295612,-2.0876296,-1.6358627,-1.3102182,-0.93510455,-0.6348038,-0.37955381,-0.26439049,-0.14529237,-0.040367,0,0
58,-3.1132421,-2.8155543,-2.5225794,-2.0818676,-1.6313477,-1.3066019,-0.93252362,-0.63305171,-0.37850622,-0.26366076,-0.14489136,-0.040255585,0,0
59,-3.1046257,-2.8077617,-2.5155977,-2.0761057,-1.6268326,-1.3029857,-0.92994268,-0.63129962,-0.37745863,-0.26293103,-0.14449035,-0.04014417,0,0
60,-3.0960092,-2.7999692,-2.508616,-2.0703437,-1.6223175,-1.2993694,-0.92736175,-0.62954753,-0.37641105,-0.2622013,-0.14408933,-0.040032755,0,0
61,-3.0873927,-2.7921766,-2.5016343,-2.0645818,-1.6178025,-1.2957531,-0.92478082,-0.62779544,-0.37536346,-0.26147157,-0.14368832,-0.03992134,0,0
62,-3.0787762,-2.784384,-2.4946526,-2.0588198,-1.6132874,-1.2921369,-0.92219988,-0.62604335,-0.37431587,-0.26074184,-0.1432873,-0.039809925,0,0
63,-3.0701597,-2.7765914,-2.4876709,-2.0530578,-1.6087724,-1.2885206,-0.91961895,-0.62429126,-0.37326829,-0.26001211,-0.14288629,-0.03969851,0,0
64,-3.0615432,-2.7687989,-2.4806892,-2.0472959,-1.6042573,-1.2849043,-0.91703801,-0.62253918,-0.3722207,-0.25928238,-0.14248528,-0.039587095,0,0
65,-3.0529268,-2.7610063,-2.4737075,-2.0415339,-1.5997422,-1.2812881,-0.91445708,-0.62078709,-0.37117311,-0.25855265,-0.14208426,-0.03947568,0,0
66,-3.0443103,-2.7532137,-2.4667257,-2.035772,-1.5952272,-1.2776718,-0.91187614,-0.619035,-0.37012552,-0.25782292,-0.14168325,-0.039364265,0,0
67,-3.0356938,-2.7454211,-2.459744,-2.03001,-1.5907121,-1.2740555,-0.90929521,-0.61728291,-0.36907794,-0.25709319,-0.14128223,-0.039252851,0,0
68,-3.0270773,-2.7376286,-2.4527623,-2.024248,-1.5861971,-1.2704393,-0.90671427,-0.61553082,-0.36803035,-0.25636346,-0.14088122,-0.039141436,0,0
69,-3.0184608,-2.729836,-2.4457806,-2.0184861,-1.581682,-1.266823,-0.90413334,-0.61377873,-0.36698276,-0.25563373,-0.1404802,-0.039030021,0,0
70,-3.0098444,-2.7220434,-2.4387989,-2.0127241,-1.5771669,-1.2632067,-0.90155241,-0.61202664,-0.36593518,-0.25490399,-0.14007919,-0.038918606,0,0
71,-3.0012279,-2.7142508,-2.4318172,-2.0069622,-1.5726519,-1.2595905,-0.89897147,-0.61027455,-0.36488759,-0.25417426,-0.13967818,-0.038807191,0,0
72,-2.9926114,-2.7064583,-2.4248355,-2.0012002,-1.5681368,-1.2559742,-0.89639054,-0.60852246,-0.36384,-0.25344453,-0.13927716,-0.038695776,0,0
73,-2.9839949,-2.6986657,-2.4178538,-1.9954382,-1.5636218,-1.2523579,-0.8938096,-0.60677037,-0.36279241,-0.2527148,-0.13887615,-0.038584361,0,0
74,-2.9753784,-2.6908731,-2.410872,-1.9896763,-1.5591067,-1.2487417,-0.89122867,-0.60501828,-0.36174483,-0.25198507,-0.13847513,-0.038472946,0,0
75,-2.9667619,-2.6830805,-2.4038903,-1.9839143,-1.5545916,-1.2451254,-0.88864773,-0.60326619,-0.36069724,-0.25125534,-0.13807412,-0.038361531,0,0
76,-2.9581455,-2.675288,-2.3969086,-1.9781524,-1.5500766,-1.2415091,-0.8860668,-0.6015141,-0.35964965,-0.25052561,-0.13767311,-0.038250116,0,0
77,-2.949529,-2.6674954,-2.3899269,-1.9723904,-1.5455615,-1.2378929,-0.88348586,-0.59976201,-0.35860207,-0.24979588,-0.13727209,-0.038138702,0,0
78,-2.9409125,-2.6597028,-2.3829452,-1.9666284,-1.5410464,-1.2342766,-0.88090493,-0.59800992,-0.35755448,-0.24906615,-0.13687108,-0.038027287,0,0
79,-2.932296,-2.6519102,-2.3759635,-1.9608665,-1.5365314,-1.2306603,-0.878324,-0.59625783,-0.35650689,-0.24833642,-0.13647006,-0.037915872,0,0
80,-2.9236795,-2.6441177,-2.3689818,-1.9551045,-1.5320163,-1.2270441,-0.87574306,-0.59450574,-0.3554593,-0.24760669,-0.13606905,-0.037804457,0,0
81,-2.915063,-2.6363251,-2.362,-1.9493426,-1.5275013,-1.2234278,-0.87316213,-0.59275365,-0.35441172,-0.24687696,-0.13566804,-0.037693042,0,0
82,-2.9064466,-2.6285325,-2.3550183,-1.9435806,-1.5229862,-1.2198115,-0.87058119,-0.59100156,-0.35336413,-0.24614723,-0.13526702,-0.037581627,0,0
83,-2.8978301,-2.6207399,-2.3480366,-1.9378186,-1.5184711,-1.2161953,-0.86800026,-0.58924947,-0.35231654,-0.2454175,-0.13486601,-0.037470212,0,0
84,-2.8892136,-2.6129473,-2.3410549,-1.9320567,-1.5139561,-1.212579,-0.86541932,-0.58749738,-0.35126896,-0.24468776,-0.13446499,-0.037358797,0,0
85,-2.8805971,-2.6051548,-2.3340732,-1.9262947,-1.509441,-1.2089627,-0.86283839,-0.58574529,-0.35022137,-0.24395803,-0.13406398,-0.037247382,0,0
86,-2.8719806,-2.5973622,-2.3270915,-1.9205328,-1.504926,-1.2053465,-0.86025745,-0.5839932,-0.34917378,-0.2432283,-0.13366297,-0.037135967,0,0
87,-2.8633641,-2.5895696,-2.3201098,-1.9147708,-1.5004109,-1.2017302,-0.85767652,-0.58224111,-0.34812619,-0.24249857,-0.13326195,-0.037024553,0,0
88,-2.8547477,-2.581777,-2.3131281,-1.9090088,-1.4958958,-1.1981139,-0.85509559,-0.58048902,-0.34707861,-0.24176884,-0.13286094,-0.036913138,0,0
89,-2.8461312,-2.5739845,-2.3061463,-1.9032469,-1.4913808,-1.1944977,-0.85251465,-0.57873693,-0.34603102,-0.24103911,-0.13245992,-0.036801723,0,0
90,-2.8375147,-2.5661919,-2.2991646,-1.8974849,-1.4868657,-1.1908814,-0.84993372,-0.57698484,-0.34498343,-0.24030938,-0.13205891,-0.036690308,0,0
91,-2.8288982,-2.5583993,-2.2921829,-1.891723,-1.4823506,-1.1872651,-0.84735278,-0.57523276,-0.34393585,-0.23957965,-0.13165789,-0.036578893,0,0
92,-2.8202817,-2.5506067,-2.2852012,-1.885961,-1.4778356,-1.1836489,-0.84477185,-0.57348067,-0.34288826,-0.23884992,-0.13125688,-0.036467478,0,0
93,-2.8116652,-2.5428142,-2.2782195,-1.880199,-1.4733205,-1.1800326,-0.84219091,-0.57172858,-0.34184067,-0.23812019,-0.13085587,-0.036356063,0,0
94,-2.8030488,-2.5350216,-2.2712378,-1.8744371,-1.4688055,-1.1764163,-0.83960998,-0.56997649,-0.34079308,-0.23739046,-0.13045485,-0.036244648,0,0
95,-2.7944323,-2.527229,-2.2642561,-1.8686751,-1.4642904,-1.1728001,-0.83702905,-0.5682244,-0.3397455,-0.23666073,-0.13005384,-0.036133233,0,0
96,-2.7858158,-2.5194364,-2.2572744,-1.8629132,-1.4597753,-1.1691838,-0.83444811,-0.56647231,-0.33869791,-0.235931,-0.12965282,-0.036021818,0,0
97,-2.7771993,-2.5116439,-2.2502926,-1.8571512,-1.4552603,-1.1655675,-0.83186718,-0.56472022,-0.33765032,-0.23520126,-0.12925181,-0.035910404,0,0
98,-2.7685828,-2.5038513,-2.2433109,-1.8513892,-1.4507452,-1.1619513,-0.82928624,-0.56296813,-0.33660274,-0.23447153,-0.1288508,-0.035798989,0,0
99,-2.7599663,-2.4960587,-2.2363292,-1.8456273,-1.4462302,-1.158335,-0.82670531,-0.56121604,-0.33555515,-0.2337418,-0.12844978,-0.035687574,0,0
100,-2.7513499,-2.4882661,-2.2293475,-1.8398653,-1.4417151,-1.1547187,-0.82412437,-0.55946395,-0.33450756,-0.23301207,-0.12804877,-0.035576159,0,0
101,-2.7427334,-2.4804736,-2.2223658,-1.8341034,-1.4372,-1.1511025,-0.82154344,-0.55771186,-0.33345997,-0.23228234,-0.12764775,-0.035464744,0,0
102,-2.7341169,-2.472681,-2.2153841,-1.8283414,-1.432685,-1.1474862,-0.8189625,-0.55595977,-0.33241239,-0.23155261,-0.12724674,-0.035353329,0,0
103,-2.7255004,-2.4648884,-2.2084024,-1.8225794,-1.4281699,-1.1438699,-0.81638157,-0.55420768,-0.3313648,-0.23082288,-0.12684573,-0.035241914,0,0
104,-2.7168839,-2.4570958,-2.2014207,-1.8168175,-1.4236549,-1.1402537,-0.81380064,-0.55245559,-0.33031721,-0.23009315,-0.12644471,-0.035130499,0,0
105,-2.7082675,-2.4493033,-2.1944389,-1.8110555,-1.4191398,-1.1366374,-0.8112197,-0.5507035,-0.32926963,-0.22936342,-0.1260437,-0.035019084,0,0
106,-2.699651,-2.4415107,-2.1874572,-1.8052936,-1.4146247,-1.1330211,-0.80863877,-0.54895141,-0.32822204,-0.22863369,-0.12564268,-0.03490767,0,0
107,-2.6910345,-2.4337181,-2.1804755,-1.7995316,-1.4101097,-1.1294049,-0.80605783,-0.54719932,-0.32717445,-0.22790396,-0.12524167,-0.034796255,0,0
108,-2.682418,-2.4259255,-2.1734938,-1.7937696,-1.4055946,-1.1257886,-0.8034769,-0.54544723,-0.32612687,-0.22717423,-0.12484066,-0.03468484,0,0
109,-2.6738015,-2.418133,-2.1665121,-1.7880077,-1.4010795,-1.1221723,-0.80089596,-0.54369514,-0.32507928,-0.2264445,-0.12443964,-0.034573425,0,0
110,-2.665185,-2.4103404,-2.1595304,-1.7822457,-1.3965645,-1.1185561,-0.79831503,-0.54194305,-0.32403169,-0.22571477,-0.12403863,-0.03446201,0,0
111,-2.6565686,-2.4025478,-2.1525487,-1.7764838,-1.3920494,-1.1149398,-0.79573409,-0.54019096,-0.3229841,-0.22498503,-0.12363761,-0.034350595,0,0
112,-2.6479521,-2.3947552,-2.145567,-1.7707218,-1.3875344,-1.1113235,-0.79315316,-0.53843887,-0.32193652,-0.2242553,-0.1232366,-0.03423918,0,0
113,-2.6393356,-2.3869626,-2.1385852,-1.7649598,-1.3830193,-1.1077073,-0.79057223,-0.53668678,-0.32088893,-0.22352557,-0.12283559,-0.034127765,0,0
114,-2.6307191,-2.3791701,-2.1316035,-1.7591979,-1.3785042,-1.104091,-0.78799129,-0.53493469,-0.31984134,-0.22279584,-0.12243457,-0.03401635,0,0
115,-2.6221026,-2.3713775,-2.1246218,-1.7534359,-1.3739892,-1.1004747,-0.78541036,-0.5331826,-0.31879376,-0.22206611,-0.12203356,-0.033904935,0,0
116,-2.6134861,-2.3635849,-2.1176401,-1.747674,-1.3694741,-1.0968585,-0.78282942,-0.53143051,-0.31774617,-0.22133638,-0.12163254,-0.033793521,0,0
117,-2.6048697,-2.3557923,-2.1106584,-1.741912,-1.3649591,-1.0932422,-0.78024849,-0.52967843,-0.31669858,-0.22060665,-0.12123153,-0.033682106,0,0
118,-2.5962532,-2.3479998,-2.1036767,-1.73615,-1.360444,-1.0896259,-0.77766755,-0.52792634,-0.31565099,-0.21987692,-0.12083051,-0.033570691,0,0
119,-2.5876367,-2.3402072,-2.096695,-1.7303881,-1.3559289,-1.0860097,-0.77508662,-0.52617425,-0.31460341,-0.21914719,-0.1204295,-0.033459276,0,0
120,-2.5790202,-2.3324146,-2.0897132,-1.7246261,-1.3514139,-1.0823934,-0.77250568,-0.52442216,-0.31355582,-0.21841746,-0.12002849,-0.033347861,0,0
121,-2.5704037,-2.324622,-2.0827315,-1.7188642,-1.3468988,-1.0787771,-0.76992475,-0.52267007,-0.31250823,-0.21768773,-0.11962747,-0.033236446,0,0
122,-2.5617872,-2.3168295,-2.0757498,-1.7131022,-1.3423837,-1.0751609,-0.76734382,-0.52091798,-0.31146065,-0.216958,-0.11922646,-0.033125031,0,0
123,-2.5531708,-2.3090369,-2.0687681,-1.7073402,-1.3378687,-1.0715446,-0.76476288,-0.51916589,-0.31041306,-0.21622827,-0.11882544,-0.033013616,0,0
124,-2.5445543,-2.3012443,-2.0617864,-1.7015783,-1.3333536,-1.0679283,-0.76218195,-0.5174138,-0.30936547,-0.21549854,-0.11842443,-0.032902201,0,0
125,-2.5359378,-2.2934517,-2.0548047,-1.6958163,-1.3288386,-1.0643121,-0.75960101,-0.51566171,-0.30831788,-0.2147688,-0.11802342,-0.032790786,0,0
126,-2.4468321,-2.2128663,-1.9826046,-1.6362301,-1.2821469,-1.0269151,-0.73291077,-0.4975428,-0.29748446,-0.20722243,-0.11387641,-0.03163861,0,0
127,-2.3577263,-2.1322808,-1.9104046,-1.5766439,-1.2354553,-0.9895182,-0.70622052,-0.4794239,-0.28665104,-0.19967606,-0.10972939,-0.030486434,0,0
128,-2.2686206,-2.0516954,-1.8382045,-1.5170577,-1.1887636,-0.95212126,-0.67953027,-0.461305,-0.27581761,-0.19212969,-0.10558238,-0.029334258,0,0
129,-2.1795149,-1.9711099,-1.7660044,-1.4574714,-1.1420719,-0.91472433,-0.65284003,-0.44318609,-0.26498419,-0.18458331,-0.10143537,-0.028182082,0,0
130,-2.0904091,-1.8905245,-1.6938044,-1.3978852,-1.0953803,-0.87732739,-0.62614978,-0.42506719,-0.25415076,-0.17703694,-0.09728836,-0.027029906,0,0
131,-2.0013034,-1.809939,-1.6216043,-1.338299,-1.0486886,-0.83993045,-0.59945954,-0.40694828,-0.24331734,-0.16949057,-0.093141348,-0.02587773,0,0
132,-1.9121977,-1.7293536,-1.5494042,-1.2787128,-1.001997,-0.80253352,-0.57276929,-0.38882938,-0.23248391,-0.1619442,-0.088994337,-0.024725554,0,0
133,-1.8230919,-1.6487681,-1.4772042,-1.2191265,-0.95530533,-0.76513658,-0.54607904,-0.37071048,-0.22165049,-0.15439782,-0.084847326,-0.023573377,0,0
134,-1.7339862,-1.5681827,-1.4050041,-1.1595403,-0.90861367,-0.72773964,-0.5193888,-0.35259157,-0.21081706,-0.14685145,-0.080700314,-0.022421201,0,0
135,-1.6448805,-1.4875972,-1.332804,-1.0999541,-0.86192202,-0.69034271,-0.49269855,-0.33447267,-0.19998364,-0.13930508,-0.076553303,-0.021269025,0,0
136,-1.5557748,-1.4070118,-1.260604,-1.0403679,-0.81523036,-0.65294577,-0.46600831,-0.31635376,-0.18915022,-0.13175871,-0.072406292,-0.020116849,0,0
137,-1.466669,-1.3264263,-1.1884039,-0.98078166,-0.76853871,-0.61554883,-0.43931806,-0.29823486,-0.17831679,-0.12421233,-0.06825928,-0.018964673,0,0
138,-1.3775633,-1.2458409,-1.1162038,-0.92119543,-0.72184705,-0.5781519,-0.41262782,-0.28011596,-0.16748337,-0.11666596,-0.064112269,-0.017812497,0,0
139,-1.2884576,-1.1652554,-1.0440038,-0.86160921,-0.6751554,-0.54075496,-0.38593757,-0.26199705,-0.15664994,-0.10911959,-0.059965258,-0.016660321,0,0
140,-1.1993518,-1.08467,-0.97180371,-0.80202299,-0.62846374,-0.50335802,-0.35924732,-0.24387815,-0.14581652,-0.10157322,-0.055818246,-0.015508144,0,0
141,-1.1102461,-1.0040845,-0.89960365,-0.74243677,-0.58177209,-0.46596109,-0.33255708,-0.22575924,-0.13498309,-0.094026844,-0.051671235,-0.014355968,0,0
142,-1.0211404,-0.92349905,-0.82740358,-0.68285054,-0.53508043,-0.42856415,-0.30586683,-0.20764034,-0.12414967,-0.086480471,-0.047524224,-0.013203792,0,0
143,-0.93203464,-0.8429136,-0.75520352,-0.62326432,-0.48838878,-0.39116721,-0.27917659,-0.18952144,-0.11331624,-0.078934099,-0.043377212,-0.012051616,0,0
144,-0.84292891,-0.76232815,-0.68300345,-0.5636781,-0.44169713,-0.35377028,-0.25248634,-0.17140253,-0.10248282,-0.071387726,-0.039230201,-0.01089944,0,0
145,-0.75382317,-0.6817427,-0.61080339,-0.50409188,-0.39500547,-0.31637334,-0.22579609,-0.15328363,-0.091649396,-0.063841354,-0.03508319,-0.0097472638,0,0
146,-0.66471744,-0.60115724,-0.53860332,-0.44450566,-0.34831382,-0.2789764,-0.19910585,-0.13516472,-0.080815971,-0.056294981,-0.030936178,-0.0085950877,0,0
147,-0.57561171,-0.52057179,-0.46640326,-0.38491943,-0.30162216,-0.24157947,-0.1724156,-0.11704582,-0.069982547,-0.048748609,-0.026789167,-0.0074429116,0,0
148,-0.48650598,-0.43998634,-0.39420319,-0.32533321,-0.25493051,-0.20418253,-0.14572536,-0.098926916,-0.059149122,-0.041202236,-0.022642156,-0.0062907354,0,0
149,-0.39740025,-0.35940089,-0.32200313,-0.26574699,-0.20823885,-0.16678559,-0.11903511,-0.080808012,-0.048315698,-0.033655864,-0.018495144,-0.0051385593,0,0
150,-0.30829452,-0.27881544,-0.24980306,-0.20616077,-0.1615472,-0.12938865,-0.092344864,-0.062689108,-0.037482274,-0.026109491,-0.014348133,-0.0039863832,0,0
