Time (ms),Coord 1 Stress (kPa),Coord 2 Stress (kPa),Coord 3 Stress (kPa),Coord 4 Stress (kPa),Coord 5 Stress (kPa),Coord 6 Stress (kPa),Coord 7 Stress (kPa),Coord 8 Stress (kPa),Coord 9 Stress (kPa),Coord 10 Stress (kPa),Coord 11 Stress (kPa),Coord 12 Stress (kPa),Coord 13 Stress (kPa),Coord 14 Stress (kPa),Coord 15 Stress (kPa),Coord 16 Stress (kPa)
96,-25.969916,0,0,0,0,-0.12137839,-0.086670834,0,0,0,-0.93500764,-9.3151178,0,0,0,0
97,-25.898752,0,0,0,0,-0.12104579,-0.086433335,0,0,0,-0.93244551,-9.2895922,0,0,0,0
98,-25.827589,0,0,0,0,-0.12071318,-0.086195837,0,0,0,-0.92988337,-9.2640666,0,0,0,0
99,-25.756425,0,0,0,0,-0.12038058,-0.085958339,0,0,0,-0.92732123,-9.238541,0,0,0,0
100,-25.685261,0,0,0,0,-0.12004797,-0.085720841,0,0,0,-0.92475909,-9.2130155,0,0,0,0
101,-25.614098,0,0,0,0,-0.11971537,-0.085483343,0,0,0,-0.92219695,-9.1874899,0,0,0,0
102,-25.542934,0,0,0,0,-0.11938276,-0.085245844,0,0,0,-0.91963482,-9.1619643,0,0,0,0
103,-25.471771,0,0,0,0,-0.11905016,-0.085008346,0,0,0,-0.91707268,-9.1364387,0,0,0,0
104,-25.400607,0,0,0,0,-0.11871755,-0.084770848,0,0,0,-0.91451054,-9.1109131,0,0,0,0
105,-25.329444,0,0,0,0,-0.11838495,-0.08453335,0,0,0,-0.9119484,-9.0853875,0,0,0,0
106,-25.25828,0,0,0,0,-0.11805234,-0.084295852,0,0,0,-0.90938627,-9.0598619,0,0,0,0
107,-25.187116,0,0,0,0,-0.11771974,-0.084058353,0,0,0,-0.90682413,-9.0343364,0,0,0,0
108,-25.115953,0,0,0,0,-0.11738713,-0.083820855,0,0,0,-0.90426199,-9.0088108,0,0,0,0
109,-25.044789,0,0,0,0,-0.11705453,-0.083583357,0,0,0,-0.90169985,-8.9832852,0,0,0,0
110,-24.973626,0,0,0,0,-0.11672192,-0.083345859,0,0,0,-0.89913771,-8.9577596,0,0,0,0
111,-24.902462,0,0,0,0,-0.11638932,-0.083108361,0,0,0,-0.89657558,-8.932234,0,0,0,0
112,-24.831298,0,0,0,0,-0.11605671,-0.082870862,0,0,0,-0.89401344,-8.9067084,0,0,0,0
113,-24.760135,0,0,0,0,-0.11572411,-0.082633364,0,0,0,-0.8914513,-8.8811829,0,0,0,0
114,-24.688971,0,0,0,0,-0.1153915,-0.082395866,0,0,0,-0.88888916,-8.8556573,0,0,0,0
115,-24.617808,0,0,0,0,-0.1150589,-0.082158368,0,0,0,-0.88632702,-8.8301317,0,0,0,0
116,-24.546644,0,0,0,0,-0.11472629,-0.08192087,0,0,0,-0.88376489,-8.8046061,0,0,0,0
117,-24.47548,0,0,0,0,-0.11439369,-0.081683371,0,0,0,-0.88120275,-8.7790805,0,0,0,0
118,-24.404317,0,0,0,0,-0.11406108,-0.081445873,0,0,0,-0.87864061,-8.7535549,0,0,0,0
119,-24.333153,0,0,0,0,-0.11372848,-0.081208375,0,0,0,-0.87607847,-8.7280293,0,0,0,0
120,-24.26199,0,0,0,0,-0.11339587,-0.080970877,0,0,0,-0.87351633,-8.7025038,0,0,0,0
121,-24.190826,0,0,0,0,-0.11306327,-0.080733379,0,0,0,-0.8709542,-8.6769782,0,0,0,0
122,-24.119662,0,0,0,0,-0.11273066,-0.08049588,0,0,0,-0.86839206,-8.6514526,0,0,0,0
123,-24.048499,0,0,0,0,-0.11239806,-0.080258382,0,0,0,-0.86582992,-8.625927,0,0,0,0
124,-23.977335,0,0,0,0,-0.11206545,-0.080020884,0,0,0,-0.86326778,-8.6004014,0,0,0,0
125,-23.906172,0,0,0,0,-0.11173285,-0.079783386,0,0,0,-0.86070564,-8.5748758,0,0,0,0
126,-23.696206,0,0,0,0,-0.11075151,-0.079082656,0,0,0,-0.85314615,-8.4995636,0,0,0,0
127,-23.48624,0,0,0,0,-0.10977017,-0.078381927,0,0,0,-0.84558666,-8.4242513,0,0,0,0
128,-23.276275,0,0,0,0,-0.10878883,-0.077681197,0,0,0,-0.83802717,-8.348939,0,0,0,0
129,-23.066309,0,0,0,0,-0.10780749,-0.076980467,0,0,0,-0.83046767,-8.2736267,0,0,0,0
130,-22.856344,0,0,0,0,-0.10682615,-0.076279738,0,0,0,-0.82290818,-8.1983144,0,0,0,0
131,-22.646378,0,0,0,0,-0.10584482,-0.075579008,0,0,0,-0.81534869,-8.1230021,0,0,0,0
132,-22.436413,0,0,0,0,-0.10486348,-0.074878278,0,0,0,-0.80778919,-8.0476898,0,0,0,0
133,-22.226447,0,0,0,0,-0.10388214,-0.074177549,0,0,0,-0.8002297,-7.9723775,0,0,0,0
